target,version,bin,lower,upper,n,mean_probability,observed_frequency,events
any_gt0,proxy,1,0.3092129876564179,0.3172841491884158,11736,0.3116111479907824,0.35540218132242674,4171
any_gt0,proxy,2,0.3172841491884158,0.32091257673864865,12808,0.3194948300148224,0.325421611492817,4168
any_gt0,proxy,3,0.32091257673864865,0.32240926098729855,12904,0.32166762153144357,0.3134686918784873,4045
any_gt0,proxy,4,0.32240926098729855,0.32484052980960987,9313,0.3234782053149582,0.3251369054010523,3028
any_gt0,proxy,5,0.32484052980960987,0.32686091305702075,13633,0.3256059464606494,0.3036015550502457,4139
any_gt0,proxy,6,0.32686091305702075,0.33155415646492453,12109,0.3289249865778515,0.3154678338425964,3820
any_gt0,proxy,7,0.33155415646492453,0.34046145196905014,11873,0.33566149329274575,0.33740419439063424,4006
any_gt0,proxy,8,0.34046145196905014,0.3564719133476581,12674,0.34758724060168444,0.3530061543317027,4474
any_gt0,proxy,9,0.3564719133476581,0.39421917487387304,12625,0.3722204415182938,0.36205940594059405,4571
any_gt0,proxy,10,0.39421917487387304,0.8330200733516027,11981,0.4595895764078684,0.45939404056422667,5504
any_gt0,era5_daily_max,1,0.3092129876564179,0.3172841491884158,12561,0.3123471080582369,0.3549876602181355,4459
any_gt0,era5_daily_max,2,0.3172841491884158,0.32091257673864865,11558,0.31839107141574474,0.33344869354559614,3854
any_gt0,era5_daily_max,3,0.32091257673864865,0.32240926098729855,11427,0.32190284083433385,0.31259298153496107,3572
any_gt0,era5_daily_max,4,0.32240926098729855,0.32484052980960987,15018,0.32376070724103356,0.3118923957917166,4684
any_gt0,era5_daily_max,5,0.32484052980960987,0.32686091305702075,10698,0.32571473148924035,0.30734716769489623,3288
any_gt0,era5_daily_max,6,0.32686091305702075,0.33155415646492453,12037,0.3289664808734743,0.3195979064550968,3847
any_gt0,era5_daily_max,7,0.33155415646492453,0.34046145196905014,12643,0.3355285536328074,0.3291940204065491,4162
any_gt0,era5_daily_max,8,0.34046145196905014,0.3564719133476581,11657,0.34769277322908415,0.3478596551428326,4055
any_gt0,era5_daily_max,9,0.3564719133476581,0.39421917487387304,11687,0.3719842869393473,0.3693847865149311,4317
any_gt0,era5_daily_max,10,0.39421917487387304,0.8330200733516027,12369,0.46092009238036935,0.4597784784542,5687
any_gt0,era5_daily_max,11,0.8330200733516027,1.0,1,0.8330200733516027,1.0,1
any_gt5,proxy,1,0.14565816580546365,0.1478442209286861,11299,0.14704413120332765,0.1688645012832994,1908
any_gt5,proxy,2,0.1478442209286861,0.15042145925864073,3455,0.14884269320939816,0.16700434153400867,577
any_gt5,proxy,3,0.15042145925864073,0.15127503354166563,9837,0.1511040802510286,0.15106231574667073,1486
any_gt5,proxy,4,0.15127503354166563,0.15187737876438545,19884,0.15155099263900407,0.15027157513578757,2988
any_gt5,proxy,5,0.15187737876438545,0.15329095202520698,12079,0.15243570249935076,0.14885338190247538,1798
any_gt5,proxy,6,0.15329095202520698,0.15465363366576318,14780,0.15418769606216073,0.14303112313937755,2114
any_gt5,proxy,7,0.15465363366576318,0.1583674144045656,13570,0.15610914505343212,0.15084745762711865,2047
any_gt5,proxy,8,0.1583674144045656,0.16764896623361195,12804,0.16226535772822673,0.16877538269290845,2161
any_gt5,proxy,9,0.16764896623361195,0.19587733685812858,12298,0.17876317535865635,0.17140998536347374,2108
any_gt5,proxy,10,0.19587733685812858,0.7577413287102764,11650,0.2657869202615927,0.2659227467811159,3098
any_gt5,era5_daily_max,1,0.14565816580546365,0.1478442209286861,13033,0.14610647746734956,0.16711424844625183,2178
