target,version,fold,n,brier
any_gt0,proxy,0,25208,0.2203229288493059
any_gt0,proxy,1,24112,0.2211418955718484
any_gt0,proxy,2,24112,0.2184157622041258
any_gt0,proxy,3,24112,0.22618934483693984
any_gt0,proxy,4,24112,0.23365744137402458
any_gt0,era5_daily_max,0,25208,0.2200506976637526
any_gt0,era5_daily_max,1,24112,0.22079526442846667
any_gt0,era5_daily_max,2,24112,0.2183969608022098
any_gt0,era5_daily_max,3,24112,0.2268568225770617
any_gt0,era5_daily_max,4,24112,0.23342058081167363
any_gt5,proxy,0,25208,0.1342105961028985
any_gt5,proxy,1,24112,0.1348720841314993
any_gt5,proxy,2,24112,0.12913967490029624
any_gt5,proxy,3,24112,0.14043871705209446
any_gt5,proxy,4,24112,0.14795570502000904
any_gt5,era5_daily_max,0,25208,0.1339922958902428
any_gt5,era5_daily_max,1,24112,0.13467522708229396
any_gt5,era5_daily_max,2,24112,0.12906789076334832
any_gt5,era5_daily_max,3,24112,0.14063117902254688
any_gt5,era5_daily_max,4,24112,0.14790694500700133
any_gt100,proxy,0,25208,0.05599982814454408
any_gt100,proxy,1,24112,0.05754204379932849
any_gt100,proxy,2,24112,0.053918084536725565
any_gt100,proxy,3,24112,0.05309097296704184
any_gt100,proxy,4,24112,0.0592637601909202
any_gt100,era5_daily_max,0,25208,0.05604182418912727
any_gt100,era5_daily_max,1,24112,0.05751260360217814
any_gt100,era5_daily_max,2,24112,0.053891746818620016
any_gt100,era5_daily_max,3,24112,0.05320292386273003
any_gt100,era5_daily_max,4,24112,0.05940165332717572
any_gt1000,proxy,0,25208,0.009207262469553326
any_gt1000,proxy,1,24112,0.00835107032752793
any_gt1000,proxy,2,24112,0.007528717641140998
any_gt1000,proxy,3,24112,0.007234460666560908
any_gt1000,proxy,4,24112,0.008624987082709557
any_gt1000,era5_daily_max,0,25208,0.009315030950793952
any_gt1000,era5_daily_max,1,24112,0.008367579997943346
any_gt1000,era5_daily_max,2,24112,0.007614448538833216
any_gt1000,era5_daily_max,3,24112,0.007287442271244382
any_gt1000,era5_daily_max,4,24112,0.008665726964457965
wthr_gt0,proxy,0,25208,0.047180140670008044
wthr_gt0,proxy,1,24112,0.050719964850599125
wthr_gt0,proxy,2,24112,0.04670258084172384
wthr_gt0,proxy,3,24112,0.03896853735009207
wthr_gt0,proxy,4,24112,0.042811191158374944
wthr_gt0,era5_daily_max,0,25208,0.04709546654822796
wthr_gt0,era5_daily_max,1,24112,0.05057986001100274
wthr_gt0,era5_daily_max,2,24112,0.04665835252759519
wthr_gt0,era5_daily_max,3,24112,0.039189277990880025
wthr_gt0,era5_daily_max,4,24112,0.04292233744140837
wthr_gt5,proxy,0,25208,0.03475610023639233
wthr_gt5,proxy,1,24112,0.03654756644639222
wthr_gt5,proxy,2,24112,0.03372122902100499
wthr_gt5,proxy,3,24112,0.02835551697667775
wthr_gt5,proxy,4,24112,0.0321003781189823
wthr_gt5,era5_daily_max,0,25208,0.03470879908484373
wthr_gt5,era5_daily_max,1,24112,0.03643394304567397
wthr_gt5,era5_daily_max,2,24112,0.03374558919929461
wthr_gt5,era5_daily_max,3,24112,0.028554720676512435
wthr_gt5,era5_daily_max,4,24112,0.032169495776216125
wthr_gt100,proxy,0,25208,0.01849066963333162
wthr_gt100,proxy,1,24112,0.020261533272286532
wthr_gt100,proxy,2,24112,0.019416653514632665
wthr_gt100,proxy,3,24112,0.01715622660620781
wthr_gt100,proxy,4,24112,0.019361723721638996
wthr_gt100,era5_daily_max,0,25208,0.01856155603542619
wthr_gt100,era5_daily_max,1,24112,0.020231902827255167
wthr_gt100,era5_daily_max,2,24112,0.01939371947185046
wthr_gt100,era5_daily_max,3,24112,0.0172590650927553
wthr_gt100,era5_daily_max,4,24112,0.019500111133576366
wthr_gt1000,proxy,0,25208,0.002865071224051748
wthr_gt1000,proxy,1,24112,0.0024560089140624264
wthr_gt1000,proxy,2,24112,0.002147991777743213
wthr_gt1000,proxy,3,24112,0.002177534815910128
wthr_gt1000,proxy,4,24112,0.0025607757305804533
wthr_gt1000,era5_daily_max,0,25208,0.0029666621492215866
wthr_gt1000,era5_daily_max,1,24112,0.00260598375473246
wthr_gt1000,era5_daily_max,2,24112,0.0022346975529164968
wthr_gt1000,era5_daily_max,3,24112,0.002275943931990212
wthr_gt1000,era5_daily_max,4,24112,0.0026885128193517003
