LAD21CD,date,gust_grid,hours,grid_lat,grid_lon
E06000031,2021-04-01,12.5,24,52.5,-0.25
E06000031,2021-04-02,11.7,24,52.5,-0.25
E06000031,2021-04-03,12.1,24,52.5,-0.25
E06000031,2021-04-04,10.9,24,52.5,-0.25
E06000031,2021-04-05,16.8,24,52.5,-0.25
E06000031,2021-04-06,15.2,24,52.5,-0.25
E06000031,2021-04-07,11.4,24,52.5,-0.25
E06000031,2021-04-08,13.5,24,52.5,-0.25
E06000031,2021-04-09,10.9,24,52.5,-0.25
E06000031,2021-04-10,11.2,24,52.5,-0.25
E06000031,2021-04-11,10.7,24,52.5,-0.25
E06000031,2021-04-12,7.7,24,52.5,-0.25
E06000031,2021-04-13,6.5,24,52.5,-0.25
E06000031,2021-04-14,9.6,24,52.5,-0.25
E06000031,2021-04-15,10.7,24,52.5,-0.25
E06000031,2021-04-16,6.0,24,52.5,-0.25
E06000031,2021-04-17,7.0,24,52.5,-0.25
E06000031,2021-04-18,6.0,24,52.5,-0.25
E06000031,2021-04-19,5.7,24,52.5,-0.25
E06000031,2021-04-20,5.5,24,52.5,-0.25
E06000031,2021-04-21,12.6,24,52.5,-0.25
E06000031,2021-04-22,7.1,24,52.5,-0.25
E06000031,2021-04-23,9.2,24,52.5,-0.25
E06000031,2021-04-24,8.7,24,52.5,-0.25
E06000031,2021-04-25,11.0,24,52.5,-0.25
E06000031,2021-04-26,8.2,24,52.5,-0.25
E06000031,2021-04-27,6.4,24,52.5,-0.25
E06000031,2021-04-28,15.4,24,52.5,-0.25
E06000031,2021-04-29,9.7,24,52.5,-0.25
E06000031,2021-04-30,7.9,24,52.5,-0.25
E06000031,2021-05-01,8.4,24,52.5,-0.25
E06000031,2021-05-02,7.6,24,52.5,-0.25
E06000031,2021-05-03,26.3,24,52.5,-0.25
E06000031,2021-05-04,21.8,24,52.5,-0.25
E06000031,2021-05-05,11.3,24,52.5,-0.25
E06000031,2021-05-06,9.6,24,52.5,-0.25
E06000031,2021-05-07,10.4,24,52.5,-0.25
E06000031,2021-05-08,15.1,24,52.5,-0.25
E06000031,2021-05-09,15.2,24,52.5,-0.25
E06000031,2021-05-10,19.1,24,52.5,-0.25
E06000031,2021-05-11,10.0,24,52.5,-0.25
E06000031,2021-05-12,9.8,24,52.5,-0.25
E06000031,2021-05-13,11.7,24,52.5,-0.25
E06000031,2021-05-14,8.2,24,52.5,-0.25
E06000031,2021-05-15,9.4,24,52.5,-0.25
E06000031,2021-05-16,7.4,24,52.5,-0.25
E06000031,2021-05-17,9.6,24,52.5,-0.25
E06000031,2021-05-18,8.6,24,52.5,-0.25
E06000031,2021-05-19,9.3,24,52.5,-0.25
E06000031,2021-05-20,20.4,24,52.5,-0.25
E06000031,2021-05-21,20.8,24,52.5,-0.25
E06000031,2021-05-22,9.7,24,52.5,-0.25
E06000031,2021-05-23,16.9,24,52.5,-0.25
E06000031,2021-05-24,14.0,24,52.5,-0.25
E06000031,2021-05-25,14.7,24,52.5,-0.25
E06000031,2021-05-26,11.9,24,52.5,-0.25
E06000031,2021-05-27,6.2,24,52.5,-0.25
E06000031,2021-05-28,6.2,24,52.5,-0.25
E06000031,2021-05-29,7.0,24,52.5,-0.25
E06000031,2021-05-30,9.2,24,52.5,-0.25
E06000031,2021-05-31,8.6,24,52.5,-0.25
E06000031,2021-06-01,9.5,24,52.5,-0.25
E06000031,2021-06-02,9.8,24,52.5,-0.25
E06000031,2021-06-03,8.4,24,52.5,-0.25
E06000031,2021-06-04,7.5,24,52.5,-0.25
E06000031,2021-06-05,5.9,24,52.5,-0.25
E06000031,2021-06-06,4.5,24,52.5,-0.25
E06000031,2021-06-07,9.6,24,52.5,-0.25
E06000031,2021-06-08,7.1,24,52.5,-0.25
E06000031,2021-06-09,8.6,24,52.5,-0.25
E06000031,2021-06-10,10.3,24,52.5,-0.25
E06000031,2021-06-11,12.9,24,52.5,-0.25
E06000031,2021-06-12,9.1,24,52.5,-0.25
E06000031,2021-06-13,5.5,24,52.5,-0.25
