LAD21CD,fold
E06000031,0
E06000032,1
E06000033,4
E06000034,0
E06000035,4
E06000043,1
E06000055,2
E06000056,2
E06000060,0
E07000008,2
E07000009,3
E07000010,3
E07000011,0
E07000012,0
E07000061,3
E07000062,3
E07000063,1
E07000064,1
E07000065,1
E07000066,0
E07000067,3
E07000068,1
E07000069,2
E07000070,0
E07000071,1
E07000072,4
E07000073,0
E07000074,1
E07000075,4
E07000076,2
E07000077,1
E07000095,4
E07000096,2
E07000098,2
E07000099,3
E07000102,4
E07000103,2
E07000105,0
E07000106,1
E07000107,1
E07000108,0
E07000109,4
E07000110,1
E07000111,2
E07000112,0
E07000113,1
E07000114,3
E07000115,0
E07000116,1
E07000143,4
E07000144,4
E07000145,3
E07000146,2
E07000147,3
E07000148,1
E07000149,4
E07000179,0
E07000200,4
E07000202,0
E07000203,2
E07000207,2
E07000208,0
E07000209,2
E07000210,3
E07000211,0
E07000212,0
E07000213,0
E07000215,0
E07000216,2
E07000217,4
E07000223,3
E07000224,2
E07000226,4
E07000227,2
E07000228,3
E07000229,2
E07000240,0
E07000241,1
E07000242,4
E07000243,0
E09000001,1
E09000002,3
E09000003,0
E09000004,2
E09000005,3
E09000006,2
E09000007,4
E09000008,4
E09000010,1
E09000011,3
E09000012,4
E09000013,3
E09000014,4
E09000015,2
E09000016,3
E09000017,2
E09000019,1
E09000020,1
E09000021,2
E09000022,3
E09000023,3
E09000024,4
E09000025,4
E09000026,3
E09000027,4
E09000028,1
E09000029,4
E09000030,1
E09000031,3
E09000032,3
E09000033,0
