date,LAD21CD,grid_truth,grid_loo
2021-04-01,E06000031,12.5,12.40210598760161
2021-04-01,E06000032,12.7,12.88217359310409
2021-04-01,E06000033,12.8,13.301031548800427
2021-04-01,E06000034,13.4,13.228716470569694
2021-04-01,E06000035,13.7,13.389240723569856
2021-04-01,E06000043,13.9,13.752373646992847
2021-04-01,E06000055,12.4,12.673233351592978
2021-04-01,E06000056,12.7,12.798164207652874
2021-04-01,E06000060,13.3,12.972487400579132
2021-04-01,E07000008,11.9,12.603654623612401
2021-04-01,E07000009,11.9,12.514299078692716
2021-04-01,E07000010,12.2,12.453715376388985
2021-04-01,E07000011,12.2,12.511019849632321
2021-04-01,E07000012,12.0,12.624249327315656
2021-04-01,E07000061,15.1,13.974161286797289
2021-04-01,E07000062,15.6,14.037873211777098
2021-04-01,E07000063,14.4,13.760352115163958
2021-04-01,E07000064,15.1,13.947058806017878
2021-04-01,E07000065,14.7,13.754777080146736
2021-04-01,E07000066,13.7,13.15586036175173
2021-04-01,E07000067,12.0,12.828117924313787
2021-04-01,E07000068,12.3,13.106358505635072
2021-04-01,E07000069,13.7,13.237052625048154
2021-04-01,E07000070,12.5,13.037348644007935
2021-04-01,E07000071,12.3,12.924551491973585
2021-04-01,E07000072,12.3,13.02338050554486
2021-04-01,E07000073,12.1,12.973126185425862
2021-04-01,E07000074,13.0,13.097398352889396
2021-04-01,E07000075,12.8,13.25039711392137
2021-04-01,E07000076,13.2,12.927476049034137
2021-04-01,E07000077,11.8,12.831240538122058
2021-04-01,E07000095,12.1,13.005970558615445
2021-04-01,E07000096,13.1,12.96251004541109
2021-04-01,E07000098,12.6,13.032836198916764
2021-04-01,E07000099,12.6,12.81227080462207
2021-04-01,E07000102,13.1,13.0375813673616
2021-04-01,E07000103,13.1,13.03134501744773
2021-04-01,E07000105,14.4,13.912485973776727
2021-04-01,E07000106,14.6,13.858317967760813
2021-04-01,E07000107,13.4,13.28419882757657
2021-04-01,E07000108,15.3,14.038638562312638
2021-04-01,E07000109,13.7,13.348486661353714
2021-04-01,E07000110,14.5,13.616196699615157
2021-04-01,E07000111,14.3,13.40721727779624
2021-04-01,E07000112,15.2,14.089573150739925
2021-04-01,E07000113,14.4,13.602387318636778
2021-04-01,E07000114,15.3,13.827636197959299
2021-04-01,E07000115,14.3,13.472790392114172
2021-04-01,E07000116,15.1,13.681466518986522
2021-04-01,E07000143,12.8,12.533246573849556
2021-04-01,E07000144,12.7,12.608746353618683
2021-04-01,E07000145,12.3,12.66386474606589
2021-04-01,E07000146,13.4,12.412910381463849
2021-04-01,E07000147,12.7,12.646037732998323
2021-04-01,E07000148,12.7,12.595504140615022
2021-04-01,E07000149,12.6,12.585256127485504
2021-04-01,E07000179,13.4,13.072455411897534
2021-04-01,E07000200,11.8,12.754226932519401
2021-04-01,E07000202,12.7,12.719046259462592
2021-04-01,E07000203,12.6,12.57659410821629
2021-04-01,E07000207,13.4,13.246794129892182
2021-04-01,E07000208,13.7,13.269068335105722
2021-04-01,E07000209,13.4,13.311913669310668
2021-04-01,E07000210,13.7,13.364032987802442
2021-04-01,E07000211,13.7,13.352715990747312
2021-04-01,E07000212,13.1,13.217101784525898
2021-04-01,E07000213,13.1,13.198652393417333
2021-04-01,E07000215,14.0,13.403216400429352
2021-04-01,E07000216,13.3,13.378512551906068
2021-04-01,E07000217,13.4,13.264656354537912
2021-04-01,E07000223,13.9,13.681413329026029
2021-04-01,E07000224,13.1,13.635530271852042
2021-04-01,E07000226,13.7,13.471901134953232
2021-04-01,E07000227,14.0,13.53116612890956
2021-04-01,E07000228,14.0,13.581799606136137
2021-04-01,E07000229,13.1,13.697810773945793
2021-04-01,E07000240,12.6,12.966722497648085
2021-04-01,E07000241,12.6,12.964612948508705
2021-04-01,E07000242,12.1,12.891049507813674
2021-04-01,E07000243,12.6,12.85668468614547
2021-04-01,E09000001,12.8,13.16043613166717
2021-04-01,E09000002,13.4,13.149291229187027
2021-04-01,E09000003,13.2,13.067415899476973
2021-04-01,E09000004,13.4,13.231298615485967
2021-04-01,E09000005,13.2,13.108570670441576
2021-04-01,E09000006,14.0,13.285854152750336
2021-04-01,E09000007,13.2,13.123320876399202
2021-04-01,E09000008,14.0,13.275531157790054
2021-04-01,E09000010,12.1,13.063889607419007
2021-04-01,E09000011,12.8,13.214533097975957
2021-04-01,E09000012,12.8,13.13228119037438
2021-04-01,E09000013,13.2,13.158312333499161
2021-04-01,E09000014,12.8,13.098520159739413
2021-04-01,E09000015,13.2,13.07839661568271
2021-04-01,E09000016,13.4,13.144031796141737
2021-04-01,E09000017,13.1,13.118422005711336
2021-04-01,E09000019,12.8,13.13174990203458
2021-04-01,E09000020,13.2,13.155933981236714
2021-04-01,E09000021,13.2,13.236806287169694
2021-04-01,E09000022,12.8,13.208700868107085
2021-04-01,E09000023,12.8,13.225289503134983
2021-04-01,E09000024,13.2,13.228451974929662
2021-04-01,E09000025,12.8,13.162497047584225
2021-04-01,E09000026,12.8,13.116767997687374
2021-04-01,E09000027,13.2,13.192923367604763
2021-04-01,E09000028,12.8,13.19684642321901
2021-04-01,E09000029,13.7,13.261354159191553
2021-04-01,E09000030,12.8,13.164002590092174
2021-04-01,E09000031,12.8,13.101746860553787
2021-04-01,E09000032,13.2,13.196189862873732
2021-04-01,E09000033,13.2,13.148620418072847
2021-04-02,E06000031,11.7,12.09203999778178
2021-04-02,E06000032,12.0,12.185515954500891
2021-04-02,E06000033,11.7,12.321093175935896
2021-04-02,E06000034,12.0,12.266826635284605
2021-04-02,E06000035,12.1,12.352544532163012
2021-04-02,E06000043,13.5,12.685993845635657
2021-04-02,E06000055,11.6,12.145141427282315
2021-04-02,E06000056,12.0,12.166600730039972
2021-04-02,E06000060,12.1,12.21501226904217
2021-04-02,E07000008,12.2,12.130998093489158
2021-04-02,E07000009,12.2,12.175466868639868
2021-04-02,E07000010,11.7,12.208331233291858
2021-04-02,E07000011,11.6,12.114531324001105
2021-04-02,E07000012,12.0,12.138384594394516
2021-04-02,E07000061,14.4,12.818332782736498
2021-04-02,E07000062,14.7,12.814340111777376
2021-04-02,E07000063,12.7,12.705006778161797
2021-04-02,E07000064,13.4,12.769732827572517
2021-04-02,E07000065,12.9,12.646688170594917
2021-04-02,E07000066,12.1,12.241704001550673
2021-04-02,E07000067,12.3,12.157132784531356
2021-04-02,E07000068,12.1,12.212342326689049
2021-04-02,E07000069,12.1,12.280519074920006
2021-04-02,E07000070,12.0,12.199841622916445
2021-04-02,E07000071,12.2,12.19773614430512
2021-04-02,E07000072,12.1,12.192080575076886
2021-04-02,E07000073,12.2,12.179461112680599
2021-04-02,E07000074,12.0,12.243130181245254
2021-04-02,E07000075,11.7,12.30331923281276
2021-04-02,E07000076,12.4,12.239676849313282
2021-04-02,E07000077,12.1,12.15601091384988
2021-04-02,E07000095,12.2,12.190992235692653
2021-04-02,E07000096,12.4,12.197448045789017
2021-04-02,E07000098,12.5,12.202139481093523
2021-04-02,E07000099,12.3,12.158032443122144
2021-04-02,E07000102,12.4,12.214140235037835
2021-04-02,E07000103,12.4,12.21058892680842
2021-04-02,E07000105,12.9,12.72222239753555
2021-04-02,E07000106,13.4,12.702219355492563
2021-04-02,E07000107,12.0,12.291556419752775
2021-04-02,E07000108,14.4,12.841014546582574
2021-04-02,E07000109,12.1,12.32529301764725
2021-04-02,E07000110,12.8,12.491568504058183
2021-04-02,E07000111,12.6,12.361596192661896
2021-04-02,E07000112,14.3,12.84313224884638
2021-04-02,E07000113,12.9,12.493254218576057
2021-04-02,E07000114,14.4,12.693430163203951
2021-04-02,E07000115,12.6,12.396210055624644
2021-04-02,E07000116,13.4,12.541325574257442
2021-04-02,E07000143,12.6,12.718413754322546
2021-04-02,E07000144,14.0,12.980727050630342
2021-04-02,E07000145,13.1,13.18246277393414
2021-04-02,E07000146,13.1,12.465349343564789
2021-04-02,E07000147,14.0,13.060358531574963
2021-04-02,E07000148,14.0,12.884305522828836
2021-04-02,E07000149,12.4,12.930752082192088
2021-04-02,E07000179,12.0,12.255448295409538
2021-04-02,E07000200,11.6,12.246180412823762
2021-04-02,E07000202,11.9,12.300280661230058
2021-04-02,E07000203,12.3,12.405170822055549
2021-04-02,E07000207,12.3,12.298151657464645
2021-04-02,E07000208,12.3,12.305271170196548
2021-04-02,E07000209,12.3,12.352992890511038
2021-04-02,E07000210,12.3,12.373885133644555
2021-04-02,E07000211,12.3,12.352243453724537
2021-04-02,E07000212,12.4,12.284943325388461
2021-04-02,E07000213,12.4,12.272264430338254
2021-04-02,E07000215,12.4,12.375516402007538
2021-04-02,E07000216,12.5,12.407199342594689
2021-04-02,E07000217,12.3,12.32013114434696
2021-04-02,E07000223,13.5,12.658194821406962
2021-04-02,E07000224,13.3,12.6392025472471
2021-04-02,E07000226,12.3,12.4429276491817
2021-04-02,E07000227,12.9,12.527645543245823
2021-04-02,E07000228,12.9,12.52572684807057
2021-04-02,E07000229,13.3,12.670263926027916
2021-04-02,E07000240,12.5,12.18852203294751
2021-04-02,E07000241,12.5,12.183424599490257
2021-04-02,E07000242,12.2,12.168047918294
2021-04-02,E07000243,12.3,12.166562451327694
2021-04-02,E09000001,11.9,12.245499909874738
2021-04-02,E09000002,12.0,12.236443085017505
2021-04-02,E09000003,12.3,12.21536269541461
2021-04-02,E09000004,12.0,12.26903610429748
2021-04-02,E09000005,12.3,12.230252469291443
2021-04-02,E09000006,12.4,12.29672728260044
2021-04-02,E09000007,12.3,12.230553444115582
2021-04-02,E09000008,12.4,12.298677861374093
2021-04-02,E09000010,12.2,12.20617897750788
2021-04-02,E09000011,11.9,12.261425013865827
2021-04-02,E09000012,11.9,12.234454286869422
2021-04-02,E09000013,12.3,12.245992924235042
2021-04-02,E09000014,11.9,12.22539081231609
2021-04-02,E09000015,12.3,12.223848241526664
2021-04-02,E09000016,12.0,12.233438816768082
2021-04-02,E09000017,12.4,12.238358070485967
2021-04-02,E09000019,11.9,12.236080344308235
2021-04-02,E09000020,12.3,12.243798617676527
2021-04-02,E09000021,12.3,12.284334732368656
2021-04-02,E09000022,11.9,12.266014829604625
2021-04-02,E09000023,11.9,12.26892333057341
2021-04-02,E09000024,12.3,12.275191370548448
2021-04-02,E09000025,11.9,12.241627130593173
2021-04-02,E09000026,11.9,12.225041240165158
2021-04-02,E09000027,12.3,12.264792634462326
2021-04-02,E09000028,11.9,12.259038807466808
2021-04-02,E09000029,12.3,12.295416788914203
2021-04-02,E09000030,11.9,12.244624771068002
2021-04-02,E09000031,11.9,12.222985290271094
2021-04-02,E09000032,12.3,12.259905483853101
2021-04-02,E09000033,12.3,12.239680869237468
2021-04-03,E06000031,12.1,12.157038112499807
2021-04-03,E06000032,12.0,12.346208704696124
2021-04-03,E06000033,12.5,12.687482424175194
2021-04-03,E06000034,12.6,12.573668513585556
2021-04-03,E06000035,12.9,12.683804320079323
2021-04-03,E06000043,12.7,12.677966134533083
2021-04-03,E06000055,12.0,12.256025581593043
2021-04-03,E06000056,12.0,12.316550999088513
2021-04-03,E06000060,11.8,12.336789634614544
2021-04-03,E07000008,12.1,12.308176934300427
2021-04-03,E07000009,12.1,12.302755532149689
2021-04-03,E07000010,11.8,12.274100857605433
2021-04-03,E07000011,11.8,12.232227481366285
2021-04-03,E07000012,12.1,12.310402781886735
2021-04-03,E07000061,13.4,12.860595928626559
2021-04-03,E07000062,13.8,12.985513203375241
2021-04-03,E07000063,12.9,12.709470184169763
2021-04-03,E07000064,13.6,12.931533877492656
2021-04-03,E07000065,13.1,12.750536479469762
2021-04-03,E07000066,12.9,12.563630126878701
2021-04-03,E07000067,12.3,12.458222535234055
2021-04-03,E07000068,12.5,12.510593596101648
2021-04-03,E07000069,12.9,12.624685426385566
2021-04-03,E07000070,12.4,12.521772631007561
2021-04-03,E07000071,12.4,12.544659146388815
2021-04-03,E07000072,12.5,12.454583485996025
2021-04-03,E07000073,12.4,12.432835586772676
2021-04-03,E07000074,12.7,12.605749462410776
2021-04-03,E07000075,12.5,12.673312922601646
2021-04-03,E07000076,12.8,12.592618140907373
2021-04-03,E07000077,12.2,12.412123253840333
2021-04-03,E07000095,12.4,12.420849196442438
2021-04-03,E07000096,12.3,12.35128697421865
2021-04-03,E07000098,12.5,12.39832231767639
2021-04-03,E07000099,12.3,12.344356622597985
2021-04-03,E07000102,12.3,12.383587169456431
2021-04-03,E07000103,12.3,12.389056212175104
2021-04-03,E07000105,13.6,13.011898394835345
2021-04-03,E07000106,14.0,13.090231759214651
2021-04-03,E07000107,12.6,12.569121327076116
2021-04-03,E07000108,14.7,13.23935265087512
2021-04-03,E07000109,12.9,12.624036734771817
2021-04-03,E07000110,13.4,12.792089957551246
2021-04-03,E07000111,13.1,12.595366436028387
2021-04-03,E07000112,14.1,13.174288051253313
2021-04-03,E07000113,13.6,12.858472808865493
2021-04-03,E07000114,14.7,13.133658075399872
2021-04-03,E07000115,13.1,12.667146279825374
2021-04-03,E07000116,13.6,12.775501600580252
2021-04-03,E07000143,12.6,12.54006538606433
2021-04-03,E07000144,13.1,12.708348160769454
2021-04-03,E07000145,12.9,12.77342736417706
2021-04-03,E07000146,12.9,12.37234364106179
2021-04-03,E07000147,13.1,12.740722519020501
2021-04-03,E07000148,13.1,12.66303249204696
2021-04-03,E07000149,12.5,12.670969069047567
2021-04-03,E07000179,11.7,12.342208309520187
2021-04-03,E07000200,11.8,12.505484433906636
2021-04-03,E07000202,12.3,12.527607939611
2021-04-03,E07000203,12.3,12.495330859436836
2021-04-03,E07000207,12.2,12.455260878112618
2021-04-03,E07000208,12.4,12.477963653568981
2021-04-03,E07000209,12.2,12.454369234859215
2021-04-03,E07000210,12.4,12.500041827308477
2021-04-03,E07000211,12.4,12.516219328478368
2021-04-03,E07000212,12.4,12.421234966320052
2021-04-03,E07000213,12.4,12.425426495770864
2021-04-03,E07000215,12.6,12.557827346434943
2021-04-03,E07000216,12.2,12.467407095002642
2021-04-03,E07000217,12.2,12.439653331697482
2021-04-03,E07000223,12.7,12.619957546366884
2021-04-03,E07000224,12.3,12.568393588510663
2021-04-03,E07000226,12.4,12.561152046664876
2021-04-03,E07000227,12.8,12.546597668575313
2021-04-03,E07000228,12.8,12.606129469093755
2021-04-03,E07000229,12.3,12.616110898029785
2021-04-03,E07000240,12.5,12.370474328157467
2021-04-03,E07000241,12.5,12.389414249663766
2021-04-03,E07000242,12.4,12.389454646647916
2021-04-03,E07000243,12.3,12.360080563069504
2021-04-03,E09000001,12.2,12.468122846784933
2021-04-03,E09000002,12.6,12.49801114205619
2021-04-03,E09000003,12.5,12.420931286311264
2021-04-03,E09000004,12.6,12.52717224770711
2021-04-03,E09000005,12.5,12.424911211813901
2021-04-03,E09000006,12.6,12.533170895253873
2021-04-03,E09000007,12.5,12.444378207723569
2021-04-03,E09000008,12.6,12.50516850786004
2021-04-03,E09000010,12.4,12.432817404649356
2021-04-03,E09000011,12.2,12.509477431978587
2021-04-03,E09000012,12.2,12.463949647643354
2021-04-03,E09000013,12.5,12.44558878812634
2021-04-03,E09000014,12.2,12.447411203046991
2021-04-03,E09000015,12.5,12.40674450315777
2021-04-03,E09000016,12.6,12.51232425720493
2021-04-03,E09000017,12.4,12.405873371978107
2021-04-03,E09000019,12.2,12.456817862646071
2021-04-03,E09000020,12.5,12.44892671682418
2021-04-03,E09000021,12.5,12.459544809070609
2021-04-03,E09000022,12.2,12.478949068854757
2021-04-03,E09000023,12.2,12.49989042382776
2021-04-03,E09000024,12.5,12.470025722914642
2021-04-03,E09000025,12.2,12.48914790969299
2021-04-03,E09000026,12.2,12.481181429421422
2021-04-03,E09000027,12.5,12.442946465595085
2021-04-03,E09000028,12.2,12.482032610264483
2021-04-03,E09000029,12.4,12.487960599650892
2021-04-03,E09000030,12.2,12.4779493879599
2021-04-03,E09000031,12.2,12.462421117551589
2021-04-03,E09000032,12.5,12.461819420682845
2021-04-03,E09000033,12.5,12.45127802232647
2021-04-04,E06000031,10.9,10.270099751442547
2021-04-04,E06000032,9.7,9.219864905571916
2021-04-04,E06000033,9.5,9.178121801880716
2021-04-04,E06000034,9.2,9.062177565805356
2021-04-04,E06000035,9.4,9.058893794458516
2021-04-04,E06000043,10.4,8.917908550285128
2021-04-04,E06000055,10.4,9.520052679201786
2021-04-04,E06000056,9.7,9.33050358263295
2021-04-04,E06000060,9.4,9.146525799165403
2021-04-04,E07000008,10.4,9.700127374892478
2021-04-04,E07000009,10.4,10.141889522032145
2021-04-04,E07000010,10.4,10.501083087740456
2021-04-04,E07000011,9.9,9.92942253635409
2021-04-04,E07000012,10.1,9.642227824809973
2021-04-04,E07000061,11.0,8.958955423165241
2021-04-04,E07000062,11.2,8.948712835572202
2021-04-04,E07000063,8.1,9.00706180143022
2021-04-04,E07000064,8.4,9.055841228618224
