LAD21CD,date,gust,precip,n_inc,maxc,wmaxc,log_population,urban_binary,income_deprivation_rate,year,month,any_gt0,wthr_gt0,any_gt5,wthr_gt5,any_gt100,wthr_gt100,any_gt1000,wthr_gt1000,hours,grid_lat,grid_lon,gust_proxy
E06000031,2021-04-01,12.5,0.2357014693557049,0,-1.0,-1.0,12.2852072486939,1.0,0.156,2021,4,0,0,0,0,0,0,0,0,24,52.5,-0.25,10.39035829837927
E06000032,2021-04-01,12.7,0.1328803516496324,0,-1.0,-1.0,12.3236689970955,1.0,0.155,2021,4,0,0,0,0,0,0,0,0,24,52.0,-0.5,10.23059277069465
E06000033,2021-04-01,12.8,0.0353825153888538,1,6.0,-1.0,12.10434441402282,1.0,0.144,2021,4,1,0,1,0,0,0,0,0,24,51.5,0.75,10.058329975815912
E06000034,2021-04-01,13.4,0.0350513194208201,1,1.0,-1.0,12.077858519724389,1.0,0.13,2021,4,1,0,0,0,0,0,0,0,24,51.5,0.25,10.07364925053392
E06000035,2021-04-01,13.7,0.0295237028177116,2,17.0,-1.0,12.54219839355972,1.0,0.134,2021,4,1,0,1,0,0,0,0,0,24,51.5,0.5,10.15518126561624
E06000043,2021-04-01,13.9,0.0291188154501435,1,31.0,-1.0,12.535376392672774,1.0,0.123,2021,4,1,0,1,0,0,0,0,0,24,50.75,-0.25,10.838380345972354
E06000055,2021-04-01,12.4,0.2335600083282255,3,1.0,-1.0,12.132404576604838,1.0,0.114,2021,4,1,0,0,0,0,0,0,0,24,52.25,-0.5,10.264610414463313
E06000056,2021-04-01,12.7,0.1697117524752125,1,2.0,-1.0,12.596934983621066,0.0,0.077,2021,4,1,0,0,0,0,0,0,0,24,52.0,-0.5,10.250560468332347
E06000060,2021-04-01,13.3,0.1061236359097821,0,-1.0,-1.0,13.227013440750667,1.0,0.06325,2021,4,0,0,0,0,0,0,0,0,24,51.75,-0.75,10.35459532008715
E07000008,2021-04-01,11.9,0.1838881911394054,1,7.0,-1.0,11.91064061961833,1.0,0.077,2021,4,1,0,1,0,0,0,0,0,24,52.25,0.25,10.144257127740776
E07000009,2021-04-01,11.9,0.168034511369033,0,-1.0,-1.0,11.38651154011457,0.0,0.07,2021,4,0,0,0,0,0,0,0,0,24,52.25,0.25,10.395692243911183
E07000010,2021-04-01,12.2,0.1815970336010904,1,0.0,-1.0,11.539869200417774,0.0,0.14,2021,4,1,0,0,0,0,0,0,0,24,52.5,0.0,10.586659244833244
E07000011,2021-04-01,12.2,0.2496095386101576,0,-1.0,-1.0,12.110810964549762,0.0,0.074,2021,4,0,0,0,0,0,0,0,0,24,52.25,-0.25,10.249285216592666
E07000012,2021-04-01,12.0,0.1771730575668541,0,-1.0,-1.0,12.001763115309677,0.0,0.056,2021,4,0,0,0,0,0,0,0,0,24,52.25,0.0,10.11585064742314
E07000061,2021-04-01,15.1,0.0330923790514615,0,-1.0,-1.0,11.535704051859568,1.0,0.141,2021,4,0,0,0,0,0,0,0,0,24,50.75,0.25,11.259689383267716
E07000062,2021-04-01,15.6,0.0329906277931281,0,-1.0,-1.0,11.41832903038917,1.0,0.202,2021,4,0,0,0,0,0,0,0,0,24,50.75,0.5,11.236701117461354
E07000063,2021-04-01,14.4,0.0291549231945512,1,4.0,-1.0,11.514584088693098,1.0,0.099,2021,4,1,0,0,0,0,0,0,0,24,51.0,0.0,10.86246026827374
E07000064,2021-04-01,15.1,0.0309632227623871,2,48.0,48.0,11.45448034132121,0.0,0.113,2021,4,1,1,1,1,0,0,0,0,24,51.0,0.5,10.950113275223044
E07000065,2021-04-01,14.7,0.0285675762994783,0,-1.0,-1.0,12.002063606215954,0.0,0.073,2021,4,0,0,0,0,0,0,0,0,24,51.0,0.25,10.774967894691557
E07000066,2021-04-01,13.7,0.0410156805362088,0,-1.0,-1.0,12.160656781999691,1.0,0.138,2021,4,0,0,0,0,0,0,0,0,24,51.5,0.5,10.021935529024416
E07000067,2021-04-01,12.0,0.0774719966892842,0,-1.0,-1.0,11.98601183767587,0.0,0.092,2021,4,0,0,0,0,0,0,0,0,24,52.0,0.5,9.986640963521788
E07000068,2021-04-01,12.3,0.0463367100811186,1,1.0,-1.0,11.253001221229496,1.0,0.064,2021,4,1,0,0,0,0,0,0,0,24,51.75,0.25,10.023514568841158
E07000069,2021-04-01,13.7,0.0368707355582184,0,-1.0,-1.0,11.404359818363451,1.0,0.107,2021,4,0,0,0,0,0,0,0,0,24,51.5,0.5,10.03930580226035
E07000070,2021-04-01,12.5,0.0525537856867939,0,-1.0,-1.0,12.110810964549762,1.0,0.077,2021,4,0,0,0,0,0,0,0,0,24,51.75,0.5,9.985671238389854
E07000071,2021-04-01,12.3,0.0590901379651631,1,1.0,-1.0,12.198529265645048,1.0,0.099,2021,4,1,0,0,0,0,0,0,0,24,52.0,0.75,10.062362337559716
E07000072,2021-04-01,12.3,0.0556700021750475,1,37.0,-1.0,11.812592924855007,1.0,0.091,2021,4,1,0,1,0,0,0,0,0,24,51.75,0.25,10.065759428382522
E07000073,2021-04-01,12.1,0.0723016373870951,0,-1.0,-1.0,11.47656226523392,1.0,0.134,2021,4,0,0,0,0,0,0,0,0,24,51.75,0.0,10.053378566235756
