target,version,n,events,theta,beta,p0,nll
any_gt0,proxy,121656,41926,22.61812404800856,0.4369571183673318,0.31914189959842904,77802.69377257308
any_gt0,era5_daily_max,121656,41926,28.845182803189996,0.41100145473125,0.31912223317753624,77783.96496177802
any_gt5,proxy,121656,20285,23.93311883798178,0.36224173025815964,0.15106327552733786,54215.359700199486
any_gt5,era5_daily_max,121656,20285,30.896371605594968,0.3599048854226883,0.14979923384433988,54181.285425905204
any_gt100,proxy,121656,7369,25.08162794669039,0.29127842527951836,0.053124945621030865,27206.361176562445
any_gt100,era5_daily_max,121656,7369,32.81358812658871,0.29574353591645863,0.05274410935565649,27217.36590580535
any_gt1000,proxy,121656,1020,30.39835295217926,0.24392883450069291,0.007312959594175623,5701.566802199743
any_gt1000,era5_daily_max,121656,1020,40.82044559817588,0.262475751604438,0.007300035916261378,5729.892183049784
wthr_gt0,proxy,121656,6122,23.124738315552467,0.3301008832491123,0.033569771455826625,22566.34444235389
wthr_gt0,era5_daily_max,121656,6122,29.59053250687388,0.3130540632888029,0.033361418367435065,22528.256217959064
wthr_gt5,proxy,121656,4394,24.243925436493925,0.32123699982838044,0.023860731436013728,17494.49737699091
wthr_gt5,era5_daily_max,121656,4394,31.027163086156573,0.30532114233064417,0.023780296207039368,17478.83782694127
wthr_gt100,proxy,121656,2472,25.3656980699738,0.29024347453827914,0.013155233687830056,10993.229005825335
wthr_gt100,era5_daily_max,121656,2472,32.673125038361974,0.28061156107612056,0.013123086357609302,11010.31206181883
wthr_gt1000,proxy,121656,312,31.79366258314635,0.27062278669741596,0.0014287524836802303,1862.8900560962431
wthr_gt1000,era5_daily_max,121656,312,200.0,0.05,0.0025646075035803775,2172.9758167098703
