target,candidate,fold,n,valid,brier,brier_a01,absolute_gain,relative_gain,constant_brier
any_gt0,A01_daily_max,0,25208,True,0.2200506938934814,0.2200506938934814,0.0,0.0,0.22278388835185486
any_gt0,A01_daily_max,1,24112,True,0.22079526292475374,0.22079526292475374,0.0,0.0,0.22356232336083168
any_gt0,A01_daily_max,2,24112,True,0.21839696042846257,0.21839696042846257,0.0,0.0,0.22080077715836177
any_gt0,A01_daily_max,3,24112,True,0.22685682406409402,0.22685682406409402,0.0,0.0,0.22746349662901702
any_gt0,A01_daily_max,4,24112,True,0.23342058262705714,0.23342058262705714,0.0,0.0,0.23558157290972306
any_gt0,A02_daily_mean,0,25208,True,0.22070026136413193,0.2200506938934814,-0.0006495674706505361,-0.00295189921539156,0.22278388835185486
any_gt0,A02_daily_mean,1,24112,True,0.22145953415810438,0.22079526292475374,-0.0006642712333506384,-0.0030085393343652475,0.22356232336083168
any_gt0,A02_daily_mean,2,24112,True,0.21911938056930907,0.21839696042846257,-0.0007224201408465025,-0.0033078305642588656,0.22080077715836177
any_gt0,A02_daily_mean,3,24112,True,0.2276727649143401,0.22685682406409402,-0.000815940850246083,-0.0035967216486093214,0.22746349662901702
any_gt0,A02_daily_mean,4,24112,True,0.23407846214073838,0.23342058262705714,-0.0006578795136812365,-0.002818429747184505,0.23558157290972306
any_gt0,A03_daily_q90,0,25208,True,0.22021296290791276,0.2200506938934814,-0.00016226901443136543,-0.0007374165087155509,0.22278388835185486
any_gt0,A03_daily_q90,1,24112,True,0.22098694289461768,0.22079526292475374,-0.00019167996986393931,-0.0008681344306252765,0.22356232336083168
any_gt0,A03_daily_q90,2,24112,True,0.21861855404292885,0.21839696042846257,-0.00022159361446627557,-0.0010146368980206576,0.22080077715836177
any_gt0,A03_daily_q90,3,24112,True,0.22710286591670678,0.22685682406409402,-0.00024604185261276057,-0.0010845688844839253,0.22746349662901702
any_gt0,A03_daily_q90,4,24112,True,0.23368984179556662,0.23342058262705714,-0.00026925916850947806,-0.0011535365282661523,0.23558157290972306
any_gt0,A04_top3_mean,0,25208,True,0.22008191849107714,0.2200506938934814,-3.122459759574703e-05,-0.0001418972921342467,0.22278388835185486
any_gt0,A04_top3_mean,1,24112,True,0.22087273164979984,0.22079526292475374,-7.746872504610369e-05,-0.00035086226044851683,0.22356232336083168
