target,candidate,bin,lower,upper,n,events,mean_probability,observed_frequency,sparse
any_gt0,M0,0,0.0,0.30997131596955085,0,0,,,True
any_gt0,M0,1,0.30997131596955085,0.3164989155622636,11631,4141,0.3119602902817669,0.35603129567535036,False
any_gt0,M0,2,0.3164989155622636,0.32103964218937875,12693,4235,0.31834425742331407,0.3336484676593398,False
any_gt0,M0,3,0.32103964218937875,0.3226630999421397,12759,3988,0.3219918238645641,0.31256368053922723,False
any_gt0,M0,4,0.3226630999421397,0.32461699878879136,10558,3287,0.3236785678503541,0.3113279030119341,False
any_gt0,M0,5,0.32461699878879136,0.3266432683425488,12644,3889,0.32540251904619366,0.3075767162290414,False
any_gt0,M0,6,0.3266432683425488,0.3313554481064795,12648,4040,0.3287226621003834,0.31941808981657177,False
any_gt0,M0,7,0.3313554481064795,0.3399240886784398,12473,4109,0.3352036434076302,0.3294315721959432,False
any_gt0,M0,8,0.3399240886784398,0.3564414598340947,11964,4144,0.34719444026892143,0.3463724506853895,False
any_gt0,M0,9,0.3564414598340947,0.39535580544410365,12016,4445,0.3718736289202401,0.3699234354194407,False
any_gt0,M0,10,0.39535580544410365,0.8414916225887817,12270,5648,0.46149383446102243,0.46030969845150776,False
any_gt0,M0,11,0.8414916225887817,1.0,0,0,,,True
any_gt0,M1,0,0.0,0.30997131596955085,0,0,,,True
any_gt0,M1,1,0.30997131596955085,0.3164989155622636,11834,4211,0.3117119361581204,0.3558391076559067,False
any_gt0,M1,2,0.3164989155622636,0.32103964218937875,12706,4235,0.31827596924022156,0.3333070990083425,False
any_gt0,M1,3,0.32103964218937875,0.3226630999421397,14881,4658,0.32185652135231646,0.3130165983468853,False
any_gt0,M1,4,0.3226630999421397,0.32461699878879136,12272,3797,0.3238280117388049,0.30940352020860495,False
any_gt0,M1,5,0.32461699878879136,0.3266432683425488,9838,3009,0.32544773550695905,0.3058548485464525,False
any_gt0,M1,6,0.3266432683425488,0.3313554481064795,11048,3555,0.32864851283731605,0.32177769732078204,False
any_gt0,M1,7,0.3313554481064795,0.3399240886784398,11866,3899,0.3351806113718202,0.3285858756109894,False
any_gt0,M1,8,0.3399240886784398,0.3564414598340947,12607,4305,0.3475281957096028,0.34147695724597443,False
any_gt0,M1,9,0.3564414598340947,0.39535580544410365,12585,4693,0.3725439896379224,0.3729042510925705,False
any_gt0,M1,10,0.39535580544410365,0.8414916225887817,12019,5564,0.4625014251614937,0.46293368832681586,False
any_gt0,M1,11,0.8414916225887817,1.0,0,0,,,True
any_gt0,M2,0,0.0,0.30997131596955085,0,0,,,True
any_gt0,M2,1,0.30997131596955085,0.3164989155622636,12995,4568,0.312445412021202,0.3515198153135822,False
any_gt0,M2,2,0.3164989155622636,0.32103964218937875,11090,3735,0.31821873793106165,0.3367899008115419,False
any_gt0,M2,3,0.32103964218937875,0.3226630999421397,8689,2717,0.3223839841270105,0.31269421107146966,False
any_gt0,M2,4,0.3226630999421397,0.32461699878879136,13862,4336,0.32345687840777326,0.3127975761073438,False
any_gt0,M2,5,0.32461699878879136,0.3266432683425488,13986,4277,0.325347802089062,0.3058058058058058,False
any_gt0,M2,6,0.3266432683425488,0.3313554481064795,12751,4090,0.32869264833005746,0.3207591561446161,False
any_gt0,M2,7,0.3313554481064795,0.3399240886784398,12190,4010,0.33511368747935155,0.32895816242821985,False
any_gt0,M2,8,0.3399240886784398,0.3564414598340947,11927,4140,0.34720179762469366,0.34711159553953214,False
any_gt0,M2,9,0.3564414598340947,0.39535580544410365,11910,4413,0.3722133509475883,0.37052896725440804,False
any_gt0,M2,10,0.39535580544410365,0.8414916225887817,12255,5639,0.4620029888170685,0.4601387188902489,False
any_gt0,M2,11,0.8414916225887817,1.0,1,1,0.8414916225887817,1.0,True
any_gt5,M0,0,0.0,0.14540948477179505,0,0,,,True
any_gt5,M0,1,0.14540948477179505,0.14735540546395434,12325,2064,0.1460209794811754,0.16746450304259636,False
any_gt5,M0,2,0.14735540546395434,0.14984154613260067,12217,1871,0.14926880125254546,0.15314725382663502,False
any_gt5,M0,3,0.14984154613260067,0.15056357751101931,10514,1649,0.15014411749676537,0.15683850104622407,False
any_gt5,M0,4,0.15056357751101931,0.15133268672146333,13674,1992,0.15082655047144441,0.1456779289161913,False
any_gt5,M0,5,0.15133268672146333,0.15313398700278713,11475,1677,0.1522695404905127,0.14614379084967322,False
any_gt5,M0,6,0.15313398700278713,0.15438026910561403,12949,1809,0.15350812015044266,0.13970190748320332,False
any_gt5,M0,7,0.15438026910561403,0.15836968169852544,12374,1895,0.15604561947035675,0.1531436883788589,False
any_gt5,M0,8,0.15836968169852544,0.16816944044421855,11840,1932,0.16261557106511496,0.16317567567567567,False
any_gt5,M0,9,0.16816944044421855,0.19832572730822112,12007,2167,0.17966669950065295,0.18047805446822687,False
any_gt5,M0,10,0.19832572730822112,0.7706630567177347,12281,3229,0.2667769631558981,0.2629264717856852,False
any_gt5,M0,11,0.7706630567177347,1.0,0,0,,,True
any_gt5,M1,0,0.0,0.14540948477179505,0,0,,,True
any_gt5,M1,1,0.14540948477179505,0.14735540546395434,12325,2064,0.14588989099522282,0.16746450304259636,False
any_gt5,M1,2,0.14735540546395434,0.14984154613260067,11679,1789,0.14927960322980446,0.15318092302423153,False
any_gt5,M1,3,0.14984154613260067,0.15056357751101931,13160,2025,0.150125827138684,0.15387537993920972,False
any_gt5,M1,4,0.15056357751101931,0.15133268672146333,12079,1773,0.15081404171830565,0.1467836741452107,False
any_gt5,M1,5,0.15133268672146333,0.15313398700278713,8995,1325,0.1520858168824606,0.1473040578098944,False
any_gt5,M1,6,0.15313398700278713,0.15438026910561403,15181,2114,0.1534865298017486,0.13925301363546538,False
any_gt5,M1,7,0.15438026910561403,0.15836968169852544,11792,1806,0.15607161669018063,0.15315468113975578,False
any_gt5,M1,8,0.15836968169852544,0.16816944044421855,12055,1971,0.16261148228864167,0.1635006221484861,False
any_gt5,M1,9,0.16816944044421855,0.19832572730822112,12188,2190,0.17986573074421905,0.17968493600262553,False
any_gt5,M1,10,0.19832572730822112,0.7706630567177347,12202,3228,0.26725638833833193,0.2645467956072775,False
any_gt5,M1,11,0.7706630567177347,1.0,0,0,,,True
any_gt5,M2,0,0.0,0.14540948477179505,0,0,,,True
any_gt5,M2,1,0.14540948477179505,0.14735540546395434,11834,1983,0.1458453811818879,0.1675680243366571,False
any_gt5,M2,2,0.14735540546395434,0.14984154613260067,12452,1921,0.14902142597431314,0.15427240603919049,False
any_gt5,M2,3,0.14984154613260067,0.15056357751101931,12968,1975,0.15022630527086758,0.15229796421961753,False
any_gt5,M2,4,0.15056357751101931,0.15133268672146333,10542,1545,0.1508553669246558,0.14655663062037563,False
any_gt5,M2,5,0.15133268672146333,0.15313398700278713,16107,2306,0.15243278075321226,0.14316756689638047,False
any_gt5,M2,6,0.15313398700278713,0.15438026910561403,8264,1191,0.15366647977600872,0.1441190706679574,False
any_gt5,M2,7,0.15438026910561403,0.15836968169852544,12528,1881,0.15609809009087483,0.15014367816091953,False
any_gt5,M2,8,0.15836968169852544,0.16816944044421855,12624,2079,0.16256383737655797,0.16468631178707224,False
any_gt5,M2,9,0.16816944044421855,0.19832572730822112,12323,2213,0.17972144367953544,0.17958289377586625,False
any_gt5,M2,10,0.19832572730822112,0.7706630567177347,12013,3190,0.2684219413151018,0.265545658869558,False
any_gt5,M2,11,0.7706630567177347,1.0,1,1,0.7706630567177347,1.0,True
any_gt100,M0,0,0.0,0.0519149283271774,0,0,,,True
any_gt100,M0,1,0.0519149283271774,0.05203636402513215,12081,699,0.05198241645904739,0.057859448721132356,False
any_gt100,M0,2,0.05203636402513215,0.052479369977855725,9939,543,0.0523496812650696,0.05463326290371265,False
any_gt100,M0,3,0.052479369977855725,0.05254544691489899,13390,701,0.05252103836692924,0.05235250186706497,False
any_gt100,M0,4,0.05254544691489899,0.05295420946915771,12207,641,0.05267956955712551,0.052510854427787336,False
any_gt100,M0,5,0.05295420946915771,0.05316673843358698,13443,707,0.053079893561593865,0.052592427285576136,False
