target,candidate,fold,n,valid,brier,brier_m0,absolute_gain,relative_gain,constant_brier,diagnostic_brier
any_gt0,M0,0,25208,True,0.2200506938934814,0.2200506938934814,0.0,0.0,0.22278388835185486,0.2200506938934814
any_gt0,M0,1,24112,True,0.22079526292475374,0.22079526292475374,0.0,0.0,0.22356232336083168,0.22079526292475374
any_gt0,M0,2,24112,True,0.21839696042846257,0.21839696042846257,0.0,0.0,0.22080077715836177,0.21839696042846257
any_gt0,M0,3,24112,True,0.22685682406409402,0.22685682406409402,0.0,0.0,0.22746349662901702,0.22685682406409402
any_gt0,M0,4,24112,True,0.23342058262705714,0.23342058262705714,0.0,0.0,0.23558157290972306,0.23342058262705714
any_gt0,M1,0,25208,True,0.22006985127315415,0.2200506938934814,-1.9157379672757324e-05,-8.705893780108106e-05,0.22278388835185486,0.22006985127315415
any_gt0,M1,1,24112,True,0.2208006022741241,0.22079526292475374,-5.33934937035907e-06,-2.4182354728229392e-05,0.22356232336083168,0.2208006022741241
any_gt0,M1,2,24112,True,0.21839076995239282,0.21839696042846257,6.190476069756201e-06,2.8345065140153058e-05,0.22080077715836177,0.21839076995239282
any_gt0,M1,3,24112,True,0.22683590613137344,0.22685682406409402,2.0917932720576626e-05,9.220764156808732e-05,0.22746349662901702,0.22683590613137344
any_gt0,M1,4,24112,True,0.2334272418137488,0.23342058262705714,-6.6591866916543285e-06,-2.8528703924511683e-05,0.23558157290972306,0.2334272418137488
any_gt0,M2,0,25208,True,0.22010305754561232,0.2200506938934814,-5.23636521309323e-05,-0.00023796176782918784,0.22278388835185486,0.22010305754561232
any_gt0,M2,1,24112,True,0.22080905303855544,0.22079526292475374,-1.3790113801703807e-05,-6.245656550341585e-05,0.22356232336083168,0.22080905303855544
any_gt0,M2,2,24112,True,0.2183965668116263,0.21839696042846257,3.936168362639325e-07,1.8022999747419306e-06,0.22080077715836177,0.2183965668116263
any_gt0,M2,3,24112,True,0.22693813873846275,0.22685682406409402,-8.131467436872652e-05,-0.0003584405040676785,0.22746349662901702,0.22693813873846275
any_gt0,M2,4,24112,True,0.23342006685261532,0.23342058262705714,5.157744418227139e-07,2.2096356543106645e-06,0.23558157290972306,0.23342006685261532
any_gt5,M0,0,25208,True,0.13399230075398078,0.13399230075398078,0.0,0.0,0.13624571926175774,0.13399230075398078
any_gt5,M0,1,24112,True,0.1346752256777317,0.1346752256777317,0.0,0.0,0.1368854936584309,0.1346752256777317
any_gt5,M0,2,24112,True,0.12906788782491171,0.12906788782491171,0.0,0.0,0.13069214802557516,0.12906788782491171
any_gt5,M0,3,24112,True,0.14063117846705067,0.14063117846705067,0.0,0.0,0.1415881650753081,0.14063117846705067
any_gt5,M0,4,24112,True,0.14790693380075007,0.14790693380075007,0.0,0.0,0.14965269629330002,0.14790693380075007
any_gt5,M1,0,25208,True,0.13399397852171194,0.13399230075398078,-1.6777677311619055e-06,-1.2521374151507439e-05,0.13624571926175774,0.13399397852171194
any_gt5,M1,1,24112,True,0.13468321319036408,0.1346752256777317,-7.987512632368077e-06,-5.9309443085557764e-05,0.1368854936584309,0.13468321319036408
any_gt5,M1,2,24112,True,0.12906888255401136,0.12906788782491171,-9.947290996459301e-07,-7.707022377210817e-06,0.13069214802557516,0.12906888255401136
any_gt5,M1,3,24112,True,0.14063720255277132,0.14063117846705067,-6.024085720646166e-06,-4.2836060867239235e-05,0.1415881650753081,0.14063720255277132
any_gt5,M1,4,24112,True,0.14791523877190085,0.14790693380075007,-8.304971150785434e-06,-5.614997848561524e-05,0.14965269629330002,0.14791523877190085
any_gt5,M2,0,25208,True,0.1339844081869239,0.13399230075398078,7.892567056883015e-06,5.8903138557000524e-05,0.13624571926175774,0.1339844081869239
any_gt5,M2,1,24112,True,0.13467103161143631,0.1346752256777317,4.194066295398757e-06,3.114207735158997e-05,0.1368854936584309,0.13467103161143631
any_gt5,M2,2,24112,True,0.1290841143667156,0.12906788782491171,-1.6226541803887606e-05,-0.00012572098356409053,0.13069214802557516,0.1290841143667156
any_gt5,M2,3,24112,True,0.14071360167360247,0.14063117846705067,-8.242320655180158e-05,-0.0005860948293988236,0.1415881650753081,0.14071360167360247
any_gt5,M2,4,24112,True,0.14790437709902599,0.14790693380075007,2.5567017240823997e-06,1.7285881455203517e-05,0.14965269629330002,0.14790437709902599
any_gt100,M0,0,25208,True,0.05604182533494554,0.05604182533494554,0.0,0.0,0.05708089970757259,0.05604182533494554
any_gt100,M0,1,24112,True,0.057512604957874636,0.057512604957874636,0.0,0.0,0.058928445958570275,0.057512604957874636
any_gt100,M0,2,24112,True,0.05389174670431336,0.05389174670431336,0.0,0.0,0.054700936290447845,0.05389174670431336
any_gt100,M0,3,24112,True,0.05320292390603849,0.05320292390603849,0.0,0.0,0.05361179967848385,0.05320292390603849
any_gt100,M0,4,24112,True,0.05940165382196446,0.05940165382196446,0.0,0.0,0.06020903720143228,0.05940165382196446
any_gt100,M1,0,25208,True,0.05604210342150391,0.05604182533494554,-2.780865583709713e-07,-4.9621252824819595e-06,0.05708089970757259,0.05604210342150391
any_gt100,M1,1,24112,True,0.05751306346075754,0.057512604957874636,-4.585028829037774e-07,-7.972215538482562e-06,0.058928445958570275,0.05751306346075754
any_gt100,M1,2,24112,True,0.05389230522784955,0.05389174670431336,-5.58523536191291e-07,-1.0363804670420679e-05,0.054700936290447845,0.05389230522784955
any_gt100,M1,3,24112,True,0.05320593200614048,0.05320292390603849,-3.008100101987987e-06,-5.654012751819022e-05,0.05361179967848385,0.05320593200614048
any_gt100,M1,4,24112,True,0.05940168370859617,0.05940165382196446,-2.988663171110684e-08,-5.031279398496462e-07,0.06020903720143228,0.05940168370859617
any_gt100,M2,0,25208,True,0.05602919046257938,0.05604182533494554,1.2634872366162897e-05,0.00022545433327069513,0.05708089970757259,0.05602919046257938
any_gt100,M2,1,24112,True,0.05749997026910195,0.057512604957874636,1.2634688772682201e-05,0.00021968555905155983,0.058928445958570275,0.05749997026910195
any_gt100,M2,2,24112,True,0.05391334841463473,0.05389174670431336,-2.1601710321367262e-05,-0.00040083522324649973,0.054700936290447845,0.05391334841463473
any_gt100,M2,3,24112,True,0.05325754304999143,0.05320292390603849,-5.4619143952938654e-05,-0.0010266192145642473,0.05361179967848385,0.05325754304999143
any_gt100,M2,4,24112,True,0.05939351825778809,0.05940165382196446,8.135564176371679e-06,0.00013695854665520202,0.06020903720143228,0.05939351825778809
any_gt1000,M0,0,25208,True,0.009225336510813304,0.009225336510813304,0.0,0.0,0.009315030947516066,0.009225336510813304
any_gt1000,M0,1,24112,True,0.008367580730464785,0.008367580730464785,0.0,0.0,0.008511298436645155,0.008367580730464785
any_gt1000,M0,2,24112,True,0.007576280102252322,0.007576280102252322,0.0,0.0,0.007614448544035552,0.007576280102252322
any_gt1000,M0,3,24112,True,0.007287441626823876,0.007287441626823876,0.0,0.0,0.0073292811701277044,0.007287441626823876
any_gt1000,M0,4,24112,True,0.00866572758217597,0.00866572758217597,0.0,0.0,0.008756054376847566,0.00866572758217597
any_gt1000,M1,0,25208,True,0.009225810715268666,0.009225336510813304,-4.742044553626701e-07,-5.140240194022628e-05,0.009315030947516066,0.009225810715268666
any_gt1000,M1,1,24112,True,0.00836685795105385,0.008367580730464785,7.227794109349733e-07,8.637854049061871e-05,0.008511298436645155,0.00836685795105385
any_gt1000,M1,2,24112,True,0.0075781486194297,0.007576280102252322,-1.8685171773776682e-06,-0.00024662725666942857,0.007614448544035552,0.0075781486194297
any_gt1000,M1,3,24112,True,0.007288684667522128,0.007287441626823876,-1.2430406982517905e-06,-0.00017057298869830556,0.0073292811701277044,0.007288684667522128
any_gt1000,M1,4,24112,True,0.008671650562608256,0.00866572758217597,-5.922980432285924e-06,-0.0006834948798146571,0.008756054376847566,0.008671650562608256
any_gt1000,M2,0,25208,True,0.009217809755902468,0.009225336510813304,7.526754910835987e-06,0.0008158786296861522,0.009315030947516066,0.009217809755902468
any_gt1000,M2,1,24112,True,0.008360595923451905,0.008367580730464785,6.984807012879943e-06,0.0008347462950013229,0.008511298436645155,0.008360595923451905
any_gt1000,M2,2,24112,True,0.007570313748136218,0.007576280102252322,5.966354116104106e-06,0.0007875044263913094,0.007614448544035552,0.007570313748136218
any_gt1000,M2,3,24112,True,0.0072950135361766946,0.007287441626823876,-7.5719093528183595e-06,-0.0010390353351095677,0.0073292811701277044,0.0072950135361766946
any_gt1000,M2,4,24112,True,0.00866297250368686,0.00866572758217597,2.7550784891111624e-06,0.00031792812120910914,0.008756054376847566,0.00866297250368686
wthr_gt0,M0,0,25208,True,0.0470954652569909,0.0470954652569909,0.0,0.0,0.050201549278040714,0.0470954652569909
wthr_gt0,M0,1,24112,True,0.050579860681880945,0.050579860681880945,0.0,0.0,0.053805922507277136,0.050579860681880945
wthr_gt0,M0,2,24112,True,0.046658353334945966,0.046658353334945966,0.0,0.0,0.049419095660247686,0.046658353334945966
wthr_gt0,M0,3,24112,True,0.0391892770854365,0.0391892770854365,0.0,0.0,0.04050233910893154,0.0391892770854365
wthr_gt0,M0,4,24112,True,0.04292233742590286,0.04292233742590286,0.0,0.0,0.04498411306845427,0.04292233742590286
wthr_gt0,M1,0,25208,True,0.04709721643502528,0.0470954652569909,-1.7511780343801298e-06,-3.7183580729573174e-05,0.050201549278040714,0.04709721643502528
wthr_gt0,M1,1,24112,True,0.0505899230177624,0.050579860681880945,-1.0062335881452777e-05,-0.00019893957290114433,0.053805922507277136,0.0505899230177624
wthr_gt0,M1,2,24112,True,0.04665653542239169,0.046658353334945966,1.8179125542763797e-06,3.896220985824649e-05,0.049419095660247686,0.04665653542239169
wthr_gt0,M1,3,24112,True,0.03919561723847116,0.0391892770854365,-6.340153034661844e-06,-0.00016178285250936585,0.04050233910893154,0.03919561723847116
wthr_gt0,M1,4,24112,True,0.04293510059956686,0.04292233742590286,-1.2763173663998817e-05,-0.0002973550470319091,0.04498411306845427,0.04293510059956686
wthr_gt0,M2,0,25208,True,0.04705689448140014,0.0470954652569909,3.857077559075994e-05,0.0008189912846234056,0.050201549278040714,0.04705689448140014
wthr_gt0,M2,1,24112,True,0.050531361391052895,0.050579860681880945,4.84992908280496e-05,0.0009588656468052183,0.053805922507277136,0.050531361391052895
wthr_gt0,M2,2,24112,True,0.04665885922470462,0.046658353334945966,-5.058897586535105e-07,-1.0842426328719395e-05,0.049419095660247686,0.04665885922470462
wthr_gt0,M2,3,24112,True,0.03932421003977617,0.0391892770854365,-0.00013493295433966712,-0.003443109043463597,0.04050233910893154,0.03932421003977617
wthr_gt0,M2,4,24112,True,0.0428947542591278,0.04292233742590286,2.7583166775056733e-05,0.000642629652280092,0.04498411306845427,0.0428947542591278
wthr_gt5,M0,0,25208,True,0.03470879863237667,0.03470879863237667,0.0,0.0,0.03686037714564945,0.03470879863237667
wthr_gt5,M0,1,24112,True,0.03643394477921203,0.03643394477921203,0.0,0.0,0.038791530942133653,0.03643394477921203
wthr_gt5,M0,2,24112,True,0.03374558903119115,0.03374558903119115,0.0,0.0,0.0353955916110619,0.03374558903119115
wthr_gt5,M0,3,24112,True,0.028554720547156215,0.028554720547156215,0.0,0.0,0.02937367835701212,0.028554720547156215
wthr_gt5,M0,4,24112,True,0.03216949558613914,0.03216949558613914,0.0,0.0,0.033587913592033725,0.03216949558613914
wthr_gt5,M1,0,25208,True,0.03470834172629735,0.03470879863237667,4.569060793185864e-07,1.316398427263283e-05,0.03686037714564945,0.03470834172629735
wthr_gt5,M1,1,24112,True,0.036445451601438694,0.03643394477921203,-1.150682222666316e-05,-0.0003158269656605661,0.038791530942133653,0.036445451601438694
wthr_gt5,M1,2,24112,True,0.033745183418612795,0.03374558903119115,4.056125783580278e-07,1.2019721391827501e-05,0.0353955916110619,0.033745183418612795
wthr_gt5,M1,3,24112,True,0.028556012977322357,0.028554720547156215,-1.29243016614225e-06,-4.526152388736874e-05,0.02937367835701212,0.028556012977322357
wthr_gt5,M1,4,24112,True,0.032174024013144335,0.03216949558613914,-4.528427005198732e-06,-0.00014076773423671256,0.033587913592033725,0.032174024013144335
wthr_gt5,M2,0,25208,True,0.03468757731247269,0.03470879863237667,2.122131990398013e-05,0.0006114103841146693,0.03686037714564945,0.03468757731247269
wthr_gt5,M2,1,24112,True,0.036408852928875024,0.03643394477921203,2.509185033700706e-05,0.0006886943066160548,0.038791530942133653,0.036408852928875024
wthr_gt5,M2,2,24112,True,0.03375214051396963,0.03374558903119115,-6.551482778477391e-06,-0.0001941433818927219,0.0353955916110619,0.03375214051396963
wthr_gt5,M2,3,24112,True,0.028621900366923594,0.028554720547156215,-6.717981976737952e-05,-0.0023526694879200984,0.02937367835701212,0.028621900366923594
wthr_gt5,M2,4,24112,True,0.03215740680859814,0.03216949558613914,1.2088777540997242e-05,0.0003757838698038502,0.033587913592033725,0.03215740680859814
wthr_gt100,M0,0,25208,True,0.01856155494724961,0.01856155494724961,0.0,0.0,0.019556034101928885,0.01856155494724961
wthr_gt100,M0,1,24112,True,0.020231905110704048,0.020231905110704048,0.0,0.0,0.02170124017741864,0.020231905110704048
wthr_gt100,M0,2,24112,True,0.0193937191541714,0.0193937191541714,0.0,0.0,0.02030682812128577,0.0193937191541714
wthr_gt100,M0,3,24112,True,0.017259062412589985,0.017259062412589985,0.0,0.0,0.017683734390584273,0.017259062412589985
wthr_gt100,M0,4,24112,True,0.01950011115777466,0.01950011115777466,0.0,0.0,0.02030682812128577,0.01950011115777466
wthr_gt100,M1,0,25208,True,0.018561182081107554,0.01856155494724961,3.7286614205586655e-07,2.0088087615262892e-05,0.019556034101928885,0.018561182081107554
wthr_gt100,M1,1,24112,True,0.02023226207709284,0.020231905110704048,-3.569663887918739e-07,-1.764373581423207e-05,0.02170124017741864,0.02023226207709284
wthr_gt100,M1,2,24112,True,0.019394908803221953,0.0193937191541714,-1.18964905055155e-06,-6.134197577547512e-05,0.02030682812128577,0.019394908803221953
wthr_gt100,M1,3,24112,True,0.017259193170158834,0.017259062412589985,-1.3075756884889378e-07,-7.576168723598214e-06,0.017683734390584273,0.017259193170158834
wthr_gt100,M1,4,24112,True,0.019500427294498895,0.01950011115777466,-3.1613672423630446e-07,-1.6212047289292572e-05,0.02030682812128577,0.019500427294498895
wthr_gt100,M2,0,25208,True,0.018547976855824603,0.01856155494724961,1.3578091425006655e-05,0.0007315169156675967,0.019556034101928885,0.018547976855824603
wthr_gt100,M2,1,24112,True,0.020216568491417605,0.020231905110704048,1.5336619286442782e-05,0.000758041281951677,0.02170124017741864,0.020216568491417605
wthr_gt100,M2,2,24112,True,0.019412726207407718,0.0193937191541714,-1.90070532363161e-05,-0.0009800623121959497,0.02030682812128577,0.019412726207407718
wthr_gt100,M2,3,24112,True,0.017292553834380584,0.017259062412589985,-3.349142179059905e-05,-0.0019405122358308428,0.017683734390584273,0.017292553834380584
wthr_gt100,M2,4,24112,True,0.0194908787588083,0.01950011115777466,9.232398966357858e-06,0.000473453658374502,0.02030682812128577,0.0194908787588083
wthr_gt1000,M0,0,25208,True,0.002875710916134191,0.002875710916134191,0.0,0.0,0.0029666621511327145,0.002875710916134191
