feature,G_lower,G_upper,feature_lower,feature_upper,n
h,0.0,5.0,0.0,0.05,2698
h,0.0,5.0,0.05,0.1,0
h,0.0,5.0,0.1,0.15000000000000002,0
h,0.0,5.0,0.15000000000000002,0.2,0
h,0.0,5.0,0.2,0.25,0
h,0.0,5.0,0.25,0.30000000000000004,0
h,0.0,5.0,0.30000000000000004,0.35000000000000003,0
h,0.0,5.0,0.35000000000000003,0.4,0
h,0.0,5.0,0.4,0.45,0
h,0.0,5.0,0.45,0.5,0
h,0.0,5.0,0.5,0.55,0
h,0.0,5.0,0.55,0.6000000000000001,0
h,0.0,5.0,0.6000000000000001,0.65,0
h,0.0,5.0,0.65,0.7000000000000001,0
h,0.0,5.0,0.7000000000000001,0.75,0
h,0.0,5.0,0.75,0.8,0
h,0.0,5.0,0.8,0.8500000000000001,0
h,0.0,5.0,0.8500000000000001,0.9,0
h,0.0,5.0,0.9,0.9500000000000001,0
h,0.0,5.0,0.9500000000000001,1.0,0
h,5.0,10.0,0.0,0.05,45535
h,5.0,10.0,0.05,0.1,0
h,5.0,10.0,0.1,0.15000000000000002,0
h,5.0,10.0,0.15000000000000002,0.2,0
h,5.0,10.0,0.2,0.25,0
h,5.0,10.0,0.25,0.30000000000000004,0
h,5.0,10.0,0.30000000000000004,0.35000000000000003,0
h,5.0,10.0,0.35000000000000003,0.4,0
h,5.0,10.0,0.4,0.45,0
h,5.0,10.0,0.45,0.5,0
h,5.0,10.0,0.5,0.55,0
h,5.0,10.0,0.55,0.6000000000000001,0
h,5.0,10.0,0.6000000000000001,0.65,0
h,5.0,10.0,0.65,0.7000000000000001,0
h,5.0,10.0,0.7000000000000001,0.75,0
h,5.0,10.0,0.75,0.8,0
h,5.0,10.0,0.8,0.8500000000000001,0
h,5.0,10.0,0.8500000000000001,0.9,0
h,5.0,10.0,0.9,0.9500000000000001,0
h,5.0,10.0,0.9500000000000001,1.0,0
h,10.0,15.0,0.0,0.05,42837
h,10.0,15.0,0.05,0.1,2153
h,10.0,15.0,0.1,0.15000000000000002,1507
h,10.0,15.0,0.15000000000000002,0.2,1017
h,10.0,15.0,0.2,0.25,832
h,10.0,15.0,0.25,0.30000000000000004,705
h,10.0,15.0,0.30000000000000004,0.35000000000000003,192
h,10.0,15.0,0.35000000000000003,0.4,75
h,10.0,15.0,0.4,0.45,63
h,10.0,15.0,0.45,0.5,20
h,10.0,15.0,0.5,0.55,18
h,10.0,15.0,0.55,0.6000000000000001,4
h,10.0,15.0,0.6000000000000001,0.65,3
h,10.0,15.0,0.65,0.7000000000000001,5
h,10.0,15.0,0.7000000000000001,0.75,3
h,10.0,15.0,0.75,0.8,1
h,10.0,15.0,0.8,0.8500000000000001,0
h,10.0,15.0,0.8500000000000001,0.9,2
h,10.0,15.0,0.9,0.9500000000000001,1
h,10.0,15.0,0.9500000000000001,1.0,0
h,15.0,20.0,0.0,0.05,251
h,15.0,20.0,0.05,0.1,637
h,15.0,20.0,0.1,0.15000000000000002,1026
h,15.0,20.0,0.15000000000000002,0.2,1479
h,15.0,20.0,0.2,0.25,1823
h,15.0,20.0,0.25,0.30000000000000004,3508
h,15.0,20.0,0.30000000000000004,0.35000000000000003,1419
h,15.0,20.0,0.35000000000000003,0.4,1320
h,15.0,20.0,0.4,0.45,924
h,15.0,20.0,0.45,0.5,719
h,15.0,20.0,0.5,0.55,1757
h,15.0,20.0,0.55,0.6000000000000001,752
h,15.0,20.0,0.6000000000000001,0.65,634
h,15.0,20.0,0.65,0.7000000000000001,534
h,15.0,20.0,0.7000000000000001,0.75,313
h,15.0,20.0,0.75,0.8,383
h,15.0,20.0,0.8,0.8500000000000001,167
h,15.0,20.0,0.8500000000000001,0.9,194
h,15.0,20.0,0.9,0.9500000000000001,101
h,15.0,20.0,0.9500000000000001,1.0,402
h,20.0,25.0,0.0,0.05,0
h,20.0,25.0,0.05,0.1,2
h,20.0,25.0,0.1,0.15000000000000002,12
h,20.0,25.0,0.15000000000000002,0.2,17
h,20.0,25.0,0.2,0.25,34
h,20.0,25.0,0.25,0.30000000000000004,143
h,20.0,25.0,0.30000000000000004,0.35000000000000003,95
h,20.0,25.0,0.35000000000000003,0.4,95
h,20.0,25.0,0.4,0.45,155
h,20.0,25.0,0.45,0.5,237
h,20.0,25.0,0.5,0.55,658
h,20.0,25.0,0.55,0.6000000000000001,304
h,20.0,25.0,0.6000000000000001,0.65,297
h,20.0,25.0,0.65,0.7000000000000001,289
h,20.0,25.0,0.7000000000000001,0.75,316
h,20.0,25.0,0.75,0.8,544
h,20.0,25.0,0.8,0.8500000000000001,232
h,20.0,25.0,0.8500000000000001,0.9,146
h,20.0,25.0,0.9,0.9500000000000001,184
h,20.0,25.0,0.9500000000000001,1.0,760
h,25.0,30.0,0.0,0.05,0
h,25.0,30.0,0.05,0.1,0
h,25.0,30.0,0.1,0.15000000000000002,0
h,25.0,30.0,0.15000000000000002,0.2,0
h,25.0,30.0,0.2,0.25,1
h,25.0,30.0,0.25,0.30000000000000004,0
h,25.0,30.0,0.30000000000000004,0.35000000000000003,3
h,25.0,30.0,0.35000000000000003,0.4,14
h,25.0,30.0,0.4,0.45,43
h,25.0,30.0,0.45,0.5,28
h,25.0,30.0,0.5,0.55,69
h,25.0,30.0,0.55,0.6000000000000001,28
h,25.0,30.0,0.6000000000000001,0.65,41
h,25.0,30.0,0.65,0.7000000000000001,58
h,25.0,30.0,0.7000000000000001,0.75,50
h,25.0,30.0,0.75,0.8,147
h,25.0,30.0,0.8,0.8500000000000001,44
h,25.0,30.0,0.8500000000000001,0.9,92
h,25.0,30.0,0.9,0.9500000000000001,145
h,25.0,30.0,0.9500000000000001,1.0,200
h,30.0,35.0,0.0,0.05,0
h,30.0,35.0,0.05,0.1,0
h,30.0,35.0,0.1,0.15000000000000002,0
h,30.0,35.0,0.15000000000000002,0.2,0
h,30.0,35.0,0.2,0.25,0
h,30.0,35.0,0.25,0.30000000000000004,0
h,30.0,35.0,0.30000000000000004,0.35000000000000003,0
h,30.0,35.0,0.35000000000000003,0.4,0
h,30.0,35.0,0.4,0.45,0
h,30.0,35.0,0.45,0.5,0
h,30.0,35.0,0.5,0.55,0
h,30.0,35.0,0.55,0.6000000000000001,2
h,30.0,35.0,0.6000000000000001,0.65,1
h,30.0,35.0,0.65,0.7000000000000001,0
h,30.0,35.0,0.7000000000000001,0.75,2
h,30.0,35.0,0.75,0.8,0
h,30.0,35.0,0.8,0.8500000000000001,6
h,30.0,35.0,0.8500000000000001,0.9,62
h,30.0,35.0,0.9,0.9500000000000001,27
h,30.0,35.0,0.9500000000000001,1.0,57
h,35.0,40.0,0.0,0.05,0
h,35.0,40.0,0.05,0.1,0
h,35.0,40.0,0.1,0.15000000000000002,0
h,35.0,40.0,0.15000000000000002,0.2,0
h,35.0,40.0,0.2,0.25,0
h,35.0,40.0,0.25,0.30000000000000004,0
h,35.0,40.0,0.30000000000000004,0.35000000000000003,0
h,35.0,40.0,0.35000000000000003,0.4,0
h,35.0,40.0,0.4,0.45,0
h,35.0,40.0,0.45,0.5,0
h,35.0,40.0,0.5,0.55,0
h,35.0,40.0,0.55,0.6000000000000001,0
h,35.0,40.0,0.6000000000000001,0.65,0
h,35.0,40.0,0.65,0.7000000000000001,0
h,35.0,40.0,0.7000000000000001,0.75,0
h,35.0,40.0,0.75,0.8,0
h,35.0,40.0,0.8,0.8500000000000001,0
h,35.0,40.0,0.8500000000000001,0.9,2
h,35.0,40.0,0.9,0.9500000000000001,0
h,35.0,40.0,0.9500000000000001,1.0,0
x,0.0,5.0,0.0,0.1,2698
x,0.0,5.0,0.1,0.2,0
x,0.0,5.0,0.2,0.30000000000000004,0
x,0.0,5.0,0.30000000000000004,0.4,0
x,0.0,5.0,0.4,0.5,0
x,0.0,5.0,0.5,0.6000000000000001,0
