target,candidate,n,events,valid_cv,brier,brier_m0,absolute_gain,relative_gain,constant_brier,brier_skill,calibration_rmse,calibration_absolute_gain,calibration_relative_gain,diagnostic_brier
any_gt0,M0,121656,41926,True,0.22386934973446987,0.22386934973446987,0.0,0.0,0.22600909165195673,0.00946750372671723,0.016694732245322818,0.0,0.0,0.22386934973446987
any_gt0,M1,121656,41926,True,0.2238703245320595,0.22386934973446987,-9.747975896201577e-07,-4.354314651721459e-06,0.22600909165195673,0.009463190636555652,0.016939790953519784,-0.00024505870819696574,-0.014678804343545022,0.2238703245320595
any_gt0,M2,121656,41926,True,0.2238988692185297,0.22386934973446987,-2.951948405982563e-05,-0.00013186031984654674,0.22600909165195673,0.009336891794940239,0.01641079238270439,0.0002839398626184285,0.017007751813328833,0.2238988692185297
any_gt5,M0,121656,20285,True,0.13722531427289486,0.13722531427289486,0.0,0.0,0.13898791540700847,0.01268168623834709,0.00901248704295738,0.0,0.0,0.13722531427289486
any_gt5,M1,121656,20285,True,0.13723028217584166,0.13722531427289486,-4.967902946795277e-06,-3.620252555527615e-05,0.13898791540700847,0.012645942821861933,0.008964665347406475,4.782169555090504e-05,0.005306159700753668,0.13723028217584166
any_gt5,M2,121656,20285,True,0.1372418930884362,0.13722531427289486,-1.6578815541345993e-05,-0.0001208145569145961,0.13898791540700847,0.0125624038137363,0.008585419246615532,0.0004270677963418481,0.04738623138166632,0.1372418930884362
any_gt100,M0,121656,7369,True,0.05601043629989143,0.05601043629989143,0.0,0.0,0.056907797424420925,0.015768684875236638,0.00252501442668198,0.0,0.0,0.05601043629989143
any_gt100,M1,121656,7369,True,0.056011297617731104,0.05601043629989143,-8.613178396760235e-07,-1.5377809861439932e-05,0.056907797424420925,0.015753549553212953,0.002670537301400729,-0.00014552287471874918,-0.057632492385390026,0.056011297617731104
any_gt100,M2,121656,7369,True,0.056018808472546686,0.05601043629989143,-8.372172655257692e-06,-0.00014947522655298296,0.056907797424420925,0.015621566676427778,0.0028188339300792894,-0.00029381950339730937,-0.11636349491412838,0.056018808472546686
any_gt1000,M0,121656,1020,True,0.008233490096094406,0.008233490096094406,0.0,0.0,0.008314320066678389,0.00972177760006232,0.0005375386923700269,0.0,0.0,0.008233490096094406
any_gt1000,M1,121656,1020,True,0.008235235730312486,0.008233490096094406,-1.7456342180800083e-06,-0.00021201631358104843,0.008314320066678389,0.009511822461929498,0.0008304956951112791,-0.00029295700274125215,-0.5449970521184149,0.008235235730312486
any_gt1000,M2,121656,1020,True,0.008230318288627872,0.008233490096094406,3.1718074665343376e-06,0.0003852324384332349,0.008314320066678389,0.010103264894404718,0.0012981590498549842,-0.0007606203574849573,-1.4150057815026402,0.008230318288627872
wthr_gt0,M0,121656,6122,True,0.0453053326894635,0.0453053326894635,0.0,0.0,0.04780439622507181,0.052276855957813284,0.003578605227268768,0.0,0.0,0.0453053326894635
wthr_gt0,M1,121656,6122,True,0.04531111582095322,0.0453053326894635,-5.783131489724147e-06,-0.00012764792015464241,0.04780439622507181,0.0521558810695939,0.003572964048949008,5.641178319759806e-06,0.0015763622868413504,0.04531111582095322
wthr_gt0,M2,121656,6122,True,0.045309104875628434,0.0453053326894635,-3.7721861649367416e-06,-8.326141628387216e-05,0.04780439622507181,0.05219794718659532,0.0027293853841785475,0.0008492198430902205,0.23730470089833147,0.045309104875628434
wthr_gt5,M0,121656,4394,True,0.03313680060636064,0.03313680060636064,0.0,0.0,0.034820363904497734,0.048349962761866094,0.001963873558746359,0.0,0.0,0.03313680060636064
wthr_gt5,M1,121656,4394,True,0.033140059855281435,0.03313680060636064,-3.2592489207922126e-06,-9.835738095266193e-05,0.034820363904497734,0.04825636095661978,0.0020013494605109865,-3.74759017646273e-05,-0.019082644907419642,0.033140059855281435
wthr_gt5,M2,121656,4394,True,0.03313964767379218,0.03313680060636064,-2.847067431539785e-06,-8.591859743373315e-05,0.034820363904497734,0.04826819832541884,0.0023063974323910582,-0.0003425238736446991,-0.17441238623496186,0.03313964767379218
wthr_gt100,M0,121656,2472,True,0.01898541726272093,0.01898541726272093,0.0,0.0,0.01990773569528831,0.046329650276885626,0.0009834739073869639,0.0,0.0,0.01898541726272093
wthr_gt100,M1,121656,2472,True,0.01898573511220603,0.01898541726272093,-3.178494850999969e-07,-1.674176978580895e-05,0.01990773569528831,0.04631368414743897,0.0010218199935108957,-3.8346086123931854e-05,-0.03899044584295612,0.01898573511220603
wthr_gt100,M2,121656,2472,True,0.018988139352326835,0.01898541726272093,-2.7220896059061694e-06,-0.00014337791833794272,0.01990773569528831,0.04619291500736167,0.0019852428476903445,-0.0010017689403033806,-1.0186024588746088,0.018988139352326835
wthr_gt1000,M0,121656,312,True,0.002474856739557275,0.002474856739557275,0.0,0.0,0.002558074475163004,0.03253139672582295,0.0002987067017984539,0.0,0.0,0.002474856739557275
wthr_gt1000,M1,121656,312,True,0.0024750495491599883,0.002474856739557275,-1.9280960271341602e-07,-7.790737929659217e-05,0.002558074475163004,0.03245602378239021,0.0004152724565927245,-0.0001165657547942706,-0.39023481593299136,0.0024750495491599883
wthr_gt1000,M2,121656,312,True,0.002473129486040536,0.002474856739557275,1.7272535167388303e-06,0.0006979206065268317,0.002558074475163004,0.03320661300021577,0.0019760462214667616,-0.0016773395196683076,-5.615339426833675,0.002473129486040536
