target,candidate,bin,lower,upper,n,events,mean_probability,observed_frequency,sparse,valid_prediction
any_gt0,temporal_model,0,0.0,0.31419903322330384,0,0,,,True,True
any_gt0,temporal_model,1,0.31419903322330384,0.3142696620104956,1254,419,0.3142273779759919,0.33413078149920256,False,True
any_gt0,temporal_model,2,0.3142696620104956,0.3145258455420056,1471,518,0.31439788392482015,0.3521414004078858,False,True
any_gt0,temporal_model,3,0.3145258455420056,0.31520829747491663,2307,798,0.3147809022911276,0.3459037711313394,False,True
any_gt0,temporal_model,4,0.31520829747491663,0.3165014679539212,1399,522,0.31575330481054315,0.37312365975696926,False,True
any_gt0,temporal_model,5,0.3165014679539212,0.31853991950798866,878,332,0.3173887643397595,0.37813211845102507,False,True
any_gt0,temporal_model,6,0.31853991950798866,0.32248564422607484,2038,735,0.32053457397512464,0.3606476938174681,False,True
any_gt0,temporal_model,7,0.32248564422607484,0.3310758773849447,2517,954,0.32618985696051533,0.37902264600715135,False,True
any_gt0,temporal_model,8,0.3310758773849447,0.3440658225288699,2235,884,0.336595873291966,0.39552572706935124,False,True
any_gt0,temporal_model,9,0.3440658225288699,0.3767259069824279,2991,1144,0.357892336052183,0.3824807756603143,False,True
any_gt0,temporal_model,10,0.3767259069824279,0.7653937005007443,3334,1616,0.4471088269550016,0.48470305938812236,False,True
any_gt0,temporal_model,11,0.7653937005007443,1.0,0,0,,,True,True
any_gt5,temporal_model,0,0.0,0.1495747562715754,0,0,,,True,True
any_gt5,temporal_model,1,0.1495747562715754,0.1495766537666038,1254,188,0.14957534482611173,0.14992025518341306,False,True
any_gt5,temporal_model,2,0.1495766537666038,0.14959187627351275,1471,225,0.1495835286433216,0.15295717199184228,False,True
any_gt5,temporal_model,3,0.14959187627351275,0.14966127172514831,2307,337,0.14961529344906213,0.14607715648027741,False,True
any_gt5,temporal_model,4,0.14966127172514831,0.14985782572473588,1399,252,0.1497384948222051,0.18012866333095068,False,True
any_gt5,temporal_model,5,0.14985782572473588,0.15027905356778248,878,151,0.15003209047110488,0.17198177676537585,False,True
any_gt5,temporal_model,6,0.15027905356778248,0.15135869104165228,2038,330,0.15079951323491475,0.1619234543670265,False,True
any_gt5,temporal_model,7,0.15135869104165228,0.15453240148258215,2517,449,0.15264654967552305,0.17838696861342868,False,True
any_gt5,temporal_model,8,0.15453240148258215,0.16082661734787485,2235,423,0.15707972579561896,0.18926174496644296,False,True
any_gt5,temporal_model,9,0.16082661734787485,0.18202159258953068,2991,538,0.16929269300704247,0.17987295218990304,False,True
any_gt5,temporal_model,10,0.18202159258953068,0.6712914404728667,3334,958,0.25052551210678,0.28734253149370126,False,True
any_gt5,temporal_model,11,0.6712914404728667,1.0,0,0,,,True,True
any_gt100,temporal_model,0,0.0,0.05368984469788631,0,0,,,True,True
any_gt100,temporal_model,1,0.05368984469788631,0.05368984722604338,1254,61,0.0536898452493594,0.04864433811802233,False,True
any_gt100,temporal_model,2,0.05368984722604338,0.05368992018552191,1471,73,0.05368987460314311,0.04962610469068661,False,True
any_gt100,temporal_model,3,0.05368992018552191,0.053690765918763865,2307,101,0.05369015680111259,0.043779800606848725,False,True
any_gt100,temporal_model,4,0.053690765918763865,0.05369558896906348,1399,84,0.05369242896491617,0.06004288777698356,False,True
any_gt100,temporal_model,5,0.05369558896906348,0.053713303180345506,878,41,0.05370226461775198,0.04669703872437358,False,True
any_gt100,temporal_model,6,0.053713303180345506,0.053788257656625774,2038,99,0.053746392769569364,0.04857703631010795,False,True
any_gt100,temporal_model,7,0.053788257656625774,0.05416554289560995,2517,133,0.053925041478611074,0.052840683353198255,False,True
any_gt100,temporal_model,8,0.05416554289560995,0.05536954507660584,2235,128,0.054611181171944745,0.05727069351230425,False,True
any_gt100,temporal_model,9,0.05536954507660584,0.06222572965488274,2991,178,0.05783332180484893,0.0595118689401538,False,True
any_gt100,temporal_model,10,0.06222572965488274,0.5928283134864091,3334,445,0.10995662572524902,0.1334733053389322,False,True
any_gt100,temporal_model,11,0.5928283134864091,1.0,0,0,,,True,True
any_gt1000,temporal_model,0,0.0,0.007430799736860534,0,0,,,True,True
any_gt1000,temporal_model,1,0.007430799736860534,0.007430799736860559,2725,19,0.007430799736860537,0.006972477064220183,False,True
any_gt1000,temporal_model,2,0.007430799736860559,0.007430799736868777,2307,14,0.007430799736861768,0.006068487212830516,False,True
any_gt1000,temporal_model,3,0.007430799736868777,0.007430799737447201,1399,10,0.007430799736989756,0.007147962830593281,False,True
any_gt1000,temporal_model,4,0.007430799737447201,0.007430799752593454,878,4,0.007430799741431006,0.004555808656036446,False,True
any_gt1000,temporal_model,5,0.007430799752593454,0.007430800190973506,2038,22,0.007430799888645407,0.010794896957801767,False,True
any_gt1000,temporal_model,6,0.007430800190973506,0.007430818274779266,2517,14,0.007430804354460061,0.0055621771950735005,False,True
any_gt1000,temporal_model,7,0.007430818274779266,0.007431165700109742,2235,11,0.007430907887839837,0.004921700223713647,False,True
any_gt1000,temporal_model,8,0.007431165700109742,0.0074482275578923495,2991,25,0.007435196233999999,0.008358408559010365,False,True
any_gt1000,temporal_model,9,0.0074482275578923495,0.3552589166996604,3334,75,0.013779417306581686,0.022495500899820036,False,True
any_gt1000,temporal_model,10,0.3552589166996604,1.0,0,0,,,True,True
wthr_gt0,temporal_model,0,0.0,0.03392057703314431,0,0,,,True,True
wthr_gt0,temporal_model,1,0.03392057703314431,0.03392145410662902,1254,22,0.033920829983151504,0.017543859649122806,False,True
wthr_gt0,temporal_model,2,0.03392145410662902,0.033930365030452776,1471,47,0.033925349578484976,0.03195105370496261,False,True
wthr_gt0,temporal_model,3,0.033930365030452776,0.03397816902646351,2307,50,0.03394599602099089,0.021673168617251843,False,True
wthr_gt0,temporal_model,4,0.03397816902646351,0.03413054578520761,1399,49,0.034036790666452064,0.035025017869907075,False,True
wthr_gt0,temporal_model,5,0.03413054578520761,0.034487039177688264,878,39,0.03427588777208453,0.04441913439635535,False,True
wthr_gt0,temporal_model,6,0.034487039177688264,0.035474897492251654,2038,64,0.03495700856219948,0.03140333660451423,False,True
wthr_gt0,temporal_model,7,0.035474897492251654,0.038619804131386964,2517,104,0.03673080594743312,0.04131903059197457,False,True
wthr_gt0,temporal_model,8,0.038619804131386964,0.04528919985888189,2235,113,0.04128708145677995,0.050559284116331094,False,True
wthr_gt0,temporal_model,9,0.04528919985888189,0.06928105046387159,2991,156,0.05475346030580735,0.05215646940822467,False,True
wthr_gt0,temporal_model,10,0.06928105046387159,0.6636650955038979,3334,585,0.1522367957491612,0.1754649070185963,False,True
wthr_gt0,temporal_model,11,0.6636650955038979,1.0,0,0,,,True,True
wthr_gt5,temporal_model,0,0.0,0.024408542815254338,0,0,,,True,True
wthr_gt5,temporal_model,1,0.024408542815254338,0.02440870694605791,1254,11,0.024408586585858927,0.008771929824561403,False,True
wthr_gt5,temporal_model,2,0.02440870694605791,0.024410903618759364,1471,33,0.024409629634185113,0.022433718558803536,False,True
wthr_gt5,temporal_model,3,0.024410903618759364,0.024425353266694264,2307,35,0.02441543881034547,0.01517121803207629,False,True
wthr_gt5,temporal_model,4,0.024425353266694264,0.024479193790949812,1399,34,0.024445475670862995,0.024303073624017155,False,True
wthr_gt5,temporal_model,5,0.024479193790949812,0.024621551070685206,878,27,0.024536018407339585,0.030751708428246014,False,True
wthr_gt5,temporal_model,6,0.024621551070685206,0.025064396818387926,2038,39,0.024827994980549134,0.019136408243375858,False,True
wthr_gt5,temporal_model,7,0.025064396818387926,0.026665378734377455,2517,63,0.025686861781548522,0.025029797377830752,False,True
