target,month,start,end,lads,n,events,valid_prediction,model_brier,baseline_brier,brier_skill,mean_prediction,observed_rate,prediction_minus_observed,baseline_probability,baseline_minus_observed
any_gt0,2023-09,2023-09-30,2023-09-30,111,111,34,True,0.21261030543469106,0.2133586398282188,0.003507401406993571,0.31509648989143224,0.3063063063063063,0.008790183585125955,0.3359016911648491,0.029595384858542795
any_gt0,2023-10,2023-10-01,2023-10-31,111,3441,1293,True,0.23556438291258858,0.23615404570534823,0.002496941312178036,0.32928886179242733,0.3757628596338274,-0.04647399784140005,0.3359016911648491,-0.0398611684689783
any_gt0,2023-11,2023-11-01,2023-11-30,111,3330,1300,True,0.23525542952974102,0.2409547518245205,0.02365308113504283,0.3414661899822051,0.39039039039039036,-0.04892420040818524,0.3359016911648491,-0.05448869922554128
any_gt0,2023-12,2023-12-01,2023-12-31,111,3441,1373,True,0.23958286604578538,0.2437843070868141,0.017234255523808306,0.36360272590123227,0.3990119151409474,-0.035409189239715144,0.3359016911648491,-0.06311022397609833
any_gt0,2024-01,2024-01-01,2024-01-31,111,3441,1428,True,0.23982873817630013,0.24903011178657192,0.036948839416486745,0.3576437924475344,0.4149956408020924,-0.05735184835455798,0.3359016911648491,-0.07909394963724331
any_gt0,2024-02,2024-02-01,2024-02-29,111,3219,1303,True,0.24429660112903673,0.2456787168091091,0.005625703756610978,0.35009980112683725,0.40478409443926683,-0.05468429331242958,0.3359016911648491,-0.06888240327441775
any_gt0,2024-03,2024-03-01,2024-03-31,111,3441,1191,True,0.2259846518973361,0.2264254624439792,0.0019468240978073315,0.3420175699412626,0.34612031386224934,-0.004102743920986751,0.3359016911648491,-0.01021862269740026
any_gt5,2023-09,2023-09-30,2023-09-30,111,111,9,True,0.0792065956612129,0.08110994665212491,0.02346630801121541,0.14965199710923438,0.08108108108108109,0.0685709160281533,0.16233997155049787,0.08125889046941678
any_gt5,2023-10,2023-10-01,2023-10-31,111,3441,596,True,0.14257064263865743,0.14332338984799367,0.005252089070280741,0.15693175654233993,0.17320546352804417,-0.01627370698570424,0.16233997155049787,-0.010865491977546299
any_gt5,2023-11,2023-11-01,2023-11-30,111,3330,650,True,0.15408728837121086,0.15817349668864794,0.02583371046971583,0.16524144932638274,0.19519519519519518,-0.029953745868812442,0.16233997155049787,-0.03285522364469731
any_gt5,2023-12,2023-12-01,2023-12-31,111,3441,685,True,0.15726732020964043,0.16079025560330065,0.021910129941903667,0.18092986699792757,0.1990700377797152,-0.018140170781787618,0.16233997155049787,-0.03673006622921732
any_gt5,2024-01,2024-01-01,2024-01-31,111,3441,773,True,0.16696193293817113,0.1780608644400087,0.06233223418713085,0.18251387141788283,0.22464399883754724,-0.042130127419664404,0.16233997155049787,-0.06230402728704937
any_gt5,2024-02,2024-02-01,2024-02-29,111,3219,605,True,0.15330300104908653,0.15327835285692684,-0.00016080673950558122,0.1711068369634542,0.18794656725691208,-0.016839730293457894,0.16233997155049787,-0.025606595706414215
any_gt5,2024-03,2024-03-01,2024-03-31,111,3441,533,True,0.1307062743006055,0.13095920397625951,0.0019313623477725805,0.1656291029520903,0.15489683231618714,0.010732270635903152,0.16233997155049787,0.007443139234310725
any_gt100,2023-09,2023-09-30,2023-09-30,111,111,1,True,0.010924277196767092,0.01147987698774115,0.04839771293432482,0.053690756984548456,0.009009009009009009,0.04468174797553945,0.059526631895052945,0.05051762288604394
any_gt100,2023-10,2023-10-01,2023-10-31,111,3441,179,True,0.04925755626718608,0.04937005919031724,0.002278768244888485,0.056070740954939836,0.052019761697181054,0.004050979257758783,0.059526631895052945,0.007506870197871891
any_gt100,2023-11,2023-11-01,2023-11-30,111,3330,235,True,0.06364922155121443,0.06571233372138328,0.03139611779603413,0.06004396060634021,0.07057057057057058,-0.010526609964230368,0.059526631895052945,-0.011043938675517631
any_gt100,2023-12,2023-12-01,2023-12-31,111,3441,261,True,0.06853230852503923,0.0703632682485013,0.026021527553206858,0.06708355220076143,0.07585004359197908,-0.008766491391217657,0.059526631895052945,-0.016323411696926138
any_gt100,2024-01,2024-01-01,2024-01-31,111,3441,303,True,0.07453821584661842,0.08111588752220533,0.08108980714519443,0.07527356047806501,0.08805579773321709,-0.012782237255152082,0.059526631895052945,-0.028529165838164144
any_gt100,2024-02,2024-02-01,2024-02-29,111,3219,181,True,0.05322627755526955,0.05307785893987035,-0.0027962434499728683,0.06279351653149025,0.05622864243553899,0.006564874095951259,0.059526631895052945,0.003297989459513956
any_gt100,2024-03,2024-03-01,2024-03-31,111,3441,183,True,0.049740171968081795,0.05039411816876525,0.01297663744196198,0.06059315496627801,0.05318221447253706,0.007410940493740956,0.059526631895052945,0.006344417422515888
any_gt1000,2023-09,2023-09-30,2023-09-30,111,111,0,True,5.5216784729798125e-05,6.657703659587818e-05,0.1706331859592467,0.007430799736892263,0.0,0.007430799736892263,0.008159475264738423,0.008159475264738423
any_gt1000,2023-10,2023-10-01,2023-10-31,111,3441,24,True,0.006926748316673117,0.006927473632728559,0.00010470138089224701,0.00746532715547737,0.006974716652136007,0.0004906105033413623,0.008159475264738423,0.001184758612602416
any_gt1000,2023-11,2023-11-01,2023-11-30,111,3330,34,True,0.00999312193187962,0.010110167331490108,0.011576999249649167,0.007715585725295201,0.01021021021021021,-0.0024946244849150083,0.008159475264738423,-0.002050734945471786
any_gt1000,2023-12,2023-12-01,2023-12-31,111,3441,37,True,0.010619935848422822,0.010643792622300429,0.002241379057651205,0.007813255567456883,0.010752688172043012,-0.002939432604586128,0.008159475264738423,-0.0025932129073045884
any_gt1000,2024-01,2024-01-01,2024-01-31,111,3441,44,True,0.012415014661823053,0.012644887462839125,0.018179110070502658,0.01201021120159448,0.012786980528916013,-0.0007767693273215328,0.008159475264738423,-0.00462750526417759
