period,target,start,end,lads,days,district_days,events,event_rate
development,any_gt0,2021-04-01,2023-09-29,111,912,101232,34004,0.3359016911648491
development,any_gt5,2021-04-01,2023-09-29,111,912,101232,16434,0.16233997155049787
development,any_gt100,2021-04-01,2023-09-29,111,912,101232,6026,0.059526631895052945
development,any_gt1000,2021-04-01,2023-09-29,111,912,101232,826,0.008159475264738423
development,wthr_gt0,2021-04-01,2023-09-29,111,912,101232,4893,0.04833451872925557
development,wthr_gt5,2021-04-01,2023-09-29,111,912,101232,3498,0.034554291133238504
development,wthr_gt100,2021-04-01,2023-09-29,111,912,101232,1960,0.019361466729887783
development,wthr_gt1000,2021-04-01,2023-09-29,111,912,101232,243,0.0024004267425320057
evaluation,any_gt0,2023-09-30,2024-03-31,111,184,20424,7922,0.3878770074422248
evaluation,any_gt5,2023-09-30,2024-03-31,111,184,20424,3851,0.18855268311790052
evaluation,any_gt100,2023-09-30,2024-03-31,111,184,20424,1343,0.06575597336466901
evaluation,any_gt1000,2023-09-30,2024-03-31,111,184,20424,194,0.009498629063846456
evaluation,wthr_gt0,2023-09-30,2024-03-31,111,184,20424,1229,0.06017430473952213
evaluation,wthr_gt5,2023-09-30,2024-03-31,111,184,20424,896,0.043869956913435176
evaluation,wthr_gt100,2023-09-30,2024-03-31,111,184,20424,512,0.02506854680767724
evaluation,wthr_gt1000,2023-09-30,2024-03-31,111,184,20424,69,0.0033783783783783786
