model,outcome_family,fold,term,coefficient,std_error,ci_low,ci_high,p_value,inference,n_obs_in_fold_train,n_obs_in_fold_valid
E0_legacy_log_OLS,exposure,0,z_gust_0h,-0.07290044348928869,0.02022430292872529,-0.11254007722959025,-0.03326080974898712,0.0003126387509828903,LAD_cluster,7329,1793
E0_legacy_log_OLS,exposure,0,z_gust_0h_sq,0.1277096364831581,0.021279591978994896,0.08600163620432812,0.16941763676198812,1.9549359248346526e-09,LAD_cluster,7329,1793
E0_legacy_log_OLS,exposure,1,z_gust_0h,-0.06638712177190767,0.024410761170056534,-0.11423221366521848,-0.018542029878596863,0.006536404006339472,LAD_cluster,7307,1815
E0_legacy_log_OLS,exposure,1,z_gust_0h_sq,0.11534667119066919,0.018920889275994647,0.07826172820971969,0.15243161417161868,1.0857837784026183e-09,LAD_cluster,7307,1815
E0_legacy_log_OLS,exposure,2,z_gust_0h,-0.08015732159397608,0.024964744559246313,-0.12908822093009886,-0.031226422257853305,0.0013235643472988413,LAD_cluster,7312,1810
E0_legacy_log_OLS,exposure,2,z_gust_0h_sq,0.12463542262186862,0.017759729406082773,0.08982635298594638,0.15944449225779087,2.2528049348935396e-12,LAD_cluster,7312,1810
E0_legacy_log_OLS,exposure,3,z_gust_0h,-0.0697589959054021,0.024934565875850592,-0.11863074502206927,-0.020887246788734944,0.00514706975777986,LAD_cluster,7242,1880
E0_legacy_log_OLS,exposure,3,z_gust_0h_sq,0.1305128527228997,0.020634897966234925,0.09006845270907925,0.17095725273672013,2.534613242948547e-10,LAD_cluster,7242,1880
E0_legacy_log_OLS,exposure,4,z_gust_0h,-0.07378120036602932,0.02568924461095239,-0.124132119803496,-0.02343028092856264,0.004077980725636728,LAD_cluster,7298,1824
E0_legacy_log_OLS,exposure,4,z_gust_0h_sq,0.14364129213272023,0.020658350529211406,0.10315092509546586,0.1841316591699746,3.5713486697001934e-12,LAD_cluster,7298,1824
R0_legacy_log_OLS,recovery,0,z_gust_0h,0.018822642211226683,0.015086066981715327,-0.01074604907293536,0.048391333495388725,0.21214685600741312,LAD_cluster,7329,1793
R0_legacy_log_OLS,recovery,0,z_gust_0h_sq,-0.029157820234361757,0.01278237221568166,-0.05421126977709781,-0.004104370691625704,0.02254275705785084,LAD_cluster,7329,1793
R0_legacy_log_OLS,recovery,1,z_gust_0h,0.02551248980901883,0.017198028492214433,-0.008195646035721454,0.059220625653759115,0.13795374218495815,LAD_cluster,7307,1815
R0_legacy_log_OLS,recovery,1,z_gust_0h_sq,0.003077652141197906,0.012520847897587237,-0.02146320973807308,0.027618514020468887,0.8058353426911804,LAD_cluster,7307,1815
R0_legacy_log_OLS,recovery,2,z_gust_0h,0.013751878853617032,0.01605533712270342,-0.01771658190688167,0.045220339614115736,0.3917046535656189,LAD_cluster,7312,1810
R0_legacy_log_OLS,recovery,2,z_gust_0h_sq,0.007674880697897428,0.012362682890081264,-0.01655597776666185,0.0319057391624567,0.5347244548150638,LAD_cluster,7312,1810
R0_legacy_log_OLS,recovery,3,z_gust_0h,0.044405978058109356,0.01720208266448868,0.010689896035711542,0.07812206008050718,0.009839184676419028,LAD_cluster,7242,1880
R0_legacy_log_OLS,recovery,3,z_gust_0h_sq,0.008707281197107735,0.014929374715603608,-0.020554293245475336,0.03796885563969081,0.5597374871215155,LAD_cluster,7242,1880
R0_legacy_log_OLS,recovery,4,z_gust_0h,0.030112016918204032,0.016727237223887966,-0.0026733680406163807,0.06289740187702444,0.0718324188248571,LAD_cluster,7298,1824
R0_legacy_log_OLS,recovery,4,z_gust_0h_sq,0.012204712391567852,0.013596228004643648,-0.014443894497533699,0.0388533192806694,0.3693698860049791,LAD_cluster,7298,1824
