n,pearson_r_level,pearson_p_level,pearson_r_log,pearson_p_log,mae_level,mae_log,storm,model
267,0.06208191955324708,0.31218748685737246,0.11552659640152918,0.059405522265353,93.1680347459698,1.6786512966429956,Storm Arwen,E0_customers_v2
267,0.039675845914313286,0.5185894929850546,0.24915939895502548,3.8331149259481446e-05,7.909389031043809,0.801565453031264,Storm Arwen,R0c_duration_B
293,0.3078271391270071,7.541260906479953e-08,0.2941554808167221,2.936240630818201e-07,101.89662973915887,1.758787417086244,Storm Dudley,E0_customers_v2
293,-0.059054573322438325,0.3137378179305599,0.08407942378125288,0.151116473936847,13.447179601293325,1.120901432535582,Storm Dudley,R0c_duration_B
1601,0.08660390799717088,0.0005222993152778999,0.1532477543498602,7.116502999218278e-10,229.6185929379244,2.0271648865650724,Storm Eunice,E0_customers_v2
1601,0.12391437331071947,6.577860238005823e-07,0.20361175120316896,1.919945691554338e-16,43.78646889973851,1.5356823083233455,Storm Eunice,R0c_duration_B
1187,0.07802254391329673,0.007158732244525121,0.12375585921136009,1.9053947527961825e-05,167.55519455040024,1.8243833179913518,Storm Franklin,E0_customers_v2
1187,0.05548294515876417,0.05600398568962392,0.21129507398116315,1.905741034218133e-13,41.09874289051778,1.6116449321175736,Storm Franklin,R0c_duration_B
506,0.05805387510026132,0.19231552488683748,0.18506890568528925,2.8022861281208232e-05,111.17147513627236,1.6738290527051085,Storm Babet,E0_customers_v2
506,-0.03838641358168231,0.38887293955786956,0.26189419101997297,2.2135751616499e-09,11.613209005722043,0.8865648039778465,Storm Babet,R0c_duration_B
576,0.1594425026305801,0.00012157999148828469,0.3413327696542541,3.497193671804041e-17,120.55430855891015,1.843998801749923,Storm Ciaran,E0_customers_v2
576,-0.03846735823211787,0.3567622031332937,0.317174038345578,6.295985495886802e-15,11.94344635144418,0.980557545994488,Storm Ciaran,R0c_duration_B
493,0.22444140629806683,4.775090755242139e-07,0.33164141328815816,4.032474178292517e-14,134.0767127205956,1.7889135177788467,Storm Henk,E0_customers_v2
493,-0.056648504263841916,0.2092550498753356,0.13552200414268606,0.002566736789547707,14.256714859456451,1.0926884601172675,Storm Henk,R0c_duration_B
60437,0.07281492682858198,7.63385983782719e-72,0.17933598235185083,0.0,92.8628892681545,1.7174993820298268,FULL_SAMPLE,E0_customers_v2
59834,0.2518243119852033,0.0,0.34293756077139576,0.0,8.840002299485873,0.9845437137598688,FULL_SAMPLE,R0c_duration_B
