Incident Reference,new_source_row,new_start_utc,new_stage,old_source_row,old_start_utc,old_stage,representative_row_changed,time_diff_hours_old_minus_new,new_gust_0h,old_gust_0h,gust_0h_diff,lat,lon,weather_status_v3,cause_group_official,cache_status,lat_r,lon_r,recomputed_gust_0h,recomputed_pressure_msl_0h,recomputed_temperature_0h,recomputed_precip_24h_sum
FREP-323233-Z,120270,2022-08-21 08:45:00+00:00,1,9998,2022-08-21 10:25:00+00:00,2,True,1.6666666666666667,,,,52.7734089482752,1.1508670612144,weather_request_unavailable,non_fault_or_unknown,not_found_needs_new_request,52.8,1.2,,,,
FREP-67549-V,176457,2021-09-24 08:45:00+00:00,1,171697,2021-09-24 09:10:00+00:00,2,True,0.4166666666666667,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-328657-G,67658,2023-08-10 17:18:00+00:00,3,10414,2023-08-10 17:19:00+00:00,4,True,0.0166666666666666,,,,,,invalid_time_or_coordinate,third_party,no_coordinates,,,,,,
FREP-315799-Z,63083,2022-07-15 05:29:00+00:00,3,45962,2022-07-15 09:39:00+00:00,4,True,4.166666666666667,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-370963-Z,125038,2023-04-27 12:45:00+00:00,2,18275,2023-04-27 13:02:00+00:00,1,True,0.2833333333333333,,,,51.9877928601118,-0.246606575221753,weather_request_unavailable,non_fault_or_unknown,not_found_needs_new_request,52.0,-0.2,,,,
FREP-289256-G,185665,2022-08-26 15:35:00+00:00,1,113545,2022-08-26 16:15:00+00:00,2,True,0.6666666666666666,,,,51.3412853502412,0.715243085981626,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.3,0.7,,,,
FREP-58841-C,190905,2021-12-30 09:33:00+00:00,1,139773,2021-12-30 13:21:00+00:00,2,True,3.8,,,,51.9349541158091,1.27207008384537,weather_request_unavailable,non_fault_or_unknown,not_found_needs_new_request,51.9,1.3,,,,
FREP-296000-Z,89918,2022-03-23 19:20:00+00:00,1,31917,2022-03-23 21:20:00+00:00,4,True,2.0,,,,52.3407372864036,-0.183060686204365,weather_request_unavailable,external_or_customer,not_found_needs_new_request,52.3,-0.2,,,,
FREP-282856-G,226946,2022-06-23 11:32:00+00:00,1,48843,2022-06-23 16:00:00+00:00,3,True,4.466666666666667,,,,50.8931649578315,-0.313200842296704,weather_request_unavailable,external_or_customer,not_found_needs_new_request,50.9,-0.3,,,,
FREP-15072-W,55601,2022-12-16 12:31:00+00:00,2,136,2022-12-17 12:50:00+00:00,1,True,24.316666666666663,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-74976-V,69139,2021-11-10 11:27:00+00:00,1,16599,2021-11-10 12:48:00+00:00,2,True,1.35,,,,51.0187181200991,-0.341498805744159,weather_request_unavailable,non_fault_or_unknown,not_found_needs_new_request,51.0,-0.3,,,,
FREP-79079-C,93818,2023-09-13 14:41:00+00:00,1,7026,2023-09-13 15:01:00+00:00,2,True,0.3333333333333333,,,,52.801821205504,1.26738878654342,weather_request_unavailable,external_or_customer,not_found_needs_new_request,52.8,1.3,,,,
FREP-250285-G,129245,2021-05-06 08:35:00+00:00,1,13924,2021-05-06 13:45:00+00:00,9,True,5.166666666666667,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-273786-G,124328,2022-03-20 14:16:00+00:00,2,32808,2022-03-20 20:00:00+00:00,3,True,5.733333333333333,,,,51.2282942287575,1.34369028190535,weather_request_unavailable,non_fault_or_unknown,not_found_needs_new_request,51.2,1.3,,,,
FREP-322373-J,88080,2023-07-16 14:19:00+00:00,2,58306,2023-07-16 16:52:00+00:00,1,True,2.55,,,,,,invalid_time_or_coordinate,non_fault_or_unknown,no_coordinates,,,,,,
FREP-403625-Z,141870,2023-10-20 15:20:00+00:00,1,37407,2023-10-20 16:30:00+00:00,2,True,1.1666666666666667,,,,,,invalid_time_or_coordinate,non_fault_or_unknown,no_coordinates,,,,,,
FREP-295741-G,168822,2022-10-26 14:23:00+00:00,1,78219,2022-10-26 18:15:00+00:00,4,True,3.8666666666666663,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-261871-G,123431,2021-12-31 10:27:00+00:00,1,110845,2021-12-31 13:48:00+00:00,2,True,3.35,,,,51.3980363179939,0.852246033262782,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.4,0.9,,,,
FREP-293904-G,78936,2022-10-10 14:35:00+00:00,1,17568,2022-10-10 15:24:00+00:00,2,True,0.8166666666666667,,,,,,invalid_time_or_coordinate,external_or_customer,no_coordinates,,,,,,
FREP-320099-G,80299,2023-05-31 10:33:00+00:00,1,21020,2023-05-31 16:23:00+00:00,2,True,5.833333333333333,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-307688-G,207895,2023-01-25 13:58:00+00:00,1,14416,2023-01-25 15:09:00+00:00,2,True,1.1833333333333331,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-321517-G,183789,2023-06-12 18:03:00+00:00,1,58440,2023-06-12 18:50:00+00:00,4,True,0.7833333333333333,,,,51.1528733469282,0.176344217376513,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.2,0.2,,,,
FREP-374026-Z,125180,2023-05-17 05:15:00+00:00,1,66719,2023-05-17 07:40:00+00:00,2,True,2.4166666666666665,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-326974-G,117087,2023-07-27 14:20:00+00:00,1,10179,2023-07-28 07:16:00+00:00,2,True,16.933333333333334,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-316606-G,118376,2023-04-24 14:55:00+00:00,1,107943,2023-04-24 15:28:00+00:00,2,True,0.55,,,,51.2394868801445,0.707680376471689,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.2,0.7,,,,
FREP-298690-Z,166639,2022-04-07 14:00:00+00:00,1,47086,2022-04-07 20:14:00+00:00,2,True,6.233333333333333,,,,51.7998315339375,0.273921971573016,weather_request_unavailable,non_fault_or_unknown,not_found_needs_new_request,51.8,0.3,,,,
FREP-70168-N,234400,2022-04-04 14:40:00+00:00,4,175326,2022-04-04 16:45:00+00:00,3,True,2.083333333333333,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-343858-Z,44737,2022-12-01 08:47:00+00:00,1,26062,2022-12-02 00:53:00+00:00,4,True,16.1,,,,51.8739821337294,0.565585950235916,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.9,0.6,,,,
FREP-289310-G,223270,2022-08-27 06:33:00+00:00,4,33169,2022-08-27 19:45:00+00:00,3,True,13.2,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-284638-Z,49267,2022-02-14 09:59:00+00:00,2,15119,2022-02-14 10:06:00+00:00,4,True,0.1166666666666666,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-339320-G,210297,2023-11-07 19:38:00+00:00,3,180954,2023-11-07 20:35:00+00:00,4,True,0.95,,,,,,invalid_time_or_coordinate,external_or_customer,no_coordinates,,,,,,
