term,coef,se,p
Intercept,1.6364161374859807,0.2609556698394669,3.590623092402798e-10
z_gust_0h,-0.000992638820534675,0.009088885563685502,0.9130322962270901
z_gust_0h_sq,0.08495442319039566,0.006126593256141776,1.010863939013968e-43
z_precipitation_24h_sum,0.05361935316499034,0.006003896267212959,4.230942719568435e-19
z_temperature_0h,-0.07130558317393672,0.00943629074213551,4.1397487538868666e-14
z_pressure_msl_0h,-0.041544413889191646,0.00756579994278671,3.994830000997018e-08
z_gust_pressure,0.021369149505654085,0.009118518395724601,0.019104314634758337
urban_binary,0.13875307186565355,0.03641353576744421,0.00013869689274360845
log_population,0.016619976389661964,0.022761699292503802,0.46528449434930075
income_deprivation_rate,0.18321449665805062,0.5422561436566343,0.7354578018898748
deprivation_gap_pct,-0.18204709395707386,0.4648550787959704,0.6953381369354152
morans_i,0.2626181351310434,0.12576295172853694,0.036779840820144204
z_log1p_customers_v2,0.33555784034364255,0.02062425610849456,1.6100553237108833e-59
z_log1p_customers_v2_sq,-0.3957600036685491,0.02099145691422273,2.7563172436294335e-79
incident_year[2022],0.040023020071663536,0.018372885747383372,0.029378189966005264
incident_year[2023],-0.10924061858945103,0.019372416769964755,1.7106307365361418e-08
incident_year[2024],-0.24860896260968315,0.031489131844601934,2.9014772852831873e-15
incident_month[2],0.3497791092276457,0.044419659759419076,3.423239552282603e-15
incident_month[3],-0.01840292566242472,0.026420206157217005,0.4860860894379775
incident_month[4],-0.07253103069390107,0.03360870030011792,0.030919839026263725
incident_month[5],-0.06903405905306896,0.034901361395090334,0.047931401776057286
incident_month[6],0.11636401869165311,0.04084167806791936,0.004383637095732082
incident_month[7],0.09120321461753532,0.039242890194675736,0.02012175517958576
incident_month[8],0.07889178959303624,0.037048736682023256,0.03322071257395505
incident_month[9],-0.0020525826646074848,0.03832537022348148,0.9572883073579208
incident_month[10],-0.0554008988117469,0.038205131470196975,0.14703327945015357
incident_month[11],-0.05606541722495063,0.030594023445919813,0.06686786772386867
incident_month[12],0.011002367552089368,0.03231313889293564,0.7334859936051039
