storm,subset,n,pearson_r,pearson_p,mae
Arwen,in_training_range,269,0.24805854863537677,3.888643249340654e-05,0.7944357190191886
Arwen,excluded_by_p99_truncation,1,,,
Dudley,in_training_range,288,0.1014132932129432,0.085798851730261,1.1008250069108305
Dudley,excluded_by_p99_truncation,3,-0.961677842876656,0.17681408905638518,4.243010792537359
Eunice,in_training_range,1636,0.20961669913734268,1.0590188144027333e-17,1.5114308519776638
Eunice,excluded_by_p99_truncation,23,-0.24477047989888073,0.26031620060021954,2.934045214967249
Franklin,in_training_range,1125,0.27075472873108325,2.3633593366104942e-20,1.570376436206017
Franklin,excluded_by_p99_truncation,7,-0.8180330664663925,0.024531857529115797,3.8099071828947
Babet,in_training_range,506,0.3055447603092748,2.144581746405005e-12,0.8596353838264318
Babet,excluded_by_p99_truncation,3,-0.38067567102475297,0.7513828716391295,4.97109027238774
Ciaran,in_training_range,572,0.35896054185784326,7.760397346543712e-19,0.9559058671500987
Ciaran,excluded_by_p99_truncation,4,0.487438393851663,0.5125616061483371,5.146260665861563
Henk,in_training_range,487,0.19445372020592525,1.5496459793015004e-05,1.0302493235717205
Henk,excluded_by_p99_truncation,7,-0.2791639158123047,0.5443257053768447,4.481958589788662
FULL_SAMPLE,in_training_range,4883,0.3777686073381387,1.9023265250370257e-165,1.2806881539584614
FULL_SAMPLE,excluded_by_p99_truncation,48,-0.3822007067650486,0.0073450398862605765,3.708738366788825
