gust_decile,n,gust_min,gust_max,pct_weather_natural
0,6289.0,0.5,4.199999809265137,6.932739704245508
1,5907.0,4.300000190734863,5.5,8.058235991196886
2,6161.0,5.599999904632568,6.699999809265137,9.1868203213764
3,6011.0,6.800000190734863,7.800000190734863,10.098153385459991
4,6385.0,7.900000095367432,9.0,10.618637431480032
5,5850.0,9.100000381469728,10.199999809265137,10.888888888888888
6,5912.0,10.300000190734863,11.600000381469728,12.415426251691475
7,6086.0,11.699999809265137,13.600000381469728,15.165954650016431
8,5855.0,13.699999809265137,16.799999237060547,23.53543979504697
9,5997.0,16.899999618530273,39.400001525878906,57.06186426546607
