variable,VIF
z_gust_0h,2.251195061693133
z_gust_0h_sq,3.2411692110758286
z_precipitation_24h_sum,1.4401169064603638
z_temperature_0h,3.1388822575677193
z_pressure_msl_0h,1.9072313530927492
z_gust_pressure,2.691449257827041
urban_binary,1.1658342700075686
log_population,1.3391729964692105
income_deprivation_rate,2.582735188234907
deprivation_gap_pct,3.7580464846630472
morans_i,2.509265624992691
z_log1p_customers_v2,1.9088588416067265
z_log1p_customers_v2_sq,1.8908032166748376
incident_year[2022],1.9452666591281313
incident_year[2023],1.8646440959976922
incident_year[2024],2.1790363562587807
incident_month[2],2.0970945420439535
incident_month[3],1.8221239577695365
incident_month[4],1.9325883066198475
incident_month[5],2.365931837254363
incident_month[6],3.2085608123481677
incident_month[7],3.531606603536056
incident_month[8],3.0265904440492273
incident_month[9],2.8256823409401157
incident_month[10],2.6864741743814604
incident_month[11],2.3081528708638346
incident_month[12],2.169608017979487
