filename,path,sha256,all_copies_identical
01_原始分箱关系.md,D:\Pyprogramme\STST2603\claude_branch\results\17#\01_原始分箱关系.md,20643a668a11b9640ec41ce795739721870c736647c276ea3bb207153ce1b6bc,True
01_原始分箱关系.md,D:\Pyprogramme\STST2603\claude_branch\results\customers_duration_shape_investigation\01_原始分箱关系.md,20643a668a11b9640ec41ce795739721870c736647c276ea3bb207153ce1b6bc,True
02_子组构成排查.md,D:\Pyprogramme\STST2603\claude_branch\results\17#\02_子组构成排查.md,c0cc65ede0c0d6d3f3db86a46a75d19f999ec72c604fdb51413ce7ea186d08ae,True
02_子组构成排查.md,D:\Pyprogramme\STST2603\claude_branch\results\customers_duration_shape_investigation\02_子组构成排查.md,c0cc65ede0c0d6d3f3db86a46a75d19f999ec72c604fdb51413ce7ea186d08ae,True
03_灵活函数形式复核.md,D:\Pyprogramme\STST2603\claude_branch\results\17#\03_灵活函数形式复核.md,9fc0f6a21df09f140ecbe0dcfd2696cd5add52b31d9158d864a794c0f6754327,True
03_灵活函数形式复核.md,D:\Pyprogramme\STST2603\claude_branch\results\customers_duration_shape_investigation\03_灵活函数形式复核.md,9fc0f6a21df09f140ecbe0dcfd2696cd5add52b31d9158d864a794c0f6754327,True
04_综合判断与叙事更新建议.md,D:\Pyprogramme\STST2603\claude_branch\results\17#\04_综合判断与叙事更新建议.md,1870c4035dd6ce086794926efda24a2823f9cdb161a41b5d0bbeb9001c9934a4,True
04_综合判断与叙事更新建议.md,D:\Pyprogramme\STST2603\claude_branch\results\customers_duration_shape_investigation\04_综合判断与叙事更新建议.md,1870c4035dd6ce086794926efda24a2823f9cdb161a41b5d0bbeb9001c9934a4,True
05_n_stages分层检验与最终叙事校准.md,D:\Pyprogramme\STST2603\claude_branch\results\17#\05_n_stages分层检验与最终叙事校准.md,3fa2f63771be21bf0371682b00982b68c1eaa6eb862046d96ed4f3ef9165f60b,True
05_n_stages分层检验与最终叙事校准.md,D:\Pyprogramme\STST2603\claude_branch\results\customers_duration_shape_investigation\05_n_stages分层检验与最终叙事校准.md,3fa2f63771be21bf0371682b00982b68c1eaa6eb862046d96ed4f3ef9165f60b,True
00_holdout样本构建.md,D:\Pyprogramme\STST2603\claude_branch\results\19#\00_holdout样本构建.md,3a0ef5ade65abda44c6da4973314e7fa283f8d744855ac8d0717dec387ebbfa0,True
00_holdout样本构建.md,D:\Pyprogramme\STST2603\claude_branch\results\module_e_final_confirmation\00_holdout样本构建.md,3a0ef5ade65abda44c6da4973314e7fa283f8d744855ac8d0717dec387ebbfa0,True
01_E0暴露模型holdout结果.md,D:\Pyprogramme\STST2603\claude_branch\results\19#\01_E0暴露模型holdout结果.md,3c0c6a37bc0fe97deaa39f7cd0ef4fc3a326871631c151cb6b79a8102f7b8f1a,True
