sample,block,fold,n,r2
main_E0,regional_time,0,12094,0.015193486838354198
main_E0,B,0,12094,0.030544360105238644
main_E0,BG,0,12094,0.04531700822416107
main_E0,regional_time,1,12085,0.009742043479983309
main_E0,B,1,12085,0.013576838725604667
main_E0,BG,1,12085,0.019052909937442686
main_E0,regional_time,2,12087,0.01004048868203078
main_E0,B,2,12087,0.017121325902817564
main_E0,BG,2,12087,0.03176698128508859
main_E0,regional_time,3,12087,0.010796488979583296
main_E0,B,3,12087,0.01375500446075939
main_E0,BG,3,12087,0.020860467823108353
main_E0,regional_time,4,12084,0.0007395472862038455
main_E0,B,4,12084,0.010549446504070525
main_E0,BG,4,12084,0.02185633011848309
main_R0c,regional_time,0,11964,0.03662465371103085
main_R0c,B,0,11964,0.05424535811290765
main_R0c,BG,0,11964,0.07701288028311115
main_R0c,BC,0,11964,0.1095941085801152
main_R0c,BGC,0,11964,0.13802573810583751
main_R0c,regional_time,1,11969,0.032436016675577606
main_R0c,B,1,11969,0.03409545943335068
main_R0c,BG,1,11969,0.02899122146382649
main_R0c,BC,1,11969,0.11670956223223228
main_R0c,BGC,1,11969,0.11204567401701726
main_R0c,regional_time,2,11969,-0.021495365089715834
main_R0c,B,2,11969,-0.013629487557209607
main_R0c,BG,2,11969,-0.006025120482784363
main_R0c,BC,2,11969,0.07133029508261035
main_R0c,BGC,2,11969,0.07783769764481496
main_R0c,regional_time,3,11966,0.02331055255316261
main_R0c,B,3,11966,0.03095490938348744
main_R0c,BG,3,11966,0.03357454640888169
main_R0c,BC,3,11966,0.11155382117816981
main_R0c,BGC,3,11966,0.11486335286555793
main_R0c,regional_time,4,11966,-0.0034219282714789134
main_R0c,B,4,11966,0.00462406577596175
main_R0c,BG,4,11966,0.00651973658224092
main_R0c,BC,4,11966,0.09175029465840401
main_R0c,BGC,4,11966,0.09406122522197391
weather_E0,regional_time,0,1972,-0.04692697003251012
weather_E0,B,0,1972,0.00468302231557538
weather_E0,BG,0,1972,-0.03807671904569765
weather_E0,regional_time,1,1972,0.011219435337411765
weather_E0,B,1,1972,0.020409208202633478
weather_E0,BG,1,1972,0.022243007834654605
weather_E0,regional_time,2,1971,0.002447739617136846
weather_E0,B,2,1971,0.021476940745238204
weather_E0,BG,2,1971,0.03179919037129386
weather_E0,regional_time,3,1971,-0.00588749238062225
weather_E0,B,3,1971,0.01622152007227118
weather_E0,BG,3,1971,0.02942434207109501
weather_E0,regional_time,4,1971,0.020779597394108174
weather_E0,B,4,1971,0.03286314522299072
weather_E0,BG,4,1971,0.046074765329179534
weather_R0c,regional_time,0,1952,0.23510515300289714
weather_R0c,B,0,1952,0.2877004478844203
weather_R0c,BG,0,1952,0.3194662799046666
weather_R0c,BC,0,1952,0.29670452945051196
weather_R0c,BGC,0,1952,0.33387019271243434
weather_R0c,regional_time,1,1952,0.23665633127918428
weather_R0c,B,1,1952,0.22236830825185094
weather_R0c,BG,1,1952,0.20385936210754962
weather_R0c,BC,1,1952,0.23554747693761724
weather_R0c,BGC,1,1952,0.21695192258570906
weather_R0c,regional_time,2,1952,0.10899835242957667
weather_R0c,B,2,1952,0.11181753452181387
weather_R0c,BG,2,1952,0.13259066040953926
weather_R0c,BC,2,1952,0.12090690650487756
weather_R0c,BGC,2,1952,0.1443948832085139
weather_R0c,regional_time,3,1951,-0.0672338461429236
weather_R0c,B,3,1951,0.012820473498535878
weather_R0c,BG,3,1951,0.03594569956709226
weather_R0c,BC,3,1951,0.029571471759665124
weather_R0c,BGC,3,1951,0.055781324005983235
weather_R0c,regional_time,4,1951,0.014204993374656194
weather_R0c,B,4,1951,0.033044336025567445
weather_R0c,BG,4,1951,0.050112828854687264
weather_R0c,BC,4,1951,0.03777723223776719
weather_R0c,BGC,4,1951,0.05757034441137876
