Incident Reference,date,fold
FREP-14123-W,2022-02-19,1
FREP-14126-W,2022-02-20,2
FREP-13494-W,2021-08-17,0
FREP-13646-W,2021-09-08,3
FREP-14105-W,2022-02-18,0
FREP-75759-C,2023-06-12,3
FREP-14172-W,2022-02-20,2
FREP-14081-W,2022-02-18,0
FREP-14113-W,2022-02-18,0
FREP-14345-W,2022-02-18,0
FREP-14347-W,2022-02-18,0
FREP-240399-Z,2021-06-02,3
FREP-14185-W,2022-02-20,2
FREP-14200-W,2022-02-19,1
FREP-14479-W,2022-07-19,4
FREP-240866-Z,2021-06-04,2
FREP-240844-Z,2021-06-04,2
FREP-15659-W,2023-06-21,0
FREP-15801-W,2023-07-15,3
FREP-15804-W,2023-07-15,3
FREP-242561-Z,2021-06-14,0
FREP-18299-U,2021-08-02,3
FREP-241622-Z,2021-06-09,0
FREP-243440-Z,2021-06-18,0
FREP-243102-Z,2021-06-17,2
FREP-19316-U,2021-11-04,0
FREP-242987-Z,2021-06-16,2
FREP-243342-Z,2021-06-18,0
FREP-243337-Z,2021-06-18,0
FREP-243573-Z,2021-06-18,0
FREP-243957-Z,2021-06-20,3
FREP-19669-U,2022-02-19,1
FREP-19686-U,2022-02-23,1
FREP-19717-U,2022-02-20,2
FREP-19718-U,2022-02-20,2
FREP-19774-U,2022-02-23,1
FREP-19959-U,2022-03-22,4
FREP-243696-Z,2021-06-18,0
FREP-19859-U,2022-03-10,2
FREP-243963-Z,2021-06-20,3
FREP-20683-U,2022-10-05,4
FREP-244295-Z,2021-06-22,2
FREP-19785-U,2022-02-20,2
FREP-244414-Z,2021-06-20,3
FREP-21845-U,2023-07-14,4
FREP-245189-Z,2021-06-26,0
FREP-21119-U,2022-12-12,3
FREP-244514-Z,2021-06-24,1
FREP-21951-U,2023-07-17,4
FREP-21886-U,2023-07-15,3
FREP-21901-U,2023-07-15,3
FREP-245405-Z,2021-06-28,0
FREP-245417-Z,2021-06-28,0
FREP-228861-Z,2021-04-02,4
FREP-246233-Z,2021-07-01,2
FREP-246543-Z,2021-07-03,3
FREP-247036-Z,2021-07-06,2
FREP-247387-Z,2021-07-07,2
FREP-247095-Z,2021-07-06,2
FREP-231182-Z,2021-04-15,0
FREP-247846-Z,2021-07-09,1
FREP-232894-Z,2021-04-25,1
FREP-232572-Z,2021-04-22,0
FREP-249238-Z,2021-07-17,1
FREP-248979-Z,2021-07-15,1
FREP-249006-Z,2021-07-15,1
FREP-233977-Z,2021-05-12,4
FREP-249042-Z,2021-07-16,4
FREP-234484-Z,2021-05-03,2
FREP-234507-Z,2021-05-03,2
FREP-249177-G,2021-04-17,1
FREP-249467-G,2021-04-21,2
FREP-233730-Z,2021-04-29,2
FREP-249490-Z,2021-07-19,4
FREP-234575-Z,2021-05-04,1
FREP-234547-Z,2021-05-03,2
FREP-234629-Z,2021-05-04,1
FREP-234652-Z,2021-05-05,4
FREP-249557-Z,2021-07-19,4
FREP-234648-Z,2021-05-04,1
FREP-234895-Z,2021-05-04,1
FREP-249811-Z,2021-07-20,2
FREP-249821-Z,2021-07-20,2
FREP-249926-Z,2021-07-20,2
FREP-249969-Z,2021-07-20,2
FREP-249980-Z,2021-07-20,2
FREP-250122-G,2021-05-04,1
FREP-250113-Z,2021-07-21,4
FREP-250216-Z,2021-07-21,4
FREP-250137-G,2021-05-04,1
FREP-236797-Z,2021-05-14,2
FREP-250129-G,2021-05-04,1
FREP-237408-Z,2021-05-18,2
FREP-250173-G,2021-05-04,1
FREP-238398-Z,2021-05-22,1
FREP-250095-G,2021-05-03,2
FREP-250116-G,2021-05-03,2
FREP-250629-G,2021-05-13,2
FREP-238117-Z,2021-05-21,3
FREP-250898-Z,2021-07-24,3
FREP-251071-G,2021-05-21,3
FREP-251103-Z,2021-07-25,3
FREP-251152-Z,2021-07-25,3
FREP-257097-G,2021-11-06,4
FREP-259783-G,2021-12-07,1
FREP-259798-G,2021-12-07,1
FREP-259822-G,2021-12-07,1
FREP-259776-G,2021-12-07,1
FREP-259801-G,2021-12-07,1
FREP-259903-G,2021-12-07,1
FREP-260207-G,2021-12-10,4
FREP-260203-Z,2021-09-14,1
