term,coefficient,std_error,p_value
Intercept,2.515394896000578,0.6609724558351395,0.0001414624718039649
z_gust_0h,0.2306849358527267,0.019018936768667234,7.394722865564001e-34
z_gust_0h_sq,0.08241130160446283,0.021471386480733164,0.0001239436062440568
z_precipitation_24h_sum,0.07753807513678453,0.017687787964079625,1.166768215947575e-05
z_temperature_0h,-0.05300024619422174,0.026575267364809276,0.04611438684192415
z_pressure_msl_0h,-0.08798274873338785,0.022619254886875734,0.00010035664855502356
z_gust_pressure,0.06952604824480575,0.024598937717432847,0.004707676596533375
urban_binary,-0.01823661825791429,0.04688926246352314,0.6973282855618415
log_population,-0.07770965999931838,0.05440538892181664,0.15319260915125205
income_deprivation_rate,-2.315689223311349,1.078830096538423,0.03183455516453284
deprivation_gap_pct,0.7973072439265706,0.48760622730890213,0.10201850018681907
morans_i,-0.040852721137796255,0.23425081087764266,0.8615531951744908
z_log1p_customers_v2,-0.1649191164077769,0.016410434661747294,9.219475085098902e-24
z_log1p_customers_v2_sq,-0.058030809900628526,0.028550163081304192,0.04209384250536627
incident_year[2022],0.22847972837104516,0.03406996684213136,1.997692726646029e-11
incident_year[2023],0.03399300330784233,0.04731257203844415,0.4724631138818153
incident_year[2024],-0.32681550230895917,0.09225032593944044,0.0003960485374977521
incident_month[2],0.7191062983113578,0.058456060907279776,8.873701566865155e-35
incident_month[3],-0.3968579419641156,0.0704688683857522,1.7846514953358023e-08
incident_month[4],-0.3747490528667669,0.07955286127778567,2.468767038706909e-06
incident_month[5],-0.36376675146772597,0.08822647244787458,3.7380395108117384e-05
incident_month[6],-0.11391183431000297,0.10542480010738836,0.27991816074845344
incident_month[7],-0.1183431486307965,0.09973112495853577,0.2353767475166444
incident_month[8],-0.1173971486115742,0.1029001039554183,0.25391792990374873
incident_month[9],-0.22988476784766051,0.10416346364881046,0.027316739888534624
incident_month[10],-0.31430290059838556,0.09843881467121857,0.0014086356168040793
incident_month[11],-0.37429229105711687,0.08286241508340612,6.271203640004866e-06
incident_month[12],-0.384437567910861,0.0847471058714961,5.725206089404111e-06
