label,decile,n,x_min,x_max,x_median,y_mean,y_median
n_stages=3-4,"(-0.001, 5.0]",704,0.0,5.0,3.0,26.274573863636366,16.758333333333333
n_stages=3-4,"(5.0, 11.0]",627,6.0,11.0,8.0,19.62517278043594,12.433333333333334
n_stages=3-4,"(11.0, 19.0]",580,12.0,19.0,15.0,16.14451149425287,10.816666666666666
n_stages=3-4,"(19.0, 31.0]",657,20.0,31.0,25.0,14.819279553526128,10.483333333333333
n_stages=3-4,"(31.0, 49.0]",626,32.0,49.0,39.0,13.11898296059638,9.524999999999999
n_stages=3-4,"(49.0, 81.0]",634,50.0,81.0,63.0,11.339353312302839,8.175
n_stages=3-4,"(81.0, 155.0]",626,82.0,155.0,113.0,10.309158679446218,6.316666666666666
n_stages=3-4,"(155.0, 289.0]",638,156.0,289.0,212.0,10.486128526645768,4.416666666666667
n_stages=3-4,"(289.0, 516.0]",633,290.0,516.0,386.0,7.240258030542392,3.733333333333333
n_stages=3-4,"(516.0, 8466.0]",636,517.0,8466.0,788.5,7.2287211740041935,2.083333333333333
