model,customers_v2_raw,customers_v2_log1p,customers_v2_z,predicted_duration_B
R0c_customers_dose_response,0.0,0.0,-1.065015639419455,3.4604933664239836
R0c_customers_dose_response,31.074897959183637,3.4680737291773456,0.6531948846483236,8.202453553470924
R0c_customers_dose_response,62.149795918367275,4.145509617094798,0.9888213917229214,7.388944333646687
R0c_customers_dose_response,93.22469387755092,4.545682290302614,1.1870815650189215,6.661608416454208
R0c_customers_dose_response,124.29959183673455,4.830707604408565,1.3282935266339182,6.071265827686119
R0c_customers_dose_response,155.37448979591818,5.052253706085786,1.438055565504495,5.587482418174978
R0c_customers_dose_response,186.44938775510184,5.233508876999483,1.5278560041703402,5.183569897440246
R0c_customers_dose_response,217.52428571428547,5.386897155793028,1.6038501656192166,4.840436659898496
R0c_customers_dose_response,248.5991836734691,5.519856365950939,1.6697230195447452,4.5445839256916605
R0c_customers_dose_response,279.67408163265276,5.637194144343954,1.7278564450280134,4.286292277695422
R0c_customers_dose_response,310.74897959183636,5.742198311393078,1.7798793485138549,4.058399709229159
R0c_customers_dose_response,341.82387755102,5.837216838764085,1.8269550010113045,3.85550931485223
R0c_customers_dose_response,372.8987755102037,5.923985107065172,1.869943173522109,3.6734711197417904
R0c_customers_dose_response,403.9736734693873,6.003822061214411,1.909497319581535,3.509036171999991
R0c_customers_dose_response,435.04857142857094,6.07775363950336,1.9461257265292575,3.359620272946545
R0c_customers_dose_response,466.12346938775454,6.14659361113505,1.9802315653812346,3.2231389498006906
R0c_customers_dose_response,497.1983673469382,6.210998325719014,2.012140015731278,3.0978897697775
R0c_customers_dose_response,528.2732653061219,6.271504868058956,2.0421171690278728,2.9824668068770306
R0c_customers_dose_response,559.3481632653055,6.328558310657929,2.0703835304616325,2.875697396851739
R0c_customers_dose_response,590.4230612244891,6.382531600950458,2.0971238718272085,2.7765946365500533
R0c_customers_dose_response,621.4979591836727,6.433740349913686,2.1224945583419483,2.684321199097773
R0c_customers_dose_response,652.5728571428564,6.482454014444268,2.1466290888042536,2.598161411709534
R0c_customers_dose_response,683.64775510204,6.528904479874218,2.169642347685725,2.5174994547008027
R0c_customers_dose_response,714.7226530612237,6.573292735859164,2.191633912610281,2.441802155823811
R0c_customers_dose_response,745.7975510204074,6.615794132364397,2.2126906583618164,2.370605276701507
R0c_customers_dose_response,776.8724489795909,6.656562563410556,2.2328888296647826,2.3035024829195745
R0c_customers_dose_response,807.9473469387746,6.695733830810359,2.252295707702344,2.2401363979506534
R0c_customers_dose_response,839.0222448979582,6.7334283735080955,2.2709709623309524,2.1801912907211025
R0c_customers_dose_response,870.0971428571419,6.769753500894248,2.288967758546065,2.1233870553151393
R0c_customers_dose_response,901.1720408163255,6.804805234487806,2.306333668918898,2.0694742211762027
R0c_customers_dose_response,932.2469387755091,6.8386698376130575,2.3231114314542376,2.0182297914934715
R0c_customers_dose_response,963.3218367346927,6.871425094427101,2.3393395832674293,1.9694537519820399
R0c_customers_dose_response,994.3967346938764,6.903141386023129,2.3550529937252924,1.922966125992412
R0c_customers_dose_response,1025.47163265306,6.933882601058196,2.3702833156044107,1.87860447766301
R0c_customers_dose_response,1056.5465306122437,6.96370691053139,2.38505936894456,1.8362217846967401
R0c_customers_dose_response,1087.6214285714273,6.992667430329076,2.399407469297854,1.7956846177749117
R0c_customers_dose_response,1118.696326530611,7.020812790498611,2.413351709767748,1.7568715756979876
R0c_customers_dose_response,1149.7712244897946,7.048187626576616,2.4269142044310366,1.7196719348582197
R0c_customers_dose_response,1180.8461224489781,7.074833005438046,2.4401152993190465,1.6839844791969993
R0c_customers_dose_response,1211.921020408162,7.1007867958664175,2.452973756011677,1.6497164828237223
R0c_customers_dose_response,1242.9959183673454,7.126083992238554,2.465506912002661,1.6167828223092835
R0c_customers_dose_response,1274.0708163265292,7.150756998267,2.4777308212759275,1.5851051995719896
R0c_customers_dose_response,1305.1457142857128,7.174835876572541,2.489660377952954,1.5546114594427571
R0c_customers_dose_response,1336.2206122448963,7.198348568908817,2.501309425400091,1.5252349885818264
R0c_customers_dose_response,1367.29551020408,7.221321091085402,2.5126908528005845,1.4969141845382379
R0c_customers_dose_response,1398.3704081632636,7.243777705999365,2.523816680880734,1.4695919854884778
R0c_customers_dose_response,1429.4453061224474,7.265741077660969,2.534698138219858,1.4432154526338417
R0c_customers_dose_response,1460.520204081631,7.2872324086648685,2.545345729358551,1.417735398434844
R0c_customers_dose_response,1491.5951020408147,7.308271563197072,2.5557692957408302,1.3931060548605578
R0c_customers_dose_response,1522.6699999999983,7.328877177366338,2.565978070376343,1.3692847766674454
