Incident Reference,cause_group_official,customers_v2_event_excl_reinterruptions,duration_A_customer_weighted_hours,duration_B_full_span_hours,lat,lon,incident_date_utc,temperature_0h,pressure_msl_0h,gust_0h,precipitation_24h_sum,weather_status_v3,LAD21CD,population,rural_urban_classification,deprivation_gap_pct,morans_i,income_deprivation_rate,cv_fold_v3,urban_binary,log_population,incident_year,incident_month,substation,LAD21NM
FREP-15065-O,technical_asset,0.0,,1.0,52.2641727902783,-0.117448540171514,2023-11-02,11.0,962.5,13.699999809265137,8.800000190734863,matched,E07000011,187113.0,Mainly Rural (rural including hub towns >=80%) ,0.207,0.3,0.074,,0.0,12.139467991409111,2023,11,HILTON PRIMARY,Huntingdonshire
FREP-15128-O,technical_asset,0.0,,1.0,51.8029933035877,-0.804634634538837,2023-11-03,6.449999809265137,980.2999877929688,10.300000190734863,9.600000381469728,matched,E06000060,569850.0,Urban with Significant Rural (rural including hub towns 26-49%),0.1874999999999999,0.3,0.06325,,1.0,13.253128447283881,2023,11,NORTH DR PRIMARY,Buckinghamshire
FREP-16032-W,weather_natural,601.0,0.3738768718801997,6.766666666666667,50.927579327247,-0.390106657160305,2023-11-02,10.75,963.7000122070312,16.399999618530273,18.5,matched,E07000227,149741.0,Largely Rural (rural including hub towns 50-79%) ,0.124,0.03,0.056,,0.0,11.916662414004664,2023,11,ASHINGTON 33/11KV,Horsham
FREP-16019-W,technical_asset,5.0,4.347222222222222,11.15,51.0918308945304,-0.0756676219650012,2023-10-31,9.0,999.0999755859376,3.5,1.2000000476837158,matched,E07000228,158410.0,Urban with City and Town,0.155,0.02,0.053,,1.0,11.972941887682897,2023,10,WEST HOATHLY 33/11KV,Mid Sussex
FREP-22306-U,weather_natural,46.0,7.966666666666668,7.966666666666667,51.2089675123131,1.21920687998267,2023-11-01,10.350000381469728,982.2999877929688,20.299999237060547,9.0,matched,E07000106,160826.0,Urban with City and Town,0.248,0.17,0.1,,1.0,11.988078314198622,2023,11,LIGHTWEIGHT AGGREGATES,Canterbury
FREP-22323-U,weather_natural,10.0,7.448717948717948,42.016666666666666,51.1291430170208,1.31104348609471,2023-11-02,9.550999641418455,974.7000122070312,18.0,37.09999847412109,matched,E07000108,118781.0,Urban with Significant Rural (rural including hub towns 26-49%),0.376,0.3,0.134,,1.0,11.685036740460157,2023,11,DOVER 33/11KV,Dover
FREP-405427-Z,weather_natural,88.0,2.763418803418804,12.5,51.7073052071919,-0.202401263478464,2023-11-01,10.25,998.4000244140624,5.400000095367432,2.900000095367432,matched,E07000098,109483.0,Urban with Major Conurbation,0.312,0.16,0.089,,1.0,11.603524565044435,2023,11,WEST POTTERS BAR PRIMARY,Hertsmere
FREP-405298-Z,technical_asset,13.0,4.730769230769231,15.5,51.4630321731921,0.355340222846226,2023-10-31,10.699999809265137,1000.0,3.799999952316284,3.700000047683716,matched,E06000034,179280.0,Urban with Major Conurbation,0.3289999999999999,0.4,0.13,,1.0,12.096704108474809,2023,10,SELWYN RD PRIMARY,Thurrock
FREP-405605-Z,weather_natural,289.0,0.531833910034602,0.5333333333333333,52.5551920087145,1.71151379971712,2023-11-02,11.149999618530272,981.4000244140624,14.699999809265137,7.400000095367432,matched,E07000145,100209.0,Urban with Significant Rural (rural including hub towns 26-49%),0.43,0.58,0.184,,1.0,11.515013283958575,2023,11,BRADWELL PRIMARY,Great Yarmouth
FREP-405264-Z,technical_asset,17.0,2.818939393939394,5.3,52.2438524986778,0.106523770553321,2023-10-31,6.0,998.4000244140624,3.700000047683716,0.1000000014901161,matched,E07000012,169328.0,Largely Rural (rural including hub towns 50-79%) ,0.1559999999999999,0.02,0.056,,0.0,12.039592941333506,2023,10,HISTON PRIMARY,South Cambridgeshire
FREP-405691-Z,weather_natural,1146.0,0.3779367011564212,2.466666666666667,52.5640147325315,1.25498546739366,2023-11-02,10.149999618530272,963.2000122070312,15.100000381469728,7.700000286102295,matched,E07000149,146645.0,Mainly Rural (rural including hub towns >=80%) ,0.15,0.05,0.078,,0.0,11.895769979040859,2023,11,MULBARTON PRIMARY,South Norfolk
FREP-405383-Z,weather_natural,1.0,5.716666666666667,5.716666666666667,52.773527721877,1.51144404414923,2023-10-31,11.699999809265137,1000.7000122070312,5.699999809265137,2.8999998569488525,matched,E07000147,103280.0,Mainly Rural (rural including hub towns >=80%) ,0.1979999999999999,0.03,0.106,,0.0,11.545199025520525,2023,10,STALHAM PRIMARY,North Norfolk
FREP-405442-Z,technical_asset,2387.0,0.3087627426337104,1.25,51.8007818628552,-0.0726492636108153,2023-11-01,11.949999809265137,991.7999877929688,11.699999809265137,6.100000381469727,matched,E07000242,153897.0,Urban with Significant Rural (rural including hub towns 26-49%),0.1669999999999999,0.04,0.06,,1.0,11.944038826459588,2023,11,EAST HERTFORD PRIMARY,East Hertfordshire
