term,coefficient,std_error,ci_low,ci_high,p_value,model,fold,n_obs_in_fold_train,n_obs_in_fold_valid,inference
z_gust_0h,0.11076609581122525,0.03027546720041311,0.051426180098415555,0.17010601152403493,0.0002535879160916622,E0_weather_natural,0,7885,1972,LAD_cluster
z_gust_0h_sq,0.15822308701615395,0.02344262908213255,0.11227553401517415,0.20417064001713375,1.484837017620421e-11,E0_weather_natural,0,7885,1972,LAD_cluster
z_gust_0h,0.13297218128669466,0.0410230457099585,0.052567011695176,0.21337735087821333,0.001189433338609216,E0_weather_natural,1,7885,1972,LAD_cluster
z_gust_0h_sq,0.027860912751588484,0.029464460689226778,-0.029889430199296,0.08561125570247297,0.3443644421637132,E0_weather_natural,1,7885,1972,LAD_cluster
z_gust_0h,0.1295456299536209,0.0437066898080244,0.04388051792989309,0.2152107419773487,0.0030369083505583506,E0_weather_natural,2,7886,1971,LAD_cluster
z_gust_0h_sq,0.031102264654493273,0.02720161314522759,-0.022212897110152802,0.08441742641913935,0.25287346507501895,E0_weather_natural,2,7886,1971,LAD_cluster
z_gust_0h,0.14016932666515447,0.03952987662706092,0.06269076847611506,0.2176478848541939,0.00039126199514500287,E0_weather_natural,3,7886,1971,LAD_cluster
z_gust_0h_sq,0.017425954118874633,0.030319514583805843,-0.042000294465384815,0.07685220270313409,0.5654645559760503,E0_weather_natural,3,7886,1971,LAD_cluster
z_gust_0h,0.15271239496474434,0.0476634256724374,0.05929208064676704,0.24613270928272163,0.001355445353314959,E0_weather_natural,4,7886,1971,LAD_cluster
z_gust_0h_sq,0.020190015091487875,0.031503072259577825,-0.041556006537284654,0.08193603672026041,0.5215939242226402,E0_weather_natural,4,7886,1971,LAD_cluster
