term,coefficient,std_error,ci_low,ci_high,p_value,model,fold,n_obs_in_fold_train,n_obs_in_fold_valid,inference
z_gust_0h,0.1697165930380166,0.020626448570971803,0.12928875383891186,0.21014443223712131,1.9019768051111288e-16,R0c_weather_natural,0,7806,1952,LAD_cluster
z_gust_0h_sq,0.08043913220418178,0.020956891594634378,0.039363624678698396,0.12151463972966517,0.0001238819582744725,R0c_weather_natural,0,7806,1952,LAD_cluster
z_log1p_customers_v2,-0.15496902461929785,0.017023596615215315,-0.18833527398511987,-0.12160277525347582,8.771725539184141e-20,R0c_weather_natural,0,7806,1952,LAD_cluster
z_log1p_customers_v2_sq,-0.05832378801626546,0.029653696636855898,-0.11644503342450302,-0.0002025426080279058,0.04920278217287713,R0c_weather_natural,0,7806,1952,LAD_cluster
z_gust_0h,0.28122875132380837,0.021418769206094108,0.23924796367986392,0.32320953896775284,2.2161394189198114e-39,R0c_weather_natural,1,7806,1952,LAD_cluster
z_gust_0h_sq,0.11533348314408026,0.02617458892304402,0.06403128885491399,0.16663567743324653,1.0514404015794101e-05,R0c_weather_natural,1,7806,1952,LAD_cluster
z_log1p_customers_v2,-0.1646143793889965,0.01871615759811258,-0.20129804828129716,-0.12793071049669585,1.426555342671116e-18,R0c_weather_natural,1,7806,1952,LAD_cluster
z_log1p_customers_v2_sq,-0.05466982787657812,0.03001264252801163,-0.11349460723148092,0.0041549514783246755,0.06852178121333553,R0c_weather_natural,1,7806,1952,LAD_cluster
z_gust_0h,0.23172167694721008,0.022519281695676237,0.18758388482368465,0.2758594690707355,7.823883162139985e-25,R0c_weather_natural,2,7806,1952,LAD_cluster
z_gust_0h_sq,0.06196493081564363,0.02249624710200624,0.017872286495711397,0.10605757513557587,0.005878973032910006,R0c_weather_natural,2,7806,1952,LAD_cluster
z_log1p_customers_v2,-0.1709858411576574,0.018338412681436746,-0.2069291300132734,-0.13504255230204137,1.1212256859070483e-20,R0c_weather_natural,2,7806,1952,LAD_cluster
z_log1p_customers_v2_sq,-0.0520089583124955,0.025498228455855244,-0.10198548608597177,-0.002032430539019227,0.04137934828975431,R0c_weather_natural,2,7806,1952,LAD_cluster
z_gust_0h,0.23082914626859796,0.0230324637848143,0.18568551725036192,0.275972775286834,1.2212690968427255e-23,R0c_weather_natural,3,7807,1951,LAD_cluster
z_gust_0h_sq,0.0826259656509323,0.025390175578317263,0.03286122151743047,0.13239070978443412,0.0011369238773217341,R0c_weather_natural,3,7807,1951,LAD_cluster
z_log1p_customers_v2,-0.1598066945852144,0.01984332271371124,-0.19869960710408843,-0.12091378206634038,8.050929225382705e-16,R0c_weather_natural,3,7807,1951,LAD_cluster
z_log1p_customers_v2_sq,-0.06534256142124523,0.03354487023691167,-0.1310905070855921,0.00040538424310164467,0.0514251149912241,R0c_weather_natural,3,7807,1951,LAD_cluster
z_gust_0h,0.2481135834960124,0.022462986679043773,0.2040861296050866,0.2921410373869382,2.306336217476544e-28,R0c_weather_natural,4,7807,1951,LAD_cluster
z_gust_0h_sq,0.07133958469317216,0.025712057597106465,0.02094395180284349,0.12173521758350082,0.00552768453805194,R0c_weather_natural,4,7807,1951,LAD_cluster
z_log1p_customers_v2,-0.1765868784463874,0.017971761401612718,-0.21181153079354834,-0.14136222609922647,8.71816975266542e-23,R0c_weather_natural,4,7807,1951,LAD_cluster
z_log1p_customers_v2_sq,-0.06065527205686449,0.030201024962968222,-0.11984928098428221,-0.0014612631294467701,0.04460244295645086,R0c_weather_natural,4,7807,1951,LAD_cluster
