term,coef,se,p
Intercept,1.6779555866935778,0.2675955347188274,3.599096731927266e-10
z_gust_0h,0.0001979069022939746,0.01731860912272657,0.9908824418847118
z_gust_0h_sq,0.07923745080615863,0.008219178718139056,5.389538240766409e-22
z_precipitation_24h_sum,0.049975896516419135,0.009191664620259499,5.415815860038958e-08
z_temperature_0h,-0.07303726463000584,0.0178672927291975,4.355520912432206e-05
z_pressure_msl_0h,-0.03886573064101421,0.01489298880420928,0.009063058904016907
z_gust_pressure,0.025261496893503866,0.015576581794414355,0.10485447661934909
urban_binary,0.1364098041272731,0.03715942652067986,0.00024166569546195277
log_population,0.014379018689308416,0.022728665719526354,0.526970035435295
income_deprivation_rate,0.15975569006318913,0.5427329165858249,0.7684872934188849
deprivation_gap_pct,-0.1756356310082466,0.4621499595800877,0.7039154654846826
morans_i,0.26214452696688595,0.12371771586029703,0.03409956201153625
z_log1p_customers_v2,0.3391656146084434,0.02263307834456072,9.148034473833189e-51
z_log1p_customers_v2_sq,-0.39608013293229316,0.022978516553036437,1.4018087136675203e-66
incident_year[2022],0.04033547685843682,0.025879218875386835,0.11908992705497842
incident_year[2023],-0.11122931855992614,0.025600247352951168,1.3936878542296012e-05
incident_year[2024],-0.2530289473896094,0.06578054014233886,0.00011978667075891928
incident_month[2],0.3617885822689871,0.10154549735574775,0.00036688876980747357
incident_month[3],-0.021450234377912044,0.03875656717770693,0.5799480270423152
incident_month[4],-0.0815200795725814,0.04318525301691525,0.05906848384412588
incident_month[5],-0.07446313663682791,0.048668359649026584,0.1260139501136517
incident_month[6],0.10828273358367528,0.05604224503903191,0.05333943161463188
incident_month[7],0.08554300616940556,0.053602136631731606,0.11051380306537884
incident_month[8],0.07288865519762089,0.05469946821371373,0.18268625329183152
incident_month[9],-0.009271234724448095,0.050550947892851604,0.854481213292186
incident_month[10],-0.05689558892345797,0.05136075220362542,0.2679637797244442
incident_month[11],-0.05830004843859495,0.04729734984416002,0.2177145010464836
incident_month[12],0.0035020488044457446,0.04620543270944444,0.9395837776682014
