model,fold,term,coefficient,std_error,p_value,n_train,n_valid
R0c_six_group_clean,0,z_gust_0h,0.02263368388788524,0.006590623799698068,0.0005942510833997339,92846,23218
R0c_six_group_clean,0,z_gust_0h_sq,0.0401117525714119,0.004232607679850382,2.6209600191319014e-21,92846,23218
R0c_six_group_clean,1,z_gust_0h,0.037232201380678454,0.007415954550055513,5.152262403278638e-07,92840,23224
R0c_six_group_clean,1,z_gust_0h_sq,0.06554667244763278,0.005136156369753927,2.6788894832821946e-37,92840,23224
R0c_six_group_clean,2,z_gust_0h,0.02243522264986712,0.007669606212297379,0.0034422184553236823,92841,23223
R0c_six_group_clean,2,z_gust_0h_sq,0.07008327761669725,0.004658881267957911,3.8409746502891064e-51,92841,23223
R0c_six_group_clean,3,z_gust_0h,0.02894218383102418,0.007556749369501399,0.00012815471634185696,92847,23217
R0c_six_group_clean,3,z_gust_0h_sq,0.0674194734435304,0.0043161243651148136,5.2895105169104616e-55,92847,23217
R0c_six_group_clean,4,z_gust_0h,0.017069214747047735,0.006713522758232484,0.011005870129176535,92882,23182
R0c_six_group_clean,4,z_gust_0h_sq,0.06078414421920877,0.004222230036392583,5.465345565295458e-47,92882,23182
