term,vif_in_train_fold,fold
z_gust_0h,1.9869860250301632,0
z_gust_0h_sq,5.089038200453167,0
z_log1p_customers,2.833703436104706,0
z_log1p_customers_sq,3.668023607039752,0
z_gust_0h,2.092273060799723,1
z_gust_0h_sq,3.836928949796457,1
z_log1p_customers,2.9099524084082686,1
z_log1p_customers_sq,3.770337824056762,1
z_gust_0h,2.199986527148003,2
z_gust_0h_sq,4.394973657262502,2
z_log1p_customers,2.8377326020019935,2
z_log1p_customers_sq,3.661138790793332,2
z_gust_0h,2.2526026383323563,3
z_gust_0h_sq,4.707150163951382,3
z_log1p_customers,2.830538321236658,3
z_log1p_customers_sq,3.6490906266744387,3
z_gust_0h,2.251075123680528,4
z_gust_0h_sq,4.741159839762575,4
z_log1p_customers,2.8014162203240556,4
z_log1p_customers_sq,3.6345106996702072,4
