term_a,term_b,pearson_r_in_train_fold,fold
z_gust_0h,z_log1p_customers,0.0323439592033689,0
z_gust_0h,z_log1p_customers_sq,0.03985082326829788,0
z_gust_0h_sq,z_log1p_customers,0.1105925585765439,0
z_gust_0h_sq,z_log1p_customers_sq,0.10420356217558607,0
z_gust_0h,z_log1p_customers,0.03621814170699143,1
z_gust_0h,z_log1p_customers_sq,0.030267902685447084,1
z_gust_0h_sq,z_log1p_customers,0.10457973401033722,1
z_gust_0h_sq,z_log1p_customers_sq,0.08914293983550241,1
z_gust_0h,z_log1p_customers,0.03935698444660643,2
z_gust_0h,z_log1p_customers_sq,0.04122178820123836,2
z_gust_0h_sq,z_log1p_customers,0.10599265327862255,2
z_gust_0h_sq,z_log1p_customers_sq,0.09300373948764286,2
z_gust_0h,z_log1p_customers,0.045962143625800284,3
z_gust_0h,z_log1p_customers_sq,0.04975290193514441,3
z_gust_0h_sq,z_log1p_customers,0.11532869239203304,3
z_gust_0h_sq,z_log1p_customers_sq,0.10669114445122291,3
z_gust_0h,z_log1p_customers,0.04873580774148687,4
z_gust_0h,z_log1p_customers_sq,0.04618847302282935,4
z_gust_0h_sq,z_log1p_customers,0.12486803949621776,4
z_gust_0h_sq,z_log1p_customers_sq,0.1145153108665641,4
