term,coef,se,p
Intercept,1.63641613748598,0.26674502865865624,8.52890471428703e-10
z_gust_0h,-0.0009926388205350703,0.018052687864986358,0.956149894194663
z_gust_0h_sq,0.08495442319039564,0.00813529326237888,1.5824546446360151e-25
z_precipitation_24h_sum,0.05361935316499074,0.009957259288138468,7.24643945832809e-08
z_temperature_0h,-0.07130558317393648,0.017854858968077536,6.507117930423277e-05
z_pressure_msl_0h,-0.041544413889191556,0.015786094496622164,0.008495648562686517
z_gust_pressure,0.0213691495056539,0.01739080683627298,0.21916133493976853
urban_binary,0.13875307186565286,0.03691022753274499,0.00017045486945878397
log_population,0.016619976389662124,0.022756320150874518,0.4651790127353854
income_deprivation_rate,0.18321449665804873,0.5456845454976533,0.73705813932639
deprivation_gap_pct,-0.18204709395707247,0.46104412363709385,0.6929474741814987
morans_i,0.262618135131043,0.12381035043824397,0.033910669284309636
z_log1p_customers_v2,0.33555784034364233,0.022893847852462894,1.2131304010491769e-48
z_log1p_customers_v2_sq,-0.39576000366854924,0.02402426666563189,5.702910187149639e-61
incident_year[2022],0.04002302007166319,0.026211773036979438,0.1267833764331819
incident_year[2023],-0.10924061858945078,0.025942384795012863,2.5436268626035554e-05
incident_year[2024],-0.24860896260968285,0.06647810503219345,0.0001842312635712949
incident_month[2],0.34977910922764577,0.10369015009121148,0.0007427005242782065
incident_month[3],-0.018402925662424775,0.03813554726306791,0.6294037919191653
incident_month[4],-0.07253103069390109,0.04306582176274351,0.09214493576339242
incident_month[5],-0.0690340590530693,0.04824500175337142,0.15245717758961097
incident_month[6],0.116364018691653,0.054936033202368555,0.034160424427794274
incident_month[7],0.09120321461753508,0.05223612135744746,0.0808144556509504
incident_month[8],0.07889178959303582,0.05404633716534063,0.14437075507220684
incident_month[9],-0.002052582664607516,0.04953554062581582,0.9669478629111661
incident_month[10],-0.05540089881174709,0.050190430903962184,0.2696738433876962
incident_month[11],-0.05606541722495073,0.04887438849920641,0.25132671345689583
incident_month[12],0.011002367552089007,0.046060624310760155,0.8112086409392548
