Incident Reference,Restoration Stage,Start Date and Time,End Date and Time,Number of Customers Restored,Re-interruption Stage,MEI code,Cause Code,Continued Cause Code,Damage to the Network,Exceptional Event?,incident_count,Whether or not this incident was excluded from the IIS,ee_coding_only_for_additional_incidents,licence_area,regulatory_year,unique_identifier,substation,SiteFunctionalLocation,Spatial Coordinates,cause_code_norm,cause_group_official,customers_v2,duration_A_customer_weighted_hours,duration_B_full_span_hours,all_stages_are_reinterruption,stage_row_count
FREP-236408-Z,1,2021-05-13T03:08:00+01:00,2021-05-13T05:43:00+01:00,28,Y,S3,97,,0,,1,,,EPN,2021-22,FREP-236408-Z1,BRUCE GV PRIMARY,EPN-S0000000H7086,"51.5986179175394, -0.0760371122722799",97,non_fault_or_unknown,,2.902511415525114,4.083333333333333,True,3
FREP-240212-Z,2,2021-06-01T20:43:00+01:00,2021-06-01T21:33:00+01:00,21,Y,S3,97,,0,,1,,,EPN,2021-22,FREP-240212-Z2,BUSHEY MILL GRID,EPN-S0000000F8006,"51.6711764097376, -0.381206747132048",97,non_fault_or_unknown,,0.8333333333333334,0.8333333333333334,True,1
FREP-240890-Z,2,2021-06-04T19:00:00+01:00,2021-06-04T19:08:00+01:00,3,Y,S3,97,,0,,1,,,EPN,2021-22,FREP-240890-Z2,LITTLE BELHUS PRIMARY,EPN-S0000000H7153,"51.5137737420582, 0.290316289695831",97,non_fault_or_unknown,,0.13333333333333333,0.13333333333333333,True,1
FREP-249397-Z,1,2021-07-07T18:20:00+01:00,2021-07-07T19:15:00+01:00,1,Y,90,75,,0,,1,,,EPN,2021-22,FREP-249397-Z1,ABBOTS CENTRAL PRIMARY,EPN-S0000000H8151,"51.7055016470201, -0.417046291328849",75,non_fault_or_unknown,,0.9166666666666666,0.9166666666666666,True,1
FREP-250865-Z,1,2021-07-23T11:32:00+01:00,2021-07-23T11:46:00+01:00,13,Y,S3,97,,0,,1,,,EPN,2021-22,FREP-250865-Z1,CENTRAL EDMONTON PRIMARY,EPN-S0000000H7087,"51.6262495354046, -0.0600591582255724",97,non_fault_or_unknown,,2.215416666666667,6.216666666666667,True,3
FREP-251187-Z,2,2021-07-25T20:14:00+01:00,2021-07-25T22:26:00+01:00,11,Y,S3,97,,0,,1,,,EPN,2021-22,FREP-251187-Z2,WEST CHELMSFORD PRIMARY,EPN-S0000000H3022,"51.7300485091979, 0.454425943444458",97,non_fault_or_unknown,,2.2,2.2,True,1
FREP-253087-G,3,2021-06-20T04:26:00+01:00,2021-06-20T05:24:00+01:00,89,Y,S3,97,,0,,1,,,SPN,2021-22,FREP-253087-G3,TUNBRIDGE WELLS TOWN 11KV,SPN-S000000007371,"51.1398734479947, 0.270687221882431",97,non_fault_or_unknown,,0.575,1.1833333333333333,True,2
FREP-257510-G,1,2021-10-29T00:00:00+01:00,2021-10-29T00:51:00+01:00,5,Y,90,75,,0,,1,,,SPN,2021-22,FREP-257510-G1,SEVINGTON 33/11KV,SPN-S000000008595,"51.1283516467882, 0.890737703531018",75,non_fault_or_unknown,,0.85,0.85,True,1
FREP-257716-G,1,2021-11-14T21:55:00+00:00,2021-11-15T01:10:00+00:00,1,Y,90,75,,0,,1,,,SPN,2021-22,FREP-257716-G1,AYLESFORD 33/6.6KV,SPN-S000000008312,"51.3006804902293, 0.467312962378983",75,non_fault_or_unknown,,3.25,3.25,True,1
FREP-262830-G,1,2021-11-24T04:01:00+00:00,2021-11-24T13:00:00+00:00,1,Y,90,75,,0,,1,,,SPN,2021-22,FREP-262830-G1,CHATHAM HILL 33/11KV,SPN-S000000008645,"51.3775931642859, 0.54051329034077",75,non_fault_or_unknown,,8.983333333333333,8.983333333333333,True,1
FREP-267202-J,1,2021-06-29T23:15:00+01:00,2021-06-30T04:50:00+01:00,2,Y,49,71,,1,,1,,,LPN,2021-22,FREP-267202-J1,EXETER RD,LPN-S000000000524,"51.581977946454, -0.0217178020047047",71,technical_asset,,5.583333333333333,5.583333333333333,True,1
FREP-269199-J,2,2021-07-26T04:53:00+01:00,2021-07-26T06:20:00+01:00,2,Y,S3,97,,0,,1,,,LPN,2021-22,FREP-269199-J2,NORTH CROSS RD,LPN-S000000000967,"51.4575730420073, -0.0746040039832204",97,non_fault_or_unknown,,1.45,1.45,True,1
FREP-276376-Z,2,2021-12-26T06:05:00+00:00,2021-12-26T08:15:00+00:00,7,Y,S3,97,,0,,1,,,EPN,2021-22,FREP-276376-Z2,WEST HERTFORD PRIMARY,EPN-S0000000H7055,"51.7918902437531, -0.0870652171898162",97,non_fault_or_unknown,,2.1666666666666665,2.1666666666666665,True,1
FREP-279601-J,2,2021-12-07T10:30:00+00:00,2021-12-08T16:25:00+00:00,1,Y,59,71,,1,,1,,,LPN,2021-22,FREP-279601-J2,WOODGRANGE PARK,LPN-S000000000697,"51.5477488373816, 0.0492016582075075",71,technical_asset,,29.916666666666668,29.916666666666668,True,1
FREP-280648-Z,1,2022-01-22T18:50:00+00:00,2022-01-22T19:05:00+00:00,30,Y,90,75,,0,,1,,,EPN,2021-22,FREP-280648-Z1,UPLANDS PK PRIMARY,EPN-S0000000H7054,"51.5925620352751, 0.612674239747208",75,non_fault_or_unknown,,0.25,0.25,True,1
FREP-296849-Z,1,2022-03-27T09:58:00+01:00,2022-03-27T10:10:00+01:00,12,Y,90,75,,0,,1,,,EPN,2021-22,FREP-296849-Z1,TUNNEL PRIMARY,EPN-S0000000H8104,"51.7651303357817, -0.239016222977169",75,non_fault_or_unknown,,0.20000000000000004,0.2,True,1
FREP-298643-Z,1,2022-04-07T13:56:00+01:00,2022-04-07T14:09:00+01:00,3,Y,S3,97,,0,,1,,,EPN,2022-23,FREP-298643-Z1,HORNCHURCH LOCAL PRIMARY,EPN-S0000000H7047,"51.561639806449, 0.219873222177904",97,non_fault_or_unknown,,0.21666666666666667,0.21666666666666667,True,1
FREP-302387-Z,3,2022-05-01T15:07:00+01:00,2022-05-01T17:50:00+01:00,6,Y,S3,97,,0,,1,,,EPN,2022-23,FREP-302387-Z3,LITTLE BARFORD,EPN-S0000000F4055,"52.2065166590149, -0.268171894048518",97,non_fault_or_unknown,,2.716666666666667,2.716666666666667,True,1
FREP-303373-J,1,2022-11-29T13:48:00+00:00,2022-11-30T16:15:00+00:00,1,Y,49,71,,1,,1,,,LPN,2022-23,FREP-303373-J1,BRIXTON B 11KV,LPN-S000000000910,"51.4639674784381, -0.113363995300386",71,technical_asset,,26.45,26.45,True,1
FREP-306261-G,1,2023-01-14T07:24:00+00:00,2023-01-14T07:34:00+00:00,0,Y,0,71,,1,,1,,,SPN,2022-23,FREP-306261-G1,GODDARDS GREEN 33/11KV,SPN-S000000008563,"50.9651272440846, -0.157215000364173",71,technical_asset,,,0.16666666666666666,True,1
FREP-306351-Z,2,2022-05-25T04:30:00+01:00,2022-05-25T05:20:00+01:00,9,Y,S3,97,,0,,1,,,EPN,2022-23,FREP-306351-Z2,RAINBOW LANE PRIMARY,EPN-S0000000H7149,"51.5136599247456, 0.446016706109825",97,non_fault_or_unknown,,0.8333333333333334,0.8333333333333334,True,1
FREP-309375-Z,2,2022-06-12T21:15:00+01:00,2022-06-12T21:39:00+01:00,4,Y,S3,97,,0,,1,,,EPN,2022-23,FREP-309375-Z2,THOMPSONS LN PRIMARY,EPN-S0000000H4015,"52.2103624177746, 0.117819739783256",97,non_fault_or_unknown,,0.4,0.4,True,1
FREP-315773-G,1,2023-04-15T11:47:00+01:00,2023-04-15T18:24:00+01:00,1,Y,49,71,,1,,1,,,SPN,2023-24,FREP-315773-G1,CHATHAM HILL 33/11KV,SPN-S000000008645,"51.3775931642859, 0.54051329034077",71,technical_asset,,6.616666666666666,6.616666666666666,True,1
FREP-317806-J,3,2023-05-22T06:12:00+01:00,2023-05-22T08:30:00+01:00,2,Y,41,71,,1,,1,,,LPN,2023-24,FREP-317806-J3,VERNEY RD,LPN-S000000000988,"51.4845215815859, -0.0646255603318666",71,technical_asset,,2.3,2.3,True,1
