Incident Reference,distinct_cause_code_count
FREP-10003-I,1
FREP-10004-I,1
FREP-10004-L,1
FREP-10006-I,1
FREP-10008-I,1
FREP-10009-L,1
FREP-10011-I,1
FREP-10013-I,1
FREP-10014-I,1
FREP-10019-I,1
FREP-10020-I,1
FREP-10022-I,1
FREP-10022-O,1
FREP-10023-I,1
FREP-10026-I,1
FREP-10027-L,1
FREP-10030-O,1
FREP-10031-L,1
FREP-10032-I,1
FREP-10033-I,1
FREP-10034-I,1
FREP-10035-L,1
FREP-10037-O,1
FREP-10039-I,1
FREP-10041-I,1
FREP-10043-I,1
FREP-10043-O,1
FREP-10044-I,1
FREP-10051-I,1
FREP-10052-L,1
FREP-10054-I,1
FREP-10062-I,1
FREP-10063-I,1
FREP-100701-Z,1
FREP-10074-I,1
FREP-10074-O,1
FREP-10075-O,1
FREP-10076-I,1
FREP-10082-I,1
FREP-10085-I,1
FREP-10087-I,1
FREP-10087-O,1
FREP-10103-I,1
FREP-10104-I,1
FREP-10106-I,1
FREP-10108-I,1
FREP-10109-O,1
FREP-10112-I,1
FREP-10114-I,1
FREP-10117-I,1
FREP-10118-O,1
FREP-10119-I,1
FREP-10122-L,1
FREP-10123-L,1
FREP-101236-Z,1
FREP-10124-L,1
FREP-10127-L,1
FREP-10129-L,1
FREP-10131-L,1
FREP-10132-L,1
FREP-10133-L,1
FREP-10137-L,1
FREP-10141-L,1
FREP-10146-L,1
FREP-10156-L,1
FREP-10160-L,1
FREP-1018331-A,1
FREP-10184-L,1
FREP-10186-L,1
FREP-10187-L,1
FREP-10188-O,1
FREP-10189-O,1
FREP-10190-O,1
FREP-10193-O,1
FREP-10196-L,1
FREP-10203-L,1
FREP-10211-L,1
FREP-10221-L,1
FREP-10232-L,1
FREP-10233-L,1
FREP-10234-L,1
FREP-10235-L,1
FREP-10242-O,1
FREP-10252-O,1
FREP-10255-L,1
FREP-10260-O,1
FREP-10267-L,1
FREP-10271-O,1
FREP-10275-O,1
FREP-10276-L,1
FREP-10276-O,1
FREP-10277-L,1
FREP-102775-G,1
FREP-10279-L,1
FREP-10280-O,1
FREP-10284-O,1
FREP-10286-L,1
FREP-10288-O,1
FREP-10297-O,1
FREP-10304-O,1
FREP-10311-O,1
FREP-10313-O,1
FREP-10319-L,1
FREP-10319-O,1
FREP-10323-O,1
FREP-10339-L,1
FREP-10356-O,1
FREP-103567-G,1
FREP-10359-O,1
FREP-10364-L,1
FREP-10368-L,1
FREP-10380-O,1
FREP-10388-L,1
FREP-10389-L,1
FREP-1039241-A,1
FREP-10394-L,1
FREP-10399-L,1
FREP-10403-O,1
FREP-10417-O,1
FREP-104267-Z,1
FREP-10431-O,1
FREP-10434-O,1
FREP-10439-O,1
FREP-10443-O,1
FREP-10451-L,1
FREP-10454-O,1
FREP-10455-O,1
FREP-10456-O,1
FREP-10461-L,1
FREP-10466-O,1
FREP-10468-O,1
FREP-10469-O,1
FREP-10470-L,1
FREP-10483-O,1
FREP-10484-O,1
FREP-10494-I,1
FREP-10496-I,1
FREP-10497-I,1
FREP-10498-L,1
FREP-10498-O,1
FREP-10499-I,1
FREP-10501-I,1
FREP-10502-I,1
FREP-10502-L,1
FREP-10503-L,1
FREP-10504-L,1
FREP-10505-I,1
FREP-10506-I,1
FREP-10507-I,1
FREP-10508-I,1
FREP-10509-I,1
FREP-10510-L,1
FREP-10521-L,1
FREP-10525-L,1
FREP-10543-L,1
FREP-10544-L,1
FREP-105469-Z,1
FREP-10551-O,1
FREP-10559-O,1
FREP-10569-O,1
FREP-10571-O,1
FREP-10589-L,1
FREP-10602-L,1
FREP-10605-L,1
FREP-10608-L,1
FREP-10610-L,1
FREP-10612-L,1
FREP-10613-L,1
FREP-10614-L,1
FREP-10615-L,1
FREP-10616-L,1
FREP-10626-L,1
FREP-106320-G,1
FREP-10656-L,1
FREP-10657-O,1
FREP-10681-L,1
FREP-10702-O,1
FREP-10705-O,1
FREP-10706-O,1
FREP-10710-L,1
FREP-10715-O,1
FREP-10717-O,1
FREP-10721-L,1
FREP-10722-L,1
FREP-10733-L,1
FREP-10744-L,1
FREP-10751-O,1
FREP-10760-O,1
FREP-10762-L,1
FREP-10763-L,1
FREP-10763-O,1
FREP-107636-Z,1
FREP-10766-O,1
FREP-10768-O,1
FREP-10772-O,1
FREP-10773-L,1
FREP-10778-L,1
FREP-10779-L,1
FREP-10781-L,1
FREP-10782-L,1
FREP-10786-L,1
FREP-10787-L,1
FREP-10789-L,1
FREP-107890-Z,1
FREP-10790-L,1
FREP-10792-L,1
FREP-10793-L,1
FREP-10793-O,1
FREP-10795-L,1
FREP-10797-L,1
FREP-10798-L,1
FREP-10799-L,1
FREP-10800-L,1
FREP-10800-O,1
FREP-10801-L,1
FREP-10803-L,1
FREP-10804-L,1
FREP-10805-L,1
FREP-10806-L,1
FREP-10807-L,1
FREP-10816-L,1
FREP-10819-O,1
FREP-10822-L,1
FREP-10823-L,1
FREP-10832-L,1
FREP-10833-L,1
FREP-10834-L,1
FREP-10835-L,1
FREP-10835-O,1
FREP-10836-L,1
FREP-10840-O,1
FREP-10847-L,1
FREP-10848-O,1
FREP-10861-L,1
FREP-10873-O,1
FREP-10874-L,1
FREP-10875-L,1
FREP-10883-O,1
FREP-10895-O,1
FREP-1091781-A,1
FREP-10921-O,1
FREP-1095018-A,1
FREP-1095260-A,1
FREP-10955-O,1
FREP-10960-L,1
FREP-10961-L,1
FREP-10967-L,1
FREP-10969-L,1
FREP-10970-L,1
FREP-109724-Z,1
FREP-10977-O,1
FREP-10983-L,1
FREP-10987-O,1
FREP-10990-L,1
FREP-10996-O,1
FREP-10998-O,1
FREP-11000-L,1
FREP-11005-L,1
FREP-11011-O,1
FREP-11013-L,1
FREP-11026-L,1
FREP-11030-O,1
FREP-11031-L,1
FREP-11035-O,1
FREP-11036-O,1
FREP-11039-L,1
FREP-11041-L,1
FREP-11042-L,1
FREP-1104260-A,1
FREP-11043-L,1
FREP-11043-O,1
FREP-11044-L,1
FREP-11044-O,1
FREP-11045-O,1
FREP-11047-L,1
FREP-11048-O,1
FREP-11049-O,1
FREP-11052-L,1
FREP-11053-L,1
FREP-11055-L,1
FREP-11056-L,1
FREP-11057-L,1
FREP-11058-L,1
FREP-11060-L,1
FREP-1106384-A,1
FREP-11066-L,1
FREP-11072-L,1
FREP-11078-L,1
FREP-11082-L,1
FREP-11084-L,1
FREP-11088-O,1
FREP-11110-O,1
FREP-11112-L,1
FREP-11115-O,1
FREP-11120-O,1
FREP-11122-O,1
FREP-11126-L,1
FREP-11127-L,1
FREP-11129-L,1
FREP-11130-L,1
FREP-11132-O,1
FREP-11134-O,1
FREP-11138-L,1
FREP-11143-L,1
FREP-11147-L,1
FREP-11150-O,1
FREP-1115583-A,1
FREP-11156-L,1
FREP-11163-O,1
FREP-11205-O,1
FREP-11208-O,1
FREP-11211-O,1
FREP-11215-O,1
FREP-112167-Z,1
FREP-11217-O,1
FREP-11218-O,1
FREP-11225-O,1
FREP-1122639-A,1
FREP-11232-O,1
FREP-11239-O,1
FREP-11240-O,1
FREP-11243-L,1
FREP-11245-O,1
FREP-11249-O,1
FREP-11255-L,1
FREP-11263-O,1
FREP-1127464-A,1
FREP-11287-O,1
FREP-11289-L,1
FREP-11298-O,1
FREP-11299-O,1
FREP-11303-L,1
FREP-11311-O,1
FREP-11314-L,1
FREP-11324-O,1
FREP-11325-O,1
FREP-11332-O,1
FREP-11334-O,1
FREP-11342-L,1
FREP-11343-O,1
FREP-11344-L,1
FREP-11350-O,1
FREP-11354-O,1
FREP-11355-O,1
FREP-11357-O,1
FREP-11358-O,1
FREP-11366-L,1
FREP-11368-L,1
FREP-11370-L,1
FREP-11373-L,1
FREP-11375-L,1
FREP-11382-L,1
FREP-1138645-A,1
FREP-11395-L,1
FREP-11398-L,1
FREP-11399-O,1
FREP-11400-O,1
FREP-11401-L,1
FREP-11401-O,1
FREP-11402-O,1
FREP-114025-Z,1
FREP-11406-L,1
FREP-11407-L,1
FREP-11410-L,1
FREP-11417-L,1
FREP-11420-L,1
FREP-1142361-A,1
FREP-11425-O,1
FREP-11435-L,1
FREP-11440-L,1
FREP-11445-O,1
FREP-11454-O,1
FREP-11463-O,1
FREP-11465-O,1
FREP-1146613-A,1
FREP-11471-O,1
FREP-11503-O,1
FREP-11508-L,1
FREP-11515-L,1
FREP-1151564-A,1
FREP-115225-Z,1
FREP-11526-O,1
FREP-11527-L,1
FREP-11531-L,1
FREP-1153507-A,1
FREP-11538-L,1
