term,coefficient,std_error,ci_low,ci_high,p_value,model,fold,n_obs_in_fold_train,n_obs_in_fold_valid,inference
z_gust_0h,0.02785041413947902,0.006433992875837276,0.015239788102837958,0.04046104017612008,1.500355704504336e-05,R0_naive_large_sample,0,93051,23074,LAD_cluster
z_gust_0h_sq,0.026114732964483064,0.004769082134523824,0.01676733198081637,0.03546213394814976,4.354398487157047e-08,R0_naive_large_sample,0,93051,23074,LAD_cluster
z_gust_0h,0.03742991133307402,0.007239704279338559,0.023240090945570446,0.0516197317205776,2.3398324702991353e-07,R0_naive_large_sample,1,92871,23254,LAD_cluster
z_gust_0h_sq,0.04798976054831562,0.004823905740992533,0.038534905295970256,0.057444615800660986,2.5647486523743758e-23,R0_naive_large_sample,1,92871,23254,LAD_cluster
z_gust_0h,0.03171140597703386,0.006382595436360281,0.01920151892176771,0.04422129303230001,6.750111933414679e-07,R0_naive_large_sample,2,92902,23223,LAD_cluster
z_gust_0h_sq,0.05074804373493497,0.0047156414747525945,0.04150538644441988,0.05999070102545005,5.2231295777159264e-27,R0_naive_large_sample,2,92902,23223,LAD_cluster
z_gust_0h,0.034011214794333756,0.007098894369447009,0.02009738183021762,0.04792504775844989,1.659041399068181e-06,R0_naive_large_sample,3,92823,23302,LAD_cluster
z_gust_0h_sq,0.04445230108641917,0.0047713400059726865,0.03510047467471271,0.05380412749812563,1.202147614205927e-20,R0_naive_large_sample,3,92823,23302,LAD_cluster
z_gust_0h,0.027490122392045357,0.006940320943761536,0.013887093342272746,0.041093151441817966,7.465855569230784e-05,R0_naive_large_sample,4,92853,23272,LAD_cluster
z_gust_0h_sq,0.04704643240617072,0.004711357306725168,0.037812172084989396,0.05628069272735205,1.7596670255251324e-23,R0_naive_large_sample,4,92853,23272,LAD_cluster
