term,coefficient,std_error,ci_low,ci_high,p_value,model,fold,n_obs_in_fold_train,n_obs_in_fold_valid,inference
z_gust_0h,-0.038352528384273235,0.008090431308334844,-0.054209773748609524,-0.022495283019936942,2.1321242420203757e-06,E0_naive_large_sample,0,93899,23399,LAD_cluster
z_gust_0h_sq,0.07600980870719475,0.005432249170376508,0.06536260033325679,0.0866570170811327,1.7363532666322601e-44,E0_naive_large_sample,0,93899,23399,LAD_cluster
z_gust_0h,-0.03267966597379603,0.008721985508370608,-0.049774757570202416,-0.015584574377389637,0.00017909408065388416,E0_naive_large_sample,1,93858,23440,LAD_cluster
z_gust_0h_sq,0.051635236370662516,0.005738338216890177,0.04038809346555777,0.06288237927576726,2.2925874368897883e-19,E0_naive_large_sample,1,93858,23440,LAD_cluster
z_gust_0h,-0.022888522686062895,0.007647824316751685,-0.0378782583468962,-0.007898787025229594,0.0027641732641089886,E0_naive_large_sample,2,93843,23455,LAD_cluster
z_gust_0h_sq,0.06654596867922218,0.0059296897831573716,0.05492377670423373,0.07816816065421062,3.161878879514373e-29,E0_naive_large_sample,2,93843,23455,LAD_cluster
z_gust_0h,-0.026924229490502438,0.007819339774382898,-0.04225013544829292,-0.011598323532711959,0.000574689497500272,E0_naive_large_sample,3,93782,23516,LAD_cluster
z_gust_0h_sq,0.06596866677042303,0.005921839023187291,0.054361862284975936,0.07757547125587011,8.021358246021513e-29,E0_naive_large_sample,3,93782,23516,LAD_cluster
z_gust_0h,-0.030898435536508822,0.008298790883281962,-0.047164065667741464,-0.014632805405276176,0.00019667813362081365,E0_naive_large_sample,4,93810,23488,LAD_cluster
z_gust_0h_sq,0.06304806753703357,0.0055229692149536495,0.05222304787572442,0.07387308719834272,3.494400679322964e-30,E0_naive_large_sample,4,93810,23488,LAD_cluster
z_gust_0h,0.02785041413947902,0.006433992875837276,0.015239788102837958,0.04046104017612008,1.500355704504336e-05,R0_naive_large_sample,0,93051,23074,LAD_cluster
z_gust_0h_sq,0.026114732964483064,0.004769082134523824,0.01676733198081637,0.03546213394814976,4.354398487157047e-08,R0_naive_large_sample,0,93051,23074,LAD_cluster
z_gust_0h,0.03742991133307402,0.007239704279338559,0.023240090945570446,0.0516197317205776,2.3398324702991353e-07,R0_naive_large_sample,1,92871,23254,LAD_cluster
z_gust_0h_sq,0.04798976054831562,0.004823905740992533,0.038534905295970256,0.057444615800660986,2.5647486523743758e-23,R0_naive_large_sample,1,92871,23254,LAD_cluster
z_gust_0h,0.03171140597703386,0.006382595436360281,0.01920151892176771,0.04422129303230001,6.750111933414679e-07,R0_naive_large_sample,2,92902,23223,LAD_cluster
z_gust_0h_sq,0.05074804373493497,0.0047156414747525945,0.04150538644441988,0.05999070102545005,5.2231295777159264e-27,R0_naive_large_sample,2,92902,23223,LAD_cluster
z_gust_0h,0.034011214794333756,0.007098894369447009,0.02009738183021762,0.04792504775844989,1.659041399068181e-06,R0_naive_large_sample,3,92823,23302,LAD_cluster
z_gust_0h_sq,0.04445230108641917,0.0047713400059726865,0.03510047467471271,0.05380412749812563,1.202147614205927e-20,R0_naive_large_sample,3,92823,23302,LAD_cluster
z_gust_0h,0.027490122392045357,0.006940320943761536,0.013887093342272746,0.041093151441817966,7.465855569230784e-05,R0_naive_large_sample,4,92853,23272,LAD_cluster
z_gust_0h_sq,0.04704643240617072,0.004711357306725168,0.037812172084989396,0.05628069272735205,1.7596670255251324e-23,R0_naive_large_sample,4,92853,23272,LAD_cluster
z_gust_0h,0.018688666000190344,0.0066402280758042906,0.005673818971613934,0.031703513028766755,0.0048859035949807275,R0c_naive_large_sample,0,93051,23074,LAD_cluster
z_gust_0h_sq,0.05270456229965368,0.004433161750501429,0.044015565268670884,0.06139355933063648,1.3548738714617923e-32,R0c_naive_large_sample,0,93051,23074,LAD_cluster
z_log1p_customers_naive,-0.3760258772703425,0.017803031733018178,-0.41091981946705813,-0.3411319350736268,5.051830711775246e-99,R0c_naive_large_sample,0,93051,23074,LAD_cluster
z_log1p_customers_naive_sq,-0.13605177043003847,0.008460457363897536,-0.15263426686327763,-0.1194692739967993,3.47295557775913e-58,R0c_naive_large_sample,0,93051,23074,LAD_cluster
z_gust_0h,0.029450023951941358,0.007504968911951139,0.014740284884517127,0.04415976301936559,8.706539044099503e-05,R0c_naive_large_sample,1,92871,23254,LAD_cluster
z_gust_0h_sq,0.06945623081361298,0.0042593082631466545,0.061107986617845535,0.07780447500938042,8.811493869746593e-60,R0c_naive_large_sample,1,92871,23254,LAD_cluster
z_log1p_customers_naive,-0.37384195409546706,0.016809795144038346,-0.4067891525777822,-0.3408947556131519,1.4243836985730895e-109,R0c_naive_large_sample,1,92871,23254,LAD_cluster
z_log1p_customers_naive_sq,-0.14150009136082625,0.007742914641511823,-0.15667620405818944,-0.12632397866346307,1.3140959669351214e-74,R0c_naive_large_sample,1,92871,23254,LAD_cluster
z_gust_0h,0.026523307114949664,0.006524047039990854,0.01373617491656759,0.03931043931333174,4.793608830061984e-05,R0c_naive_large_sample,2,92902,23223,LAD_cluster
z_gust_0h_sq,0.0765620339404684,0.00403018841350361,0.06866286465000132,0.08446120323093548,1.8011117473896935e-80,R0c_naive_large_sample,2,92902,23223,LAD_cluster
z_log1p_customers_naive,-0.38098607617910346,0.016989377476070665,-0.41428525603220195,-0.34768689632600497,2.2470769653969828e-111,R0c_naive_large_sample,2,92902,23223,LAD_cluster
z_log1p_customers_naive_sq,-0.13779290234789532,0.007937169575501026,-0.15334975471587733,-0.1222360499799133,1.6440548296052244e-67,R0c_naive_large_sample,2,92902,23223,LAD_cluster
