term,coef,se,p
Intercept,3.284634412992825,1.0409746714351473,0.0016030832061144035
z_gust_0h,-0.03601431244105994,0.013973796718036698,0.009958278233747987
z_gust_0h_sq,0.10599692045043259,0.008347635862150296,6.078652069285878e-37
z_precipitation_24h_sum,0.045551840569328976,0.010478961498324252,1.3802452843971073e-05
z_temperature_0h,-0.011163616688009534,0.020842871981198607,0.5922292428407891
z_pressure_msl_0h,-0.0905726809229298,0.011229119262547,7.271272340968036e-16
z_gust_pressure,-0.046618128427459306,0.008665832819493085,7.467955410556359e-08
urban_binary,-0.15571415416323328,0.07663190169964235,0.04215612651949101
log_population,-0.07751045263910761,0.088711207885743,0.38226034197726244
income_deprivation_rate,-3.179793362792457,0.9048406485763901,0.00044107625845763565
deprivation_gap_pct,0.17436778477831472,0.5466314904026657,0.7497371398989553
morans_i,-0.02573474402314227,0.2407816230650786,0.9148841663075009
incident_year[2022],0.09078525844430978,0.02711358056329362,0.0008129967380169381
incident_year[2023],0.016200310719303487,0.030435989824462596,0.5945356757304063
incident_year[2024],-0.018447156890877572,0.045374561682356526,0.6843364408845825
incident_month[2],0.023767952936842165,0.04250428978633194,0.5760323921853587
incident_month[3],-0.0250574179787524,0.04633201088684932,0.5886295754470792
incident_month[4],-0.0803732815286072,0.047751195399231616,0.09234258390244333
incident_month[5],-0.004365162571267828,0.05214024787159826,0.9332793447051223
incident_month[6],0.26057838650383425,0.05895131855284947,9.859590782615614e-06
incident_month[7],0.3059272327138072,0.05717197740104854,8.746967724312769e-08
incident_month[8],0.14391916141414104,0.05559891314876191,0.00963880268182386
incident_month[9],0.061359307822819543,0.054934576097101145,0.2640146686857865
incident_month[10],-0.05322273313474318,0.05121450133638503,0.29870607111739367
incident_month[11],-0.12446405152503484,0.042541358628974374,0.003436614479334128
incident_month[12],0.07495897963098183,0.0402950505379714,0.06284977138999664
