term,coef,se,p
Intercept,3.284634412992825,1.045329140422968,0.0016768280192436449
z_gust_0h,-0.03601431244105994,0.02173625867021515,0.0975442952044258
z_gust_0h_sq,0.10599692045043259,0.03197987104981261,0.0009181089859312946
z_precipitation_24h_sum,0.045551840569328976,0.016205547725356123,0.004940629805645823
z_temperature_0h,-0.011163616688009534,0.04176733233219164,0.7892527715508827
z_pressure_msl_0h,-0.0905726809229298,0.023102230771374997,8.835932216931e-05
z_gust_pressure,-0.046618128427459306,0.027618517444407423,0.09142463726681464
urban_binary,-0.15571415416323328,0.07681984878526757,0.04266198577017221
log_population,-0.07751045263910761,0.08867690525217505,0.38207626473989476
income_deprivation_rate,-3.179793362792457,0.9168011308735785,0.0005236516825826016
deprivation_gap_pct,0.17436778477831472,0.5429119294635167,0.7480805040092624
morans_i,-0.02573474402314227,0.2394795680293716,0.9144231636864676
incident_year[2022],0.09078525844430978,0.03582670469664127,0.011276523989182044
incident_year[2023],0.016200310719303487,0.03867794683736081,0.6753247649864637
incident_year[2024],-0.018447156890877572,0.07122483953484209,0.7956360697316158
incident_month[2],0.023767952936842165,0.07912555274648386,0.7638852025943396
incident_month[3],-0.0250574179787524,0.0692568251889738,0.7174982697463165
incident_month[4],-0.0803732815286072,0.06938048171750934,0.24668360480383578
incident_month[5],-0.004365162571267828,0.08019434665901622,0.9565907469464132
incident_month[6],0.26057838650383425,0.10830218836298547,0.016126910879859548
incident_month[7],0.3059272327138072,0.08127220556179192,0.0001670634084096519
incident_month[8],0.14391916141414104,0.11360023118008895,0.2051941069143034
incident_month[9],0.061359307822819543,0.10175007145234284,0.5464824409473347
incident_month[10],-0.05322273313474318,0.08371447446004104,0.5249296009528496
incident_month[11],-0.12446405152503484,0.07289524774427576,0.0877408367436176
incident_month[12],0.07495897963098183,0.06284193498076639,0.232940731123653
