term,coef,se,p
Intercept,1.63641613748598,0.26095566983968893,3.5906230925258814e-10
z_gust_0h,-0.0009926388205350703,0.009088885563685586,0.9130322962270564
z_gust_0h_sq,0.08495442319039564,0.006126593256141783,1.0108639390142134e-43
z_precipitation_24h_sum,0.05361935316499074,0.006003896267212975,4.230942719566792e-19
z_temperature_0h,-0.07130558317393648,0.009436290742135619,4.139748753890458e-14
z_pressure_msl_0h,-0.041544413889191556,0.007565799942786731,3.99483000099764e-08
z_gust_pressure,0.0213691495056539,0.009118518395724627,0.01910431463475969
urban_binary,0.13875307186565286,0.03641353576744452,0.0001386968927436377
log_population,0.016619976389662124,0.022761699292519613,0.4652844943496064
income_deprivation_rate,0.18321449665804873,0.5422561436566351,0.7354578018898776
deprivation_gap_pct,-0.18204709395707247,0.4648550787959623,0.6953381369354124
morans_i,0.262618135131043,0.12576295172853558,0.03677984082014246
z_log1p_customers_v2,0.33555784034364233,0.020624256108494585,1.6100553237116184e-59
z_log1p_customers_v2_sq,-0.39576000366854924,0.020991456914222772,2.7563172436311624e-79
incident_year[2022],0.04002302007166319,0.018372885747383882,0.029378189966011162
incident_year[2023],-0.10924061858945078,0.019372416769965095,1.7106307365372532e-08
incident_year[2024],-0.24860896260968285,0.031489131844603,2.9014772852896465e-15
incident_month[2],0.34977910922764577,0.04441965975941956,3.423239552284949e-15
incident_month[3],-0.018402925662424775,0.026420206157217584,0.4860860894379858
incident_month[4],-0.07253103069390109,0.033608700300119365,0.030919839026270914
incident_month[5],-0.0690340590530693,0.03490136139509161,0.047931401776064364
incident_month[6],0.116364018691653,0.0408416780679211,0.004383637095733796
incident_month[7],0.09120321461753508,0.03924289019467872,0.02012175517959557
incident_month[8],0.07889178959303582,0.03704873668202509,0.033220712573964695
incident_month[9],-0.002052582664607516,0.03832537022348372,0.9572883073579227
incident_month[10],-0.05540089881174709,0.03820513147019879,0.1470332794501715
incident_month[11],-0.05606541722495073,0.030594023445921503,0.06686786772388327
incident_month[12],0.011002367552089007,0.03231313889293686,0.733485993605122
